Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,-0.0412216265946,1,1
LK3-G08,0.093805708,-0.0689090381625,0,1
LK2-G07,-0.019194571,-0.039436388607,0,0
LK3-E06,0.032744933,-0.0411037982802,0,0
LK1-D12,-0.057403752,0.008105262473060001,1,1
LK6-C05,-0.059662381,0.0291591880105,1,1
LK1-B03,-0.061280442,0.018424609954,1,1
LK4-B03,-0.037788014,-0.0120602475654,1,0
LK5-H12,-0.023919485,-0.0255995487202,1,0
LK4-B08,-0.063909414,-0.00216019181872,1,1
LK6-B07,-0.016711953,0.008943005882100001,1,1
LK6-F03,-0.109289121,-0.00500359370571,1,0
LK6-E02,-0.107711445,0.00966469402122,1,0
LK2-A11,-0.12701237599999998,-0.032205412183,1,0
LK5-H02,-0.034306781,0.00867776286257,1,1
LK6-A10,-0.087805455,0.0261766092004,1,1
LK3-D01,0.066184564,-0.0451530164346,0,0
LK3-G02,-0.021250726,-0.0258232056515,0,0
LK5-G03,-0.061380255,-0.017509829137799998,1,0
LK1-F05,0.046509142,-0.0503511252991,0,0
LK4-H12,-0.062143255,0.00361796826485,1,1
LK6-D05,-0.043812384,0.023836434868,1,1
LK1-A02,0.074568945,-0.0269572081156,0,1
LK5-B01,-0.069096858,0.019016184402,1,1
LK5-F10,-0.092640198,-0.0314082402906,1,0
LK5-C03,-0.034896086,0.00386334946778,1,0
LK3-C04,-0.021324099,-0.050762346064599985,0,0
LK6-D06,-0.063374275,0.026499904913400003,1,1
LK4-B01,-0.060980824,-0.0259656032164,1,1
LK4-G05,-0.078376922,-0.00407007494466,1,1
LK3-B02,-0.061936905999999986,-0.014788780246899997,1,0
LK5-E09,-0.014933995,-0.00855183748205,1,1
LK2-C05,-0.072951481,-0.0368174529988,1,0
LK5-H07,-0.016148315,0.019493207321,1,1
LK1-E09,0.00130607,-0.0482110552822,0,1
LK5-D04,-0.008201942,-0.027884564348900003,0,0
LK2-E12,-0.003211055,-0.0380726413152,0,0
LK5-D05,0.039769121,-0.0664226795197,0,0
LK5-C11,-0.07890419900000001,0.0194163647424,1,1
LK6-D07,-0.067901009,-0.005448995320960001,1,1
LK1-B04,-0.09425094,-0.0114484433968,1,1
LK4-H11,-0.043349795,0.0135308278746,1,1
LK4-A12,0.044940192,-0.0546038856364,0,0
LK1-A09,-0.063297996,-0.0288728139298,1,1
LK6-A11,-0.101157306,0.004171596850949999,1,1
LK1-G08,-0.076569198,-0.0072186939653,1,0
LK4-B12,-0.022692414,0.004676425995159999,1,1
LK3-C12,0.004518577,-0.0390989954554,0,0
LK3-H10,0.004132024000000001,-0.0407333620733,0,0
LK4-G09,-0.050985005,0.00604629954213,1,0
LK3-B08,0.001601827,-0.0595442210713,0,0
LK2-A07,0.005623133000000001,0.0267572030658,1,1
LK5-E08,-0.06663271,-0.0374809039183,0,0
LK3-F06,-0.125231999,0.0019797636964300003,1,1
LK2-A10,-0.06981008799999999,0.0233202290343,1,1
LK4-E03,0.013554151,-0.0416734130953,0,0
LK4-D01,0.011072576,-0.0538299557505,0,1
LK6-A03,-0.071606045,0.0355020718138,1,1
LK5-G01,-0.097400427,0.00830569392165,1,1
LK3-B11,-0.030885663,-0.00269032856875,1,0
LK5-A05,0.006670793,-0.048041982111300015,0,0
LK3-B12,-0.069789932,-0.0267276859829,1,0
LK1-B05,-0.051014885,0.00603464361592,1,1
LK3-C11,-0.024302582000000003,-0.00871274247785,1,1
LK5-F01,0.029027435,-0.0215788875508,0,0
LK3-H08,-0.066259295,-0.0183755385317,1,1
LK2-B05,0.038236482,-0.034179403751500005,0,0
LK2-B04,0.068553692,-0.0549294224113,0,1
LK3-D05,-0.097416376,-0.00277920973358,1,1
LK5-B05,-0.068647456,-0.0234717108001,1,0
LK1-A06,0.031765912,-0.0521969893272,0,0
LK2-A05,-0.07650302099999999,0.0280027251173,1,1
LK4-H10,-0.01690951,-0.0358724316029,0,0
LK5-F03,-0.061319714,0.0312228921508,1,1
LK5-D03,0.072367787,-0.0440993782391,0,1
LK1-G12,-0.066683388,-0.017171442449100002,1,0
LK5-F07,0.057171065,-0.0269710154539,0,0
LK4-C10,-0.045171086,0.00361188354065,1,1
LK6-A05,0.006446217,-0.0222415582669,0,0
LK3-G11,-0.041289604,-0.00245842925852,1,1
LK3-C09,-0.003210792,0.0187010107198,1,1
LK1-D02,-0.03975231,-0.0780693621306,1,1
LK6-C02,-0.010438455,0.00742891229299,1,1
LK2-E08,-0.01185898,-0.00404534856635,1,1
LK3-H05,0.017018613000000002,-0.0857611504511,0,0
LK3-D09,-0.077437477,0.0376586250349,1,1
LK1-G09,-0.110538363,-0.00412768029275,1,1
LK2-D09,-0.04650311,-0.0023047620800900003,1,1
LK1-D06,-0.060605349,-0.007474605029689998,1,1
LK3-A01,0.019923344,-0.07411063758719999,0,0
LK2-D05,-0.040989887,-0.000200614914395,1,1
LK1-C11,0.03763259,-0.0514462231854,0,0
LK1-G03,0.044068065,-0.0359758949492,0,0
LK3-C06,0.010954336,-0.0597067870255,0,0
LK2-A01,-0.003379405,-0.0618633046351,0,0
