Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,-0.00269053694283,1,1
LK3-G08,0.093805708,-0.053689992193,0,1
LK4-D11,-0.060829465,0.0013022856758,1,1
LK3-E06,0.032744933,-0.0556868304361,0,0
LK1-D12,-0.057403752,0.007110526713899999,1,1
LK6-C05,-0.059662381,0.0181192657791,1,1
LK4-C09,-0.087799295,-0.006199561292859999,1,0
LK1-B03,-0.061280442,0.010941895385399998,1,1
LK4-B03,-0.037788014,-0.00966099864831,1,0
LK5-H12,-0.023919485,-0.0116467474538,1,0
LK3-D08,0.023624539,-0.0510257932534,0,0
LK4-B08,-0.063909414,-0.00161769917226,1,1
LK6-B07,-0.016711953,-0.00443875118052,1,1
LK6-F03,-0.109289121,0.00501452888282,1,0
LK6-E02,-0.107711445,0.00817026256879,1,0
LK2-A11,-0.12701237599999998,0.0080789365819,1,0
LK5-H02,-0.034306781,-0.00227842746422,1,1
LK6-A10,-0.087805455,0.013608447365000002,1,1
LK5-G03,-0.061380255,-0.00813660806032,1,0
LK1-F05,0.046509142,-0.0488469120486,0,0
LK6-B10,0.029777903,-0.0446640579378,0,0
LK6-D05,-0.043812384,-0.0023025692311,1,1
LK1-A02,0.074568945,-0.030168635322,0,1
LK5-F08,0.015046178,-0.0395799284487,0,0
LK6-B09,-0.06491301099999999,0.00514711736254,1,1
LK5-C01,-0.035507118,-0.00147879882608,1,1
LK5-B01,-0.069096858,0.0106253125504,1,1
LK5-F10,-0.092640198,0.000283957813865,1,0
LK5-C03,-0.034896086,-0.0186945550762,1,0
LK3-C04,-0.021324099,-0.0311562986657,0,0
LK1-B08,-0.092333836,0.00923812510674,1,0
LK6-D06,-0.063374275,0.00975696549223,1,1
LK4-B01,-0.060980824,0.00321059835572,1,1
LK3-G10,-0.05011661,0.00268848552183,1,0
LK5-E09,-0.014933995,-0.00955890048753,1,1
LK2-C05,-0.072951481,-0.00932619778169,1,0
LK5-H07,-0.016148315,0.006533973675350001,1,1
LK5-D04,-0.008201942,-0.0725417616255,0,0
LK5-D05,0.039769121,-0.034815888408699994,0,0
LK5-C11,-0.07890419900000001,0.0049544424965100005,1,1
LK2-F04,0.06440686799999999,-0.0186857664798,0,1
LK6-D07,-0.067901009,0.006644345385369999,1,1
LK1-B04,-0.09425094,-0.00331118829908,1,1
LK2-A12,-0.029611706,0.00743657633144,1,0
LK4-H11,-0.043349795,0.00842715785696,1,1
LK4-A12,0.044940192,-0.053132479549400015,0,0
LK1-A09,-0.063297996,-0.0129910930765,1,1
LK5-A07,0.022318946,-0.030874875047400007,0,0
LK6-A11,-0.101157306,0.00241477050531,1,1
LK5-D09,0.003683436,0.00717338535301,0,0
LK1-G08,-0.076569198,0.00326844280685,1,0
LK4-B12,-0.022692414,0.0061549004377,1,1
LK5-A04,0.032954446,-0.0320462439069,0,0
LK3-C12,0.004518577,-0.0410059526868,0,0
LK4-G09,-0.050985005,0.014307293940299996,1,0
LK3-B08,0.001601827,-0.0320370121149,0,0
LK2-A07,0.005623133000000001,0.0134994448352,1,1
LK3-F06,-0.125231999,-0.00449222604896,1,1
LK2-A10,-0.06981008799999999,0.0025445101521300003,1,1
LK1-A05,0.07181288400000001,-0.0375765659662,0,1
LK6-A03,-0.071606045,0.000373760099215,1,1
LK5-G01,-0.097400427,0.0105879199069,1,1
LK3-B11,-0.030885663,-0.00591334979938,1,0
LK5-A05,0.006670793,-0.052200086056900005,0,0
LK3-H11,-0.037647523,-0.00580384030933,1,1
LK5-B07,-0.12667103400000002,0.00291466117618,1,0
LK1-B05,-0.051014885,0.0108131886011,1,1
LK3-C11,-0.024302582000000003,0.0073938291053699985,1,1
LK3-H08,-0.066259295,-0.00785042778868,1,1
LK2-B05,0.038236482,-0.0655357168581,0,0
LK2-B04,0.068553692,-0.0395423322756,0,1
LK3-D05,-0.097416376,0.0337683539746,1,1
LK5-B05,-0.068647456,-0.00405517640675,1,0
LK1-A06,0.031765912,-0.031688915098900004,0,0
LK2-A05,-0.07650302099999999,0.0095939927592,1,1
LK2-F07,-0.012979132,-0.018793292108,0,0
LK4-H10,-0.01690951,-0.0309552010326,0,0
LK5-F03,-0.061319714,0.0141338331329,1,1
LK1-G12,-0.066683388,-0.0114226964287,1,0
LK5-F07,0.057171065,-0.06341669903519999,0,0
LK2-A06,-0.08736029599999999,0.00727724429337,1,1
LK3-C09,-0.003210792,-0.005875100757340001,1,1
LK5-D08,0.032239849,-0.0275019224921,1,0
LK1-D02,-0.03975231,0.034556033774599995,1,1
LK6-C02,-0.010438455,-0.0182693054343,1,1
LK2-E08,-0.01185898,0.0028876676491700003,1,1
LK3-H05,0.017018613000000002,-0.0319960278603,0,0
LK1-C06,0.078083465,-0.0306209175445,0,1
LK3-D09,-0.077437477,0.0131350366078,1,1
LK1-G09,-0.110538363,-0.0011235139954,1,1
LK2-D09,-0.04650311,-0.00614482656292,1,1
LK3-A01,0.019923344,-0.049274812520900005,0,0
LK2-D05,-0.040989887,0.00234942530712,1,1
LK1-G03,0.044068065,-0.0338160799675,0,0
LK3-C06,0.010954336,-0.06752296331140001,0,0
LK2-A01,-0.003379405,-0.052692449468,0,0
LK2-G10,-0.005487313000000001,-0.0112444294144,1,1
