Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,-0.0030576185987,1,0
LK2-G07,-0.019194571,-0.0228891268696,1,0
LK4-H03,0.02296139,-0.0113463390066,1,0
LK3-E06,0.032744933,-0.0714320930962,1,1
LK1-D10,-0.037986439,-0.0722266900858,0,0
LK6-C05,-0.059662381,-0.0136922598695,1,0
LK4-C09,-0.087799295,-0.0197499734818,0,0
LK5-C04,0.054950025,-0.0840696422732,1,1
LK1-B03,-0.061280442,-0.0594338630024,0,0
LK4-B03,-0.037788014,-0.00560740113506,1,1
LK5-B06,-0.068915324,-0.0641188230746,0,0
LK1-D08,-0.008491259000000001,0.0007146606436950001,1,0
LK5-H12,-0.023919485,-0.0169374693655,1,0
LK3-D08,0.023624539,-0.0289112804783,1,1
LK4-B08,-0.063909414,-0.0122897135524,0,0
LK6-F03,-0.109289121,-0.0174716157632,1,1
LK6-B05,-0.006164366,-0.0280107029588,0,0
LK2-A11,-0.12701237599999998,-0.0214951226658,0,1
LK5-H02,-0.034306781,-0.007943353841,1,0
LK6-A10,-0.087805455,-0.0170610571519,1,1
LK3-D01,0.066184564,-0.05956759039200001,1,1
LK3-G02,-0.021250726,-0.0047515508797,1,1
LK5-G03,-0.061380255,-0.00102387625317,1,1
LK1-F05,0.046509142,-0.0669084565963,0,0
LK4-H12,-0.062143255,-0.0154627972089,1,1
LK6-D05,-0.043812384,-0.0323630270512,1,0
LK5-F08,0.015046178,-0.053802239249900005,1,1
LK4-D02,-0.026555348,-0.012887260385100002,1,0
LK5-B01,-0.069096858,-0.025066133876,1,1
LK5-F10,-0.092640198,-0.0380145487128,0,1
LK5-C03,-0.034896086,-0.0131064559741,1,1
LK6-A09,-0.118694117,-0.014377661859,0,0
LK3-C04,-0.021324099,-0.0992185110111,0,1
LK1-B08,-0.092333836,0.00276728316419,1,1
LK6-D06,-0.063374275,-0.0249995560986,1,1
LK4-B01,-0.060980824,-0.0836275106945,0,1
LK4-G05,-0.078376922,-0.00544931397237,1,0
LK3-B02,-0.061936905999999986,-0.012179290509,0,0
LK3-G10,-0.05011661,-0.004872035153689999,1,0
LK2-C05,-0.072951481,-0.007607714496619998,1,0
LK5-H07,-0.016148315,-0.00883671135015,1,0
LK1-E09,0.00130607,-0.04410378145269999,1,1
