Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-D11,-0.060829465,-0.039648272911300006,1,2
LK1-D12,-0.057403752,-0.0318571437559,1,2
LK6-C05,-0.059662381,-0.0274169832175,1,2
LK4-C09,-0.087799295,-0.0871235972109,0,2
LK4-B03,-0.037788014,-0.0478325269414,1,2
LK6-F03,-0.109289121,-0.0208769739026,1,2
LK6-E02,-0.107711445,-0.00919958575855,1,2
LK5-G03,-0.061380255,-0.0205391511605,1,2
LK4-H12,-0.062143255,-0.0361913937855,1,2
LK5-H08,-0.000319424,-0.107696652884,0,2
LK6-B09,-0.06491301099999999,-0.0417822522012,1,2
LK5-F10,-0.092640198,-0.044472509656,1,2
LK1-B08,-0.092333836,-0.0457944917769,1,2
LK6-D06,-0.063374275,-0.0324503356404,1,2
LK2-C09,-0.029181055,-0.0915423698462,1,2
LK3-G10,-0.05011661,-0.0292421197212,1,2
LK2-C05,-0.072951481,-0.0941470677126,1,2
LK5-H07,-0.016148315,-0.0912148360384,1,2
LK5-C11,-0.07890419900000001,0.00403454106125,1,2
LK6-D07,-0.067901009,-0.0467940169515,1,2
LK4-H11,-0.043349795,-0.022590756508400003,1,2
LK1-G08,-0.076569198,-0.0240652512992,1,2
LK4-G09,-0.050985005,-0.052658090125400014,1,2
LK3-F06,-0.125231999,-0.042897325694,1,2
LK2-A10,-0.06981008799999999,-0.0512197810281,1,2
LK6-A03,-0.071606045,-0.0128676095098,1,2
LK5-G01,-0.097400427,-0.0176337386648,1,2
LK3-B11,-0.030885663,-0.0418328785181,1,2
LK5-B07,-0.12667103400000002,-0.032639484692599995,1,2
LK3-B12,-0.069789932,-0.061837045555,1,2
LK1-B05,-0.051014885,-0.075226087222,1,2
LK5-B05,-0.068647456,-0.051961463314800005,1,2
LK5-F03,-0.061319714,-0.030032528868,1,2
LK1-G12,-0.066683388,-0.0726532632668,1,2
LK5-F07,0.057171065,-0.100228728159,0,2
LK4-C10,-0.045171086,-0.0398176421362,1,2
LK2-E08,-0.01185898,-0.110013076159,1,2
LK3-D09,-0.077437477,-0.0195252529644,1,2
LK2-D05,-0.040989887,-0.044849473680999986,1,2
LK1-C11,0.03763259,-0.135056399,0,2
LK3-C06,0.010954336,-0.114144852677,0,2
