Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,-0.0069212251448500005,2,2
LK3-G08,0.093805708,-0.016290530644200003,2,2
LK2-G07,-0.019194571,-0.00876176512622,2,2
LK4-A04,0.036559047,-0.0178574800987,2,2
LK4-H03,0.02296139,-0.0054405112991800005,2,2
LK4-D11,-0.060829465,-0.0180427365032,2,2
LK3-E06,0.032744933,-0.0125623544046,2,2
LK1-D12,-0.057403752,-0.0334573064136,2,2
LK6-C05,-0.059662381,-0.0265329960322,2,2
LK4-C09,-0.087799295,-0.0103283211022,2,2
LK5-C04,0.054950025,-0.010873969514899998,2,2
LK1-B03,-0.061280442,-0.0189290394956,2,2
LK3-A05,-0.033288214,-0.0161630590047,2,2
LK4-B03,-0.037788014,-0.0162259818687,2,2
LK5-H12,-0.023919485,-0.0157613059043,2,2
LK1-E01,-0.043467154,-0.0264002384593,2,2
LK3-D08,0.023624539,-0.0195007015739,2,2
LK4-B08,-0.063909414,-0.0105644147791,2,2
LK6-B07,-0.016711953,-0.0195587927498,2,2
LK6-F03,-0.109289121,-0.025362268719,2,2
LK6-B05,-0.006164366,-0.0223041889922,2,2
LK6-E02,-0.107711445,-0.014322297638999996,2,2
LK2-A11,-0.12701237599999998,-0.00824922290231,2,2
LK5-H02,-0.034306781,-0.004634090699029999,2,2
LK3-D01,0.066184564,-0.0243918203781,2,2
LK5-G03,-0.061380255,0.00259230831808,2,2
LK1-F05,0.046509142,-0.0204280280851,2,2
LK4-H12,-0.062143255,-0.0156972610604,2,2
LK6-B10,0.029777903,-0.0302935201483,2,2
LK6-D05,-0.043812384,-0.0210241291622,2,2
LK1-A02,0.074568945,-0.0160357100263,2,2
LK5-F08,0.015046178,-0.0285493071176,2,2
LK6-B09,-0.06491301099999999,-0.0120418382789,2,2
LK4-D02,-0.026555348,-0.012039086081700002,2,2
LK5-C01,-0.035507118,-0.0142617041571,2,2
LK5-B01,-0.069096858,-0.0136015936573,2,2
LK5-F10,-0.092640198,-0.0106574721205,2,2
LK5-C03,-0.034896086,-0.0156898980377,2,2
LK6-A09,-0.118694117,-0.00991980190451,2,2
LK3-C04,-0.021324099,-0.0224286273505,2,2
LK1-B08,-0.092333836,-0.0186983173828,2,2
LK6-D06,-0.063374275,-0.012858106811600002,2,2
LK4-B01,-0.060980824,-0.0162296681684,2,2
LK4-G05,-0.078376922,-0.0147771173527,2,2
LK3-B02,-0.061936905999999986,-0.0104104452034,2,2
LK3-G10,-0.05011661,-0.0330560566837,2,2
LK5-E09,-0.014933995,-0.0163527459336,2,2
LK2-C05,-0.072951481,-0.008024772176880001,2,2
LK5-H07,-0.016148315,-0.00834026765833,2,2
LK1-E09,0.00130607,-0.0108064429107,2,2
LK5-D04,-0.008201942,-0.0234237045869,2,2
LK2-E12,-0.003211055,-0.010953824828899998,2,2
LK5-D05,0.039769121,-0.0218718012535,2,2
LK5-C11,-0.07890419900000001,-0.0134624451081,2,2
LK2-F04,0.06440686799999999,-0.0302679665968,2,2
LK1-C09,0.097834819,-0.007755678365729999,2,2
LK6-D07,-0.067901009,-0.0193813881912,2,2
LK1-G11,0.02621332,-0.010534648824499998,2,2
LK1-B04,-0.09425094,-0.00969407764804,2,2
LK1-E04,0.010654118,-0.0147775665967,2,2
LK2-A12,-0.029611706,-0.0193115856967,2,2
LK4-H11,-0.043349795,-0.0158790688726,2,2
LK4-A12,0.044940192,-0.0135714989569,2,2
LK1-A09,-0.063297996,-0.0129779312696,2,2
LK6-C11,0.079424925,-0.0288137012297,2,2
LK5-A07,0.022318946,-0.0281991036694,2,2
LK6-A11,-0.101157306,-0.00410815338393,2,2
LK5-D09,0.003683436,-0.031506416126099994,2,2
LK1-G08,-0.076569198,-0.00816450557013,2,2
LK4-B12,-0.022692414,-0.016450205806799997,2,2
LK5-A04,0.032954446,-0.0205155965222,2,2
LK3-C12,0.004518577,-0.0290151433542,2,2
LK2-B07,-0.00378999,-0.0124066888319,2,2
LK3-H10,0.004132024000000001,0.000827551274786,2,2
LK4-G09,-0.050985005,-0.011334814136299998,2,2
LK3-B08,0.001601827,-0.00828938237343,2,2
LK2-A07,0.005623133000000001,-0.00232834006035,2,2
LK5-E08,-0.06663271,-0.0217211636333,2,2
LK3-F06,-0.125231999,-0.012244797788200002,2,2
LK4-B05,-0.055145456,-0.0153160241564,2,2
LK2-A10,-0.06981008799999999,-0.0370661657373,2,2
LK4-E03,0.013554151,-0.025949789296,2,2
LK1-A05,0.07181288400000001,-0.012776210072700002,2,2
LK4-D01,0.011072576,-0.00205483820875,2,2
LK6-A03,-0.071606045,-0.0142154989587,2,2
LK5-G01,-0.097400427,-0.021320282754900003,2,2
LK3-B11,-0.030885663,-0.0295072284416,2,2
LK3-F10,0.031324745,-0.0109703305769,2,2
LK5-A05,0.006670793,-0.00596463521595,2,2
LK3-H11,-0.037647523,-0.016706977810400002,2,2
LK6-C12,0.049026118,-0.020601396939,2,2
LK5-B07,-0.12667103400000002,-0.012773186629,2,2
LK3-B12,-0.069789932,-0.00504189626099,2,2
LK1-B01,0.007985589,-0.0107620396545,2,2
LK1-B05,-0.051014885,-0.0124961346747,2,2
LK3-C11,-0.024302582000000003,-0.0023761086951100004,2,2
LK3-G01,0.001125763,-0.0204420424227,2,2
LK5-F01,0.029027435,-0.008317834213729999,2,2
LK3-H08,-0.066259295,-0.00572216075917,2,2
LK2-B05,0.038236482,-0.0137028917234,2,2
LK2-B04,0.068553692,-0.0148233461076,2,2
LK3-D05,-0.097416376,-0.0344286888157,2,2
LK5-B05,-0.068647456,-0.0111604034794,2,2
LK6-A07,-0.043732835,-0.0239382800871,2,2
LK1-A06,0.031765912,-0.0201889903644,2,2
LK2-A05,-0.07650302099999999,-0.015873021481299997,2,2
LK2-F07,-0.012979132,-0.035474938469599995,2,2
LK4-H10,-0.01690951,-0.00525542451642,2,2
LK3-H06,0.010126796,-0.0150924611795,2,2
LK5-F03,-0.061319714,-0.044651462787,2,2
LK5-D03,0.072367787,-0.00594705268914,2,2
LK1-G12,-0.066683388,-0.021121308389,2,2
LK5-F07,0.057171065,-0.00603642601437,2,2
LK2-A06,-0.08736029599999999,-0.00831709776494,2,2
LK3-G11,-0.041289604,-0.0183882000139,2,2
LK3-C09,-0.003210792,-0.030729612952,2,2
LK5-D08,0.032239849,-0.009561330954,2,2
LK4-E01,0.007107061,-0.0104035942565,2,2
LK1-D02,-0.03975231,-0.0297440636383,2,2
LK6-C02,-0.010438455,-0.0336710204111,2,2
LK2-E08,-0.01185898,-0.0120090324872,2,2
LK3-A07,-0.008287901,-0.0141068000533,2,2
LK3-H05,0.017018613000000002,-0.0180366240842,2,2
LK2-D07,-0.009147778,-0.007144805266680002,2,2
LK1-C07,0.00115568,-0.0149042931943,2,2
LK1-C06,0.078083465,-0.0144161826069,2,2
LK3-D09,-0.077437477,-0.0209820513781,2,2
LK1-G09,-0.110538363,-0.0289509734418,2,2
LK2-D09,-0.04650311,-0.00562209063474,2,2
LK1-D06,-0.060605349,-0.00855258431702,2,2
LK3-A01,0.019923344,-0.0195137035152,2,2
LK2-D05,-0.040989887,-0.0093306914017,2,2
LK1-C11,0.03763259,-0.0115110071644,2,2
LK1-G03,0.044068065,-0.020570123336900004,2,2
LK3-D04,-0.058895829,-0.0111692606028,2,2
LK3-C06,0.010954336,-0.0166316960765,2,2
LK2-A01,-0.003379405,-0.0254064987235,2,2
LK2-G10,-0.005487313000000001,-0.0111174611833,2,2
