Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,-0.014539970723,2,2
LK3-G08,0.093805708,-0.0185824600752,2,2
LK2-G07,-0.019194571,-0.0055868282707200005,2,2
LK4-A04,0.036559047,-0.00911655292328,2,2
LK4-H03,0.02296139,-0.0119787694325,2,2
LK4-D11,-0.060829465,-0.0125280586647,2,2
LK3-E06,0.032744933,-0.00905826036504,2,2
LK1-D10,-0.037986439,-0.0220592403641,2,2
LK1-D12,-0.057403752,-0.0135510240662,2,2
LK6-C05,-0.059662381,-0.00974810071666,2,2
LK4-C09,-0.087799295,-0.0048496869333,2,2
LK5-C04,0.054950025,-0.0151986318964,2,2
LK1-B03,-0.061280442,-0.0044444977317900005,2,2
LK3-A05,-0.033288214,-0.0099916917598,2,2
LK4-B03,-0.037788014,-0.003554538344,2,2
LK5-B06,-0.068915324,-0.0032945920584,2,2
LK1-D08,-0.008491259000000001,-0.006378388640109999,2,2
LK5-H12,-0.023919485,-0.008305408494410001,2,2
LK1-E01,-0.043467154,-0.0076133378284,2,2
LK3-D08,0.023624539,0.006587522064029999,2,2
LK4-B08,-0.063909414,-0.00704673139863,2,2
LK6-B07,-0.016711953,-0.000321280395855,2,2
LK6-F03,-0.109289121,-0.0011814649499,2,2
LK6-B05,-0.006164366,-0.0037284896382600006,2,2
LK6-E02,-0.107711445,-0.017347389744099998,2,2
LK2-A11,-0.12701237599999998,0.00652994585592,2,2
LK5-H02,-0.034306781,-0.0119636267996,2,2
LK6-A10,-0.087805455,-0.00302028319672,2,2
LK3-D01,0.066184564,-0.024914346136500003,2,2
LK3-G02,-0.021250726,-0.00944834047465,2,2
LK5-G03,-0.061380255,0.0155792506601,2,2
LK1-F05,0.046509142,-0.017874155790599998,2,2
LK4-H12,-0.062143255,-0.00833067441905,2,2
LK6-B10,0.029777903,0.005504831785679999,2,2
LK6-D05,-0.043812384,-0.0059602015984,2,2
LK1-A02,0.074568945,-0.00809522539139,2,2
LK5-F08,0.015046178,-0.0125395576033,2,2
LK6-B09,-0.06491301099999999,-0.00505423720758,2,2
LK4-D02,-0.026555348,-0.0101543686125,2,2
LK5-C01,-0.035507118,-0.0023798075118400003,2,2
LK5-B01,-0.069096858,-0.004870662032390001,2,2
LK5-F10,-0.092640198,-0.0004705801618540001,2,2
LK5-C03,-0.034896086,-0.0141845135885,2,2
LK2-F11,0.035349227000000004,0.00474663786551,2,2
LK6-A09,-0.118694117,0.0198042626907,2,2
LK3-C04,-0.021324099,-0.0172529901755,2,2
LK1-B08,-0.092333836,0.00409562415641,2,2
LK3-H03,-0.049118176,-0.010835842332299998,2,2
LK6-D06,-0.063374275,-0.000214378511997,2,2
LK2-C09,-0.029181055,-0.00569692417849,2,2
LK4-B01,-0.060980824,-0.0117408235773,2,2
LK3-B02,-0.061936905999999986,-0.0146698405604,2,2
LK3-G10,-0.05011661,-0.0142547736704,2,2
LK5-E09,-0.014933995,-0.00382414339196,2,2
LK2-C05,-0.072951481,0.00123908547115,2,2
LK5-H07,-0.016148315,-0.00986666302032,2,2
LK1-E09,0.00130607,-0.0174272503547,2,2
LK5-D04,-0.008201942,0.0028193918705000003,2,2
LK2-E12,-0.003211055,-0.0113024974622,2,2
LK3-B10,0.060567274,-0.014633043333700003,2,2
LK5-D05,0.039769121,-0.0147416636424,2,2
LK5-C11,-0.07890419900000001,-0.00954871178224,2,2
LK2-F04,0.06440686799999999,-0.00880418698217,2,2
LK1-C09,0.097834819,-0.05920478000330001,2,2
LK3-B03,0.020432307,0.00356757422961,2,2
LK6-D07,-0.067901009,-0.00704087372168,2,2
LK1-G11,0.02621332,0.0010040154501,2,2
LK1-B04,-0.09425094,-0.00470608641723,2,2
LK1-E04,0.010654118,-0.0071082563299,2,2
LK2-A12,-0.029611706,-0.0162756702528,2,2
LK4-H11,-0.043349795,0.00440956504557,2,2
LK4-A12,0.044940192,-0.00752353801673,2,2
LK1-A09,-0.063297996,-0.006684151952859999,2,2
LK6-C11,0.079424925,-0.00569639778344,2,2
LK5-A07,0.022318946,-0.016243794093799998,2,2
LK6-A11,-0.101157306,-0.00174643159274,2,2
LK5-D09,0.003683436,0.0103572785324,2,2
LK5-G09,0.000908654,0.0105819665923,2,2
LK1-G08,-0.076569198,-0.0167604089944,2,2
LK4-B12,-0.022692414,-0.00433621487713,2,2
LK5-A04,0.032954446,-0.0125272117747,2,2
LK3-C12,0.004518577,-0.0021147106052,2,2
LK2-B07,-0.00378999,-0.0132578768486,2,2
LK3-H10,0.004132024000000001,-0.016242010932799998,2,2
LK4-G09,-0.050985005,-0.00183913674336,2,2
LK3-B08,0.001601827,-0.0215480227211,2,2
LK1-H04,-0.07081425599999999,-0.0103126970151,2,2
LK2-A07,0.005623133000000001,-0.00806715182721,2,2
LK5-E08,-0.06663271,-0.0264900581103,2,2
LK3-F06,-0.125231999,0.00908741264217,2,2
LK4-B05,-0.055145456,-0.0085207933249,2,2
LK2-A10,-0.06981008799999999,-0.0006369582222669999,2,2
LK4-E03,0.013554151,-0.00798077902333,2,2
LK1-A05,0.07181288400000001,-0.00640938694229,2,2
LK4-D01,0.011072576,-0.005826059812010001,2,2
LK6-A03,-0.071606045,-0.00569858596849,2,2
LK2-E07,0.021067245,0.00333789412339,2,2
LK5-G01,-0.097400427,-0.00472753550761,2,2
LK3-B11,-0.030885663,-0.0104366050839,2,2
LK3-F10,0.031324745,-0.00325737977723,2,2
LK5-A05,0.006670793,-0.00748804262855,2,2
LK3-H11,-0.037647523,-0.005295214295,2,2
LK6-C12,0.049026118,-0.00850312167545,2,2
LK5-B07,-0.12667103400000002,0.00112824059228,2,2
LK3-B12,-0.069789932,0.004756385192390001,2,2
LK1-B01,0.007985589,-0.016401993238899997,2,2
LK1-B05,-0.051014885,-0.0102734206558,2,2
LK3-C11,-0.024302582000000003,-0.0159084944781,2,2
LK3-G01,0.001125763,-0.0332423996743,2,2
LK5-F01,0.029027435,-0.0071237925841599985,2,2
LK2-B05,0.038236482,-0.0113134609736,2,2
LK2-B04,0.068553692,-0.0143295419045,2,2
LK3-D05,-0.097416376,0.003575310019550001,2,2
LK5-B05,-0.068647456,-0.00809418996911,2,2
