Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,-0.0378884053505,0,2
LK3-G08,0.093805708,-0.01772791247,1,2
LK2-G07,-0.019194571,-0.0188395426228,1,2
LK4-H03,0.02296139,-0.0341108926167,0,2
LK4-D11,-0.060829465,-0.019081374818,1,2
LK3-E06,0.032744933,-0.0251281644793,1,2
LK1-D10,-0.037986439,-0.0127772692476,0,2
LK1-D12,-0.057403752,-0.0356465236421,0,2
LK6-C05,-0.059662381,-0.0250490529578,0,2
LK4-C09,-0.087799295,-0.0172350872061,0,2
LK5-C04,0.054950025,-0.0176122413386,1,2
LK1-B03,-0.061280442,-0.0218930994406,0,2
LK3-A05,-0.033288214,-0.0437868369424,0,2
LK4-B03,-0.037788014,-0.0163970350406,1,2
LK5-B06,-0.068915324,-0.07216588919160001,0,2
LK1-D08,-0.008491259000000001,-0.0559597474539,0,2
LK5-H12,-0.023919485,-0.0301182430357,0,2
LK1-E01,-0.043467154,-0.0295811021596,0,2
LK3-D08,0.023624539,-0.0147210500217,1,2
LK4-B08,-0.063909414,-0.0512054793829,0,2
LK6-B07,-0.016711953,-0.0150913823535,1,2
LK6-F03,-0.109289121,-0.0183965767848,1,2
LK6-B05,-0.006164366,-0.0328400961367,0,2
LK6-E02,-0.107711445,-0.0227866419625,1,2
LK2-A11,-0.12701237599999998,-0.0137792325921,1,2
LK5-H02,-0.034306781,-0.0447483580396,0,2
LK3-D01,0.066184564,-0.0181540939444,1,2
LK5-G03,-0.061380255,-0.0365464154579,1,2
LK1-F05,0.046509142,-0.034333233238499995,0,2
LK4-H12,-0.062143255,-0.0274479935956,1,2
LK6-B10,0.029777903,-0.0281478746997,1,2
LK6-D05,-0.043812384,-0.0174590290057,0,2
LK1-A02,0.074568945,-0.0231514572038,1,2
LK5-F08,0.015046178,-0.0323485107202,1,2
LK6-B09,-0.06491301099999999,-0.0245318857105,1,2
LK5-C01,-0.035507118,-0.023254426456,1,2
LK5-B01,-0.069096858,-0.0218683902883,1,2
LK5-F10,-0.092640198,-0.00956378604122,1,2
LK5-C03,-0.034896086,-0.024855088976,1,2
LK2-F11,0.035349227000000004,-0.0209879120333,1,2
LK3-C04,-0.021324099,-0.0339952550484,1,2
LK1-B08,-0.092333836,-0.0215779427425,1,2
LK3-H03,-0.049118176,-0.0421635712061,0,2
LK6-D06,-0.063374275,-0.021052729346,1,2
LK2-C09,-0.029181055,-0.016590474004600002,1,2
LK4-B01,-0.060980824,-0.023645868004,1,2
LK3-B02,-0.061936905999999986,-0.0206144193475,0,2
LK3-G10,-0.05011661,-0.0202691460937,0,2
LK5-E09,-0.014933995,-0.0254955233026,1,2
LK2-C05,-0.072951481,-0.010551399101799998,0,2
LK5-H07,-0.016148315,-0.0113404682571,0,2
LK1-E09,0.00130607,-0.022349439271,1,2
LK5-D04,-0.008201942,-0.0298362931032,0,2
LK2-E12,-0.003211055,-0.00889995301475,0,2
LK3-B10,0.060567274,-0.0384063445132,0,2
LK5-D05,0.039769121,-0.0344206881061,0,2
LK5-C11,-0.07890419900000001,-0.0253473400254,1,2
LK2-F04,0.06440686799999999,-0.026072458886,0,2
LK1-C09,0.097834819,-0.0214440104725,1,2
LK3-B03,0.020432307,-0.00954772990072,1,2
LK6-D07,-0.067901009,-0.0357289085465,0,2
LK1-G11,0.02621332,-0.02752086124,0,2
LK1-B04,-0.09425094,-0.0139686676853,1,2
LK1-E04,0.010654118,-0.043496595583,1,2
LK2-A12,-0.029611706,-0.0284304380656,0,2
LK4-H11,-0.043349795,-0.0189817285254,1,2
LK4-A12,0.044940192,-0.0166779172523,1,2
LK1-A09,-0.063297996,-0.0188639841088,0,2
LK6-C11,0.079424925,-0.0153829112939,1,2
LK5-A07,0.022318946,-0.0521059201564,0,2
LK6-A11,-0.101157306,-0.0217350511422,1,2
LK5-D09,0.003683436,-0.0322021729244,1,2
LK5-G09,0.000908654,-0.0150778053448,1,2
LK1-G08,-0.076569198,-0.0431407537435,0,2
LK4-B12,-0.022692414,-0.0330955620019,1,2
LK5-A04,0.032954446,-0.0417631194798,0,2
LK3-C12,0.004518577,-0.0479319347215,0,2
LK2-B07,-0.00378999,-0.043465240979,0,2
LK3-H10,0.004132024000000001,-0.0340577764111,0,2
LK4-G09,-0.050985005,-0.0285794364107,0,2
LK3-B08,0.001601827,-0.0146805626201,1,2
LK2-A07,0.005623133000000001,-0.0282802289185,0,2
LK5-E08,-0.06663271,-0.032556969548800004,0,2
LK3-F06,-0.125231999,-0.021893443131,0,2
LK4-B05,-0.055145456,-0.0314347256648,0,2
LK2-A10,-0.06981008799999999,-0.0192207944706,0,2
LK4-E03,0.013554151,-0.0326396728242,0,2
LK1-A05,0.07181288400000001,-0.023157664599900003,0,2
LK4-D01,0.011072576,-0.0448708540735,0,2
LK6-A03,-0.071606045,-0.029827668460000005,0,2
LK5-G01,-0.097400427,-0.025405498921,0,2
LK3-B11,-0.030885663,-0.0302087760032,0,2
LK3-F10,0.031324745,-0.00859917809989,1,2
LK5-A05,0.006670793,-0.0167965697968,0,2
LK6-C12,0.049026118,-0.0210713264651,1,2
LK5-B07,-0.12667103400000002,-0.0075612704099,1,2
LK3-B12,-0.069789932,-0.0222830166658,0,2
LK1-B01,0.007985589,-0.0445180402107,0,2
LK1-B05,-0.051014885,-0.0214555962764,1,2
LK3-C11,-0.024302582000000003,-0.0176732672691,0,2
LK3-G01,0.001125763,-0.0232934697781,1,2
LK5-F01,0.029027435,-0.021271261079,1,2
LK3-H08,-0.066259295,-0.037587143726,0,2
LK2-B05,0.038236482,-0.0187758283195,1,2
LK2-B04,0.068553692,-0.0520935127097,0,2
LK3-D05,-0.097416376,-0.0220817082043,1,2
LK5-B05,-0.068647456,-0.0334822718067,0,2
LK6-A07,-0.043732835,-0.048041983394800016,0,2
LK1-A06,0.031765912,-0.037015321312,0,2
LK2-A05,-0.07650302099999999,-0.0236526171827,0,2
LK2-F07,-0.012979132,-0.0416570815424,0,2
LK4-H10,-0.01690951,-0.00593457698351,1,2
LK3-H06,0.010126796,-0.0217359796314,1,2
LK5-F03,-0.061319714,-0.0295719319733,0,2
LK5-E01,-0.08983357800000001,-0.0330620717815,0,2
LK5-A03,0.030986837000000007,-0.0189133638528,1,2
LK5-D03,0.072367787,-0.0146329953529,1,2
LK1-G12,-0.066683388,-0.0364277143021,0,2
LK5-F07,0.057171065,-0.0087278630425,1,2
LK4-C10,-0.045171086,-0.017975210086299997,1,2
LK2-A06,-0.08736029599999999,-0.0144021877965,0,2
LK6-A05,0.006446217,-0.0244934424758,0,2
LK3-G11,-0.041289604,-0.00388037977915,0,2
LK3-C09,-0.003210792,-0.0107431445664,0,2
LK4-E01,0.007107061,-0.017618972136999998,1,2
LK1-D02,-0.03975231,-0.0209279750662,1,2
LK6-C02,-0.010438455,-0.0401210395255,0,2
LK2-E08,-0.01185898,-0.029597352555900007,0,2
LK3-A07,-0.008287901,-0.0641422713545,0,2
LK3-H05,0.017018613000000002,-0.0668835591794,0,2
LK2-D07,-0.009147778,-0.0335916073105,0,2
LK1-C07,0.00115568,-0.0466722842695,0,2
LK1-C06,0.078083465,-0.0364401341616,0,2
LK3-D09,-0.077437477,-0.0350200544102,1,2
LK1-G09,-0.110538363,-0.0280147265367,1,2
LK2-D09,-0.04650311,-0.0334973572996,0,2
LK1-D06,-0.060605349,-0.0375384326687,0,2
LK3-A01,0.019923344,-0.019943289258,1,2
LK2-D05,-0.040989887,-0.0200888051165,1,2
LK1-C11,0.03763259,-0.0289100594061,0,2
LK1-G03,0.044068065,-0.0391398325635,0,2
LK3-D04,-0.058895829,-0.0143468673959,1,2
LK2-A01,-0.003379405,-0.0567047170638,0,2
LK2-G10,-0.005487313000000001,-0.0157075201315,0,2
