Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-D11,-0.060829465,-0.0261941244366,2,2
LK1-D12,-0.057403752,-0.0243899647481,2,2
LK4-C09,-0.087799295,-0.018191317222,2,2
LK5-H12,-0.023919485,-0.07938523854639999,2,2
LK6-E02,-0.107711445,-0.016922977420999998,2,2
LK2-A11,-0.12701237599999998,-0.0322842572573,2,2
LK6-A10,-0.087805455,-0.016703559665700002,2,2
LK1-F05,0.046509142,-0.0318780917495,2,2
LK6-B10,0.029777903,-0.0261791551984,2,2
LK2-C05,-0.072951481,-0.06556551395480001,2,2
LK3-B10,0.060567274,-0.12776026646,2,2
LK5-D05,0.039769121,-0.0998491959188,2,2
LK2-F04,0.06440686799999999,-0.0918723869286,2,2
LK6-D07,-0.067901009,-0.0266939654617,2,2
LK1-B04,-0.09425094,-0.0914076660385,2,2
LK2-A12,-0.029611706,-0.029106347302599995,2,2
LK4-H11,-0.043349795,-0.0488404077631,2,2
LK1-A09,-0.063297996,-0.03023265319,2,2
LK5-A07,0.022318946,-0.0293472721449,2,2
LK4-B12,-0.022692414,-0.055012386832600006,2,2
LK3-C12,0.004518577,-0.07445028543,2,2
LK2-B07,-0.00378999,-0.0570543139972,2,2
LK4-G09,-0.050985005,-0.0285451053532,2,2
LK2-A07,0.005623133000000001,-0.0658416220397,2,2
LK5-E08,-0.06663271,-0.136113706699,2,2
LK3-F06,-0.125231999,0.00135675602144,2,2
LK2-A10,-0.06981008799999999,-0.0136515633806,2,2
LK5-G01,-0.097400427,-0.0212405792262,2,2
LK3-B11,-0.030885663,-0.039962543150300005,2,2
LK5-A05,0.006670793,-0.170366688935,2,2
LK5-B07,-0.12667103400000002,-0.016571026174,2,2
LK1-B01,0.007985589,-0.0923633531425,2,2
LK2-B04,0.068553692,-0.0968495116168,2,2
LK3-H06,0.010126796,-0.064701254281,2,2
LK5-F03,-0.061319714,-0.08154896664889999,2,2
LK5-F07,0.057171065,-0.106952320155,2,2
LK2-A06,-0.08736029599999999,-0.0267194108748,2,2
LK4-E01,0.007107061,-0.114229408994,2,2
LK2-E08,-0.01185898,-0.0702368222045,2,2
LK2-D07,-0.009147778,-0.121722756283,2,2
LK1-C06,0.078083465,-0.156803579221,2,2
LK1-G09,-0.110538363,-0.0442002733819,2,2
LK2-D09,-0.04650311,-0.0775995293306,2,2
LK1-D06,-0.060605349,-0.0242034836165,2,2
LK2-D05,-0.040989887,-0.027923770185700005,2,2
LK2-A01,-0.003379405,-0.0226974765595,2,2
LK2-G10,-0.005487313000000001,-0.0560058615826,2,2
