Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK3-G08,0.093805708,-0.0362056988902,2,2
LK4-H03,0.02296139,-0.0826280154341,2,2
LK4-D11,-0.060829465,-0.0535561697349,2,2
LK1-D12,-0.057403752,-0.0299476023276,2,2
LK6-C05,-0.059662381,-0.07848269772199999,2,2
LK4-C09,-0.087799295,-0.063419542146,2,2
LK3-A05,-0.033288214,-0.031590359161900006,2,2
LK5-B06,-0.068915324,-0.058679801188400015,2,2
LK1-E01,-0.043467154,-0.0700761135866,2,2
LK4-B08,-0.063909414,-0.0567977058849,2,2
LK6-F03,-0.109289121,-0.0985433796359,2,2
LK6-B05,-0.006164366,-0.119264583666,2,2
LK6-E02,-0.107711445,-0.0324114469593,2,2
LK2-A11,-0.12701237599999998,-0.07065600821580001,2,2
LK3-G02,-0.021250726,-0.0614634685075,2,2
LK4-H12,-0.062143255,-0.08547207024150001,2,2
LK6-B10,0.029777903,-0.0617445392941,2,2
LK1-A02,0.074568945,-0.0639348894163,2,2
LK5-F08,0.015046178,-0.0453156453864,2,2
LK6-B09,-0.06491301099999999,-0.054225047225699985,2,2
LK5-B01,-0.069096858,-0.042381282665400005,2,2
LK5-F10,-0.092640198,-0.07775419306589999,2,2
LK3-C04,-0.021324099,-0.07425226184339999,2,2
LK4-B06,-0.0073895240000000015,-0.104911536602,2,2
LK2-C05,-0.072951481,-0.0364738035159,2,2
LK5-H07,-0.016148315,-0.136078821271,2,2
LK5-D04,-0.008201942,-0.0574956077167,2,2
LK2-E12,-0.003211055,-0.0468604818921,2,2
LK5-D05,0.039769121,-0.045931836681900005,2,2
LK5-C11,-0.07890419900000001,-0.0438045571153,2,2
LK1-B04,-0.09425094,-0.06069805069540001,2,2
LK4-A12,0.044940192,-0.0460709309312,2,2
LK1-A09,-0.063297996,-0.0619888908201,2,2
LK4-B12,-0.022692414,-0.0446417323779,2,2
LK3-C12,0.004518577,-0.08877036825239999,2,2
LK4-G09,-0.050985005,-0.0314852387179,2,2
LK1-H04,-0.07081425599999999,-0.0983790372768,2,2
LK2-A07,0.005623133000000001,-0.0459698777773,2,2
LK3-F06,-0.125231999,-0.0717062749143,2,2
LK4-B05,-0.055145456,-0.0610095268803,2,2
LK2-A10,-0.06981008799999999,-0.104099927649,2,2
LK4-E03,0.013554151,-0.0777624316118,2,2
LK4-D01,0.011072576,-0.071257337012,2,2
LK6-A03,-0.071606045,-0.08365579321060003,2,2
LK3-B11,-0.030885663,-0.0612291246517,2,2
LK3-F10,0.031324745,-0.0450669693415,2,2
LK3-H11,-0.037647523,-0.059606743414699986,2,2
LK5-B07,-0.12667103400000002,-0.107931177821,2,2
LK3-B12,-0.069789932,-0.0505552868277,2,2
LK3-H08,-0.066259295,-0.07343407901139999,2,2
LK3-D05,-0.097416376,-0.0899088606608,2,2
LK5-B05,-0.068647456,-0.08039485016,2,2
LK6-A07,-0.043732835,-0.0647050754722,2,2
LK4-H10,-0.01690951,-0.0319059605791,2,2
LK5-D03,0.072367787,-0.0385902944182,2,2
LK5-F07,0.057171065,-0.0633153640019,2,2
LK3-G11,-0.041289604,-0.0786779877536,2,2
LK3-C09,-0.003210792,-0.0433886210356,2,2
LK1-C07,0.00115568,-0.06404990349119999,2,2
LK3-D09,-0.077437477,-0.0326172643047,2,2
LK1-G09,-0.110538363,-0.0416911502198,2,2
LK2-D09,-0.04650311,-0.0623972622292,2,2
LK2-D05,-0.040989887,-0.0499442203929,2,2
LK3-D04,-0.058895829,-0.0466405192995,2,2
LK2-A01,-0.003379405,-0.045291544138,2,2
LK2-G10,-0.005487313000000001,-0.06938668326339999,2,2
