Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK3-G08,0.093805708,-0.0166075619604,2,2
LK3-E06,0.032744933,-0.0267530785816,2,2
LK4-B03,-0.037788014,-0.0553834765111,2,2
LK4-H12,-0.062143255,-0.028394271795900008,2,2
LK6-D05,-0.043812384,-0.0243697588665,2,2
LK5-F08,0.015046178,-0.0121804472378,2,2
LK5-B01,-0.069096858,-0.013786889564,2,2
LK3-H03,-0.049118176,-0.039036899067300006,2,2
LK6-D06,-0.063374275,-0.0196780416555,2,2
LK5-H07,-0.016148315,-0.0207867787662,2,2
LK1-E09,0.00130607,-0.0251147798521,2,2
LK5-C11,-0.07890419900000001,-0.00659125363409,2,2
LK1-E04,0.010654118,-0.0329537990832,2,2
LK5-A07,0.022318946,-0.0220051332368,2,2
LK3-C12,0.004518577,-0.0436288655696,2,2
LK4-G09,-0.050985005,-0.034698345237500004,2,2
LK1-H04,-0.07081425599999999,-0.0234298339572,2,2
LK2-A07,0.005623133000000001,-0.00477612018187,2,2
LK5-E08,-0.06663271,-0.011476586211700002,2,2
LK2-A10,-0.06981008799999999,-0.00927950917383,2,2
LK1-A05,0.07181288400000001,-0.0636383299818,2,2
LK6-A03,-0.071606045,-0.0177410304049,2,2
LK3-B11,-0.030885663,-0.021226498361900003,2,2
LK3-H11,-0.037647523,-0.0334684112763,2,2
LK1-B05,-0.051014885,-0.018744009097400004,2,2
LK3-C11,-0.024302582000000003,-0.0164199112756,2,2
LK3-G01,0.001125763,-0.0065295545469200005,2,2
LK2-B05,0.038236482,-0.0601291481764,2,2
LK2-B04,0.068553692,-0.032114357429800004,2,2
LK5-B05,-0.068647456,-0.0398963180986,2,2
LK2-A05,-0.07650302099999999,-0.0156007235615,2,2
LK5-F03,-0.061319714,-0.0337461694042,2,2
LK5-E01,-0.08983357800000001,-0.0180994623801,2,2
LK1-G12,-0.066683388,-0.033652844062900006,2,2
LK2-A06,-0.08736029599999999,-0.0440956508964,2,2
LK6-A05,0.006446217,-0.053314213582,2,2
LK4-E01,0.007107061,-0.0191808491231,2,2
LK3-H05,0.017018613000000002,-0.0611288142515,2,2
LK3-D09,-0.077437477,-0.00124254478314,2,2
LK2-D05,-0.040989887,-0.0224863960286,2,2
LK3-D04,-0.058895829,-0.0241588315014,2,2
LK3-C06,0.010954336,-0.060972911497,2,2
LK2-A01,-0.003379405,-0.0111121759993,2,2
LK2-G10,-0.005487313000000001,-0.0355956327684,2,2
