Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,0.0116435927755,1,1
LK3-G08,0.093805708,-0.0559520214382,0,1
LK2-G07,-0.019194571,-0.0693173482258,0,0
LK4-A04,0.036559047,-0.06513358492480001,0,0
LK4-H03,0.02296139,-0.0501625608753,0,0
LK4-D11,-0.060829465,0.0114540660579,1,1
LK3-E06,0.032744933,-0.060126221226699986,0,0
LK1-D12,-0.057403752,0.00960977311675,1,1
LK6-C05,-0.059662381,0.0189170543905,1,1
LK4-C09,-0.087799295,0.00771214294599,1,0
LK5-C04,0.054950025,-0.0799787394495,0,0
LK1-B03,-0.061280442,0.0154537406805,1,1
LK3-A05,-0.033288214,-0.0270663578907,0,1
LK4-B03,-0.037788014,0.00624634162389,1,0
LK5-B06,-0.068915324,-0.0037603026131,1,0
LK1-D08,-0.008491259000000001,-0.050613339414,0,0
LK5-H12,-0.023919485,-0.00346383231437,1,0
LK1-E01,-0.043467154,0.0131321226129,1,1
LK4-B08,-0.063909414,0.0117577486136,1,1
LK6-B07,-0.016711953,0.00964368169837,1,1
LK6-F03,-0.109289121,0.0184584824494,1,0
LK6-B05,-0.006164366,-0.0471967093686,0,0
LK6-E02,-0.107711445,0.016266866271299998,1,0
LK2-A11,-0.12701237599999998,0.0195646214767,1,0
LK5-H02,-0.034306781,0.0129077038068,1,1
LK6-A10,-0.087805455,0.00829946921012,1,1
LK3-D01,0.066184564,-0.0674166093358,0,0
LK3-G02,-0.021250726,-0.0588599149573,0,0
LK5-G03,-0.061380255,0.00767868470311,1,0
LK1-F05,0.046509142,-0.0582700026104,0,0
LK4-H12,-0.062143255,0.0113751638992,1,1
LK6-B10,0.029777903,-0.0337879272311,0,0
LK6-D05,-0.043812384,0.013524827858,1,1
LK1-A02,0.074568945,-0.057277531840199986,0,1
LK5-F08,0.015046178,-0.0441976716521,0,0
LK5-H08,-0.000319424,-0.0368765093404,0,0
LK6-B09,-0.06491301099999999,0.0106677427265,1,1
LK4-D02,-0.026555348,0.0108809879679,1,1
LK5-C01,-0.035507118,0.00881629570203,1,1
LK5-B01,-0.069096858,0.0110999700591,1,1
LK5-F10,-0.092640198,0.0066211895104,1,0
LK5-C03,-0.034896086,-0.011626988512,1,0
LK2-F11,0.035349227000000004,-0.049373232279,0,1
LK6-A09,-0.118694117,0.00453140876995,1,0
LK6-E04,-0.042724455,0.016203030251499998,1,1
