Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,-0.00959000321627,1,1
LK3-G08,0.093805708,-0.00209582480655,0,1
LK2-G07,-0.019194571,0.0142204455853,0,0
LK4-A04,0.036559047,-0.0084799767801,0,0
LK4-H03,0.02296139,0.00681402357249,0,0
LK4-D11,-0.060829465,-0.012103083061600002,1,1
LK3-E06,0.032744933,-0.00190584266155,0,0
LK1-D10,-0.037986439,-0.0145905416121,1,1
LK1-D12,-0.057403752,-0.014794285042299998,1,1
LK6-C05,-0.059662381,-0.0192185454959,1,1
LK4-C09,-0.087799295,-0.00384587065331,1,0
LK5-C04,0.054950025,-0.00392787543196,0,0
LK1-B03,-0.061280442,-0.0111726423385,1,1
LK3-A05,-0.033288214,0.0194963674659,0,1
LK4-B03,-0.037788014,0.0113952927691,1,0
LK5-B06,-0.068915324,-0.0169965519392,1,0
LK1-D08,-0.008491259000000001,-0.00367276355198,0,0
LK5-H12,-0.023919485,-0.00130499665932,1,0
LK1-E01,-0.043467154,-0.00339241687643,1,1
LK3-D08,0.023624539,0.0163647595694,0,0
LK4-B08,-0.063909414,-0.00271506479177,1,1
LK6-B07,-0.016711953,-0.00546797709335,1,1
LK6-F03,-0.109289121,-0.00294962014738,1,0
LK6-B05,-0.006164366,0.010888486928,0,0
LK6-E02,-0.107711445,-0.00549194026969,1,0
LK2-A11,-0.12701237599999998,0.003950952411889999,1,0
LK5-H02,-0.034306781,-0.0109578926043,1,1
LK6-A10,-0.087805455,-0.0139969097708,1,1
LK3-D01,0.066184564,0.00920677872757,0,0
LK3-G02,-0.021250726,0.0240347164171,0,0
LK5-G03,-0.061380255,-0.020962934696500003,1,0
LK1-F05,0.046509142,0.0037335788305,0,0
LK4-H12,-0.062143255,-0.0104949437785,1,1
LK6-B10,0.029777903,-0.00195965395575,0,0
LK6-D05,-0.043812384,-0.00946204137711,1,1
LK1-A02,0.074568945,-0.0025108376295700004,0,1
LK5-F08,0.015046178,-0.015137219725,0,0
LK6-B09,-0.06491301099999999,-0.00690184237264,1,1
LK4-D02,-0.026555348,-0.0114293077945,1,1
LK5-C01,-0.035507118,-0.0116331353482,1,1
LK5-B01,-0.069096858,-0.00911753464532,1,1
LK5-F10,-0.092640198,-0.00226237901675,1,0
LK5-C03,-0.034896086,0.0060140357166100005,1,0
LK2-F11,0.035349227000000004,-0.00120525348771,0,1
LK6-A09,-0.118694117,-0.0310857856865,1,0
LK3-C04,-0.021324099,-0.019053370218,0,0
LK1-B08,-0.092333836,0.023292847745,1,0
LK3-H03,-0.049118176,-0.00281078121543,1,1
LK6-D06,-0.063374275,-0.00780074691159,1,1
LK2-C09,-0.029181055,-0.0053462807634,1,1
LK4-B01,-0.060980824,-0.006215706735640001,1,1
LK4-B06,-0.0073895240000000015,0.0178026000775,0,0
LK4-G05,-0.078376922,-0.0007271512401649999,1,1
LK3-B02,-0.061936905999999986,0.00538921457331,1,0
LK3-G10,-0.05011661,0.00289507864529,1,0
LK5-E09,-0.014933995,-0.0121491850375,1,1
LK2-C05,-0.072951481,0.00212053155309,1,0
LK5-H07,-0.016148315,-0.00266890400546,1,1
LK1-E09,0.00130607,-0.00960209468024,0,1
LK5-D04,-0.008201942,0.010632370640799998,0,0
