Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,-0.0285773846115,1,2
LK2-G07,-0.019194571,-0.102877496594,0,2
LK1-D12,-0.057403752,-0.038682218482,1,2
LK4-C09,-0.087799295,-0.0214969038786,1,2
LK5-C04,0.054950025,-0.0822894201607,0,2
LK4-B03,-0.037788014,-0.0379286908202,1,2
LK5-H12,-0.023919485,-0.0501490489511,1,2
LK3-D08,0.023624539,-0.0564125612756,0,2
LK4-B08,-0.063909414,-0.0316567616735,1,2
LK6-B05,-0.006164366,-0.105953908656,0,2
LK2-A11,-0.12701237599999998,-0.0151453368264,1,2
LK5-H02,-0.034306781,-0.031646832483,1,2
LK3-G02,-0.021250726,-0.0771981254502,0,2
LK1-F05,0.046509142,-0.064769673522,0,2
LK4-H12,-0.062143255,-0.0131598426963,1,2
LK6-D05,-0.043812384,-0.0513187308966,1,2
LK6-B09,-0.06491301099999999,-0.0420028512221,1,2
LK5-F10,-0.092640198,-0.0400382722664,1,2
LK3-C04,-0.021324099,-0.0601115802621,0,2
LK1-B08,-0.092333836,-0.0876062746257,1,2
LK6-D06,-0.063374275,-0.047981392044900005,1,2
LK4-B01,-0.060980824,-0.0358141037855,1,2
LK3-B02,-0.061936905999999986,-0.0439538585989,1,2
LK5-E09,-0.014933995,-0.07276140658760001,1,2
LK2-C05,-0.072951481,-0.015188947112700003,1,2
LK3-B10,0.060567274,-0.138958023579,0,2
LK1-G11,0.02621332,-0.0480202224711,0,2
LK1-B04,-0.09425094,-0.0480896232743,1,2
LK2-A12,-0.029611706,-0.0959504912475,1,2
LK4-A12,0.044940192,-0.0980048232839,0,2
LK1-A09,-0.063297996,-0.0725784044925,1,2
LK5-A07,0.022318946,-0.07132890442630001,0,2
LK4-B12,-0.022692414,-0.0543415380437,1,2
LK5-A04,0.032954446,-0.0410341049397,0,2
LK2-B07,-0.00378999,-0.0658363531419,0,2
LK3-H10,0.004132024000000001,-0.07777854207530001,0,2
LK3-B08,0.001601827,-0.0727758662995,0,2
LK3-F06,-0.125231999,-0.024800675365400003,1,2
LK2-A10,-0.06981008799999999,-0.0304442466678,1,2
LK4-E03,0.013554151,-0.0742673763976,0,2
LK6-A03,-0.071606045,-0.0560911627824,1,2
LK5-G01,-0.097400427,-0.0601209563497,1,2
LK3-F10,0.031324745,-0.051423991780900014,0,2
LK5-A05,0.006670793,-0.0756581246791,0,2
LK5-B07,-0.12667103400000002,-0.0299381368422,1,2
LK3-B12,-0.069789932,-0.00995292787318,1,2
LK3-C11,-0.024302582000000003,-0.0482359984312,1,2
LK5-B05,-0.068647456,-0.0470780673169,1,2
LK2-A05,-0.07650302099999999,-0.0443888036423,1,2
LK5-F03,-0.061319714,-0.13670714336,0,2
LK5-E01,-0.08983357800000001,-0.0194906675802,1,2
LK5-A03,0.030986837000000007,-0.0955984145024,0,2
LK1-G12,-0.066683388,-0.0168069287096,1,2
LK5-F07,0.057171065,-0.074654670243,0,2
LK3-G11,-0.041289604,-0.0442706329275,1,2
LK5-D08,0.032239849,-0.0556263580188,1,2
LK4-E01,0.007107061,-0.0145480607569,0,2
LK1-D02,-0.03975231,0.00040532877199400013,1,2
LK2-E08,-0.01185898,-0.105902309763,1,2
LK3-A07,-0.008287901,-0.0540001032419,0,2
LK4-C08,-0.024730103,-0.08663038742180001,1,2
LK1-C06,0.078083465,-0.0751474147952,0,2
LK3-D09,-0.077437477,-0.07482330201389999,1,2
LK1-G09,-0.110538363,-0.013636541820399998,1,2
LK2-D09,-0.04650311,-0.0308329952621,1,2
LK1-D06,-0.060605349,-0.046117232237099993,1,2
LK3-A01,0.019923344,-0.0965136088289,0,2
LK2-D05,-0.040989887,-0.0325533362729,1,2
LK3-D04,-0.058895829,-0.038217537165300006,1,2
LK2-G10,-0.005487313000000001,-0.100875502236,1,2
