Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,-0.0407283507263,1,0
LK2-G07,-0.019194571,-0.06430914414609999,1,1
LK4-H03,0.02296139,-0.0607385523865,1,1
LK4-D11,-0.060829465,-0.0383310328168,0,1
LK3-E06,0.032744933,-0.042759083999,1,0
LK1-D12,-0.057403752,-0.0603513143611,0,0
LK6-C05,-0.059662381,-0.0516619664697,1,0
LK4-C09,-0.087799295,-0.0523400196344,0,1
LK5-C04,0.054950025,-0.0394398579444,1,0
LK1-B03,-0.061280442,-0.0434250447722,0,0
LK3-A05,-0.033288214,-0.0031596171088800005,0,0
LK4-B03,-0.037788014,-0.0782898316188,1,0
LK1-D08,-0.008491259000000001,-0.043906603647300015,1,1
LK5-H12,-0.023919485,-0.0684362137093,1,1
LK4-B08,-0.063909414,-0.0555616001656,1,0
LK6-B05,-0.006164366,-0.018071985339900003,0,0
LK6-E02,-0.107711445,0.0229565368972,0,0
LK2-A11,-0.12701237599999998,-0.0291817250777,0,0
LK5-H02,-0.034306781,-0.07096159282610001,1,1
LK3-D01,0.066184564,-0.03779434404,1,0
LK1-F05,0.046509142,-0.0693897682899,0,1
LK6-D05,-0.043812384,-0.0605650338059,1,0
LK1-A02,0.074568945,-0.04240203874,1,0
LK5-F08,0.015046178,-0.0489703392193,1,0
LK5-B01,-0.069096858,-0.055224071882800006,1,0
LK5-F10,-0.092640198,-0.035966565368,0,0
LK3-C04,-0.021324099,-0.0463900991038,0,0
LK4-B01,-0.060980824,-0.0332974088947,0,1
LK3-B02,-0.061936905999999986,-0.037217056242,0,1
LK5-E09,-0.014933995,-0.0757338389044,0,0
LK2-C05,-0.072951481,-0.0322441012052,1,1
LK5-H07,-0.016148315,-0.0589821946619,1,0
LK1-E09,0.00130607,-0.00989532384461,1,0
LK5-D04,-0.008201942,-0.031952169193,0,0
LK2-E12,-0.003211055,-0.0193117742017,1,0
LK3-B10,0.060567274,-0.029985390111,1,1
