Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,0.00261258664012,2,2
LK3-G08,0.093805708,-0.000615242918013,2,2
LK2-G07,-0.019194571,-0.00189530474336,2,2
LK4-A04,0.036559047,-0.000234562789721,2,2
LK4-H03,0.02296139,0.000455656118089,2,2
LK4-D11,-0.060829465,-0.00171645588339,2,2
LK3-E06,0.032744933,-0.0010142571983300002,2,2
LK1-D10,-0.037986439,0.0197990504771,2,2
LK1-D12,-0.057403752,-0.00175254325448,2,2
LK6-C05,-0.059662381,-0.00028227227676599995,2,2
LK4-C09,-0.087799295,0.00192822666941,2,2
LK5-C04,0.054950025,0.00301458063983,2,2
LK1-B03,-0.061280442,-6.87157596118e-05,2,2
LK3-A05,-0.033288214,-0.00490941455384,2,2
LK4-B03,-0.037788014,0.00107713322867,2,2
LK5-B06,-0.068915324,0.0007409281283560001,2,2
LK1-D08,-0.008491259000000001,0.00028435604042699995,2,2
LK5-H12,-0.023919485,-0.0031750876541500003,2,2
LK1-E01,-0.043467154,-0.00201420857236,2,2
LK3-D08,0.023624539,0.000461686688663,2,2
LK4-B08,-0.063909414,0.00125137828711,2,2
LK6-B07,-0.016711953,-0.0039411413709,2,2
LK6-F03,-0.109289121,-0.00433297723012,2,2
LK6-B05,-0.006164366,0.0005075415702519999,2,2
LK6-E02,-0.107711445,-0.00121659167369,2,2
LK2-A11,-0.12701237599999998,0.00165932176845,2,2
LK5-H02,-0.034306781,0.0005176122760830001,2,2
LK6-A10,-0.087805455,-0.0017136859523,2,2
LK3-D01,0.066184564,-0.00483162453541,2,2
LK3-G02,-0.021250726,-0.000707030844246,2,2
LK5-G03,-0.061380255,0.00254991413302,2,2
LK1-F05,0.046509142,-0.0004777815734030001,2,2
LK4-H12,-0.062143255,0.00427142913121,2,2
LK6-B10,0.029777903,-0.021252980776,2,2
LK6-D05,-0.043812384,3.8087313631399997e-07,2,2
LK1-A02,0.074568945,-0.00140692767837,2,2
LK5-F08,0.015046178,-0.0041610896648900005,2,2
LK6-B09,-0.06491301099999999,0.00038674707641800013,2,2
LK4-D02,-0.026555348,-0.0007505479161839999,2,2
LK5-C01,-0.035507118,0.00275687709499,2,2
LK5-B01,-0.069096858,-0.00281879641483,2,2
LK5-F10,-0.092640198,0.000979466641959,2,2
LK5-C03,-0.034896086,-0.00649639797564,2,2
LK2-F11,0.035349227000000004,-0.00413614617205,2,2
LK6-A09,-0.118694117,0.00359418559008,2,2
LK3-C04,-0.021324099,-0.0023514345230500003,2,2
LK1-B08,-0.092333836,0.0004386319303600001,2,2
LK4-B07,0.051667858,-0.000291517082084,2,2
LK3-H03,-0.049118176,-0.00200687794859,2,2
LK6-D06,-0.063374275,-0.00205456421335,2,2
LK2-C09,-0.029181055,-0.000172150978323,2,2
LK4-B01,-0.060980824,0.001575237361,2,2
LK4-B06,-0.0073895240000000015,-0.00860492872988,2,2
LK4-G05,-0.078376922,-0.0150807227424,2,2
LK3-B02,-0.061936905999999986,0.00101971370694,2,2
LK3-G10,-0.05011661,-0.00085895573222,2,2
LK5-E09,-0.014933995,0.00410272223963,2,2
LK2-C05,-0.072951481,-6.69713446811e-05,2,2
LK5-H07,-0.016148315,0.00389784959249,2,2
LK1-E09,0.00130607,-0.00493425345601,2,2
LK5-D04,-0.008201942,-0.00228459821621,2,2
LK2-E12,-0.003211055,0.0013098112609200002,2,2
LK3-B10,0.060567274,-0.000289944171129,2,2
LK5-D05,0.039769121,0.000509368963161,2,2
LK5-C11,-0.07890419900000001,-0.006607695989560001,2,2
LK2-F04,0.06440686799999999,0.0013820718749,2,2
LK1-C09,0.097834819,-0.0033720261796999994,2,2
LK3-B03,0.020432307,-0.00396930503153,2,2
LK6-D07,-0.067901009,-0.00384177368102,2,2
LK1-G11,0.02621332,-0.00153621133269,2,2
LK1-B04,-0.09425094,0.0014827515542299998,2,2
LK1-E04,0.010654118,-0.00206414620013,2,2
LK2-A12,-0.029611706,-0.00316566435879,2,2
LK4-H11,-0.043349795,0.0007363322135960001,2,2
LK4-A12,0.044940192,-0.000757510897651,2,2
LK1-A09,-0.063297996,-0.00631122822069,2,2
LK6-C11,0.079424925,-0.000290684961416,2,2
LK5-A07,0.022318946,-0.000619504325517,2,2
LK6-A11,-0.101157306,0.0015539101359700002,2,2
LK5-D09,0.003683436,-0.0004588599487159999,2,2
LK5-G09,0.000908654,-3.02075533536e-05,2,2
LK1-G08,-0.076569198,-0.000203831209969,2,2
LK4-B12,-0.022692414,0.000229266840831,2,2
LK5-A04,0.032954446,0.0003307919959290001,2,2
LK3-C12,0.004518577,-0.00339556241245,2,2
LK2-B07,-0.00378999,-0.000137276405754,2,2
LK3-H10,0.004132024000000001,-0.00309260933137,2,2
LK4-G09,-0.050985005,-0.0037440418013,2,2
LK3-B08,0.001601827,0.00286298012568,2,2
LK1-H04,-0.07081425599999999,-0.00689893215536,2,2
LK2-A07,0.005623133000000001,0.0008380263263380001,2,2
LK5-E08,-0.06663271,-0.006199294868319999,2,2
LK3-F06,-0.125231999,0.00291634837274,2,2
LK4-B05,-0.055145456,-0.00405410041146,2,2
LK2-A10,-0.06981008799999999,-0.00299487301764,2,2
LK4-E03,0.013554151,0.00160660369849,2,2
LK1-A05,0.07181288400000001,-0.00269570409572,2,2
LK4-D01,0.011072576,0.000170027010329,2,2
LK6-A03,-0.071606045,0.00208310973298,2,2
LK2-E07,0.021067245,0.00115097595526,2,2
LK5-G01,-0.097400427,0.00106124786918,2,2
LK3-B11,-0.030885663,0.00034079810380299995,2,2
LK3-F10,0.031324745,-0.00557773279276,2,2
LK5-A05,0.006670793,-0.00105843170874,2,2
LK3-H11,-0.037647523,0.00165856531175,2,2
LK6-C12,0.049026118,-0.0021723375998000003,2,2
LK5-B07,-0.12667103400000002,0.00141700419783,2,2
LK3-B12,-0.069789932,-0.00192770328659,2,2
LK1-B01,0.007985589,-0.00747580416267,2,2
LK1-B05,-0.051014885,-0.00432498396798,2,2
LK3-C11,-0.024302582000000003,-0.00130422202844,2,2
LK3-G01,0.001125763,0.005185348537479999,2,2
LK5-F01,0.029027435,-0.000482480289731,2,2
LK3-H08,-0.066259295,-0.0013199283337499998,2,2
LK2-B05,0.038236482,0.004551587948069999,2,2
LK2-B04,0.068553692,-0.000241384501796,2,2
LK3-D05,-0.097416376,-0.000712985689269,2,2
LK5-B05,-0.068647456,0.00208135759834,2,2
LK6-A07,-0.043732835,0.0028294422805600003,2,2
LK1-A06,0.031765912,-0.0007263932664530001,2,2
LK2-A05,-0.07650302099999999,2.43615477164e-05,2,2
LK2-F07,-0.012979132,-0.001389729245,2,2
LK4-H10,-0.01690951,0.00130027136712,2,2
LK3-H06,0.010126796,-0.0029824951145,2,2
LK5-F03,-0.061319714,-0.00209516291253,2,2
LK5-E01,-0.08983357800000001,-0.000211685262461,2,2
LK5-A03,0.030986837000000007,-0.00313643945401,2,2
LK5-D03,0.072367787,-0.0012229086434100002,2,2
LK1-G12,-0.066683388,0.000634845116885,2,2
LK5-F07,0.057171065,-0.00295519677131,2,2
LK4-C10,-0.045171086,0.00144977992872,2,2
LK2-A06,-0.08736029599999999,0.00426671695202,2,2
LK6-A05,0.006446217,-0.00282011694958,2,2
LK3-G11,-0.041289604,0.00285680564783,2,2
LK3-C09,-0.003210792,-0.00105487989703,2,2
