Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,-0.004907319955720001,2,2
LK3-G08,0.093805708,-0.021601420433200003,2,2
LK3-E06,0.032744933,-0.00839695741952,2,2
LK5-C04,0.054950025,-0.0224309315321,2,2
LK4-B03,-0.037788014,-0.008260939713,2,2
LK5-H12,-0.023919485,-0.00172864784193,2,2
LK4-B08,-0.063909414,-0.00303007743896,2,2
LK6-B07,-0.016711953,-0.00502354003589,2,2
LK6-B05,-0.006164366,0.0203116412643,2,2
LK5-H02,-0.034306781,-0.00267647403941,2,2
LK3-D01,0.066184564,0.00940101103825,2,2
LK3-G02,-0.021250726,0.0286576918505,2,2
LK5-G03,-0.061380255,0.0302843261418,2,2
LK1-F05,0.046509142,0.0143289307966,2,2
LK1-A02,0.074568945,-0.014353392394299997,2,2
LK5-F08,0.015046178,-0.0139908204565,2,2
LK6-B09,-0.06491301099999999,-0.00992038093835,2,2
LK5-B01,-0.069096858,0.006646765887390001,2,2
LK5-F10,-0.092640198,0.00012885559115799998,2,2
LK3-C04,-0.021324099,-0.007566625715939999,2,2
LK4-B01,-0.060980824,-0.0161923165988,2,2
LK3-G10,-0.05011661,-0.00120785508193,2,2
LK2-C05,-0.072951481,0.0131955432949,2,2
LK5-H07,-0.016148315,-0.0017869236580100004,2,2
LK1-E09,0.00130607,-0.00513126644694,2,2
LK5-D04,-0.008201942,0.0207428955985,2,2
LK3-B10,0.060567274,0.0125409180006,2,2
LK5-D05,0.039769121,0.0105240625662,2,2
LK5-C11,-0.07890419900000001,-0.0064521445713800005,2,2
LK2-F04,0.06440686799999999,0.0011932428509800002,2,2
LK3-B03,0.020432307,0.017808900882900002,2,2
LK6-D07,-0.067901009,-0.00607628259742,2,2
LK1-B04,-0.09425094,-0.00926406735509,2,2
LK2-A12,-0.029611706,0.008893760346350001,2,2
LK4-A12,0.044940192,-0.0195809518944,2,2
LK1-A09,-0.063297996,-0.00979918861527,2,2
LK5-A07,0.022318946,-0.00984614581814,2,2
LK5-D09,0.003683436,0.022185716155,2,2
LK1-G08,-0.076569198,0.0134160173228,2,2
LK5-A04,0.032954446,0.014455143849,2,2
LK3-C12,0.004518577,0.00693443808246,2,2
LK2-B07,-0.00378999,0.00152561388254,2,2
LK3-B08,0.001601827,0.0130042566884,2,2
LK5-E08,-0.06663271,0.00135565478156,2,2
LK3-F06,-0.125231999,0.0127155025868,2,2
LK4-E03,0.013554151,0.0211409871436,2,2
LK1-A05,0.07181288400000001,0.00647199488228,2,2
LK5-G01,-0.097400427,-0.00475567289025,2,2
LK3-F10,0.031324745,0.00588334894435,2,2
LK5-A05,0.006670793,0.0193605040354,2,2
LK5-B07,-0.12667103400000002,0.00541140292155,2,2
LK3-C11,-0.024302582000000003,0.00195399664124,2,2
LK3-G01,0.001125763,-0.0143522193773,2,2
LK2-B05,0.038236482,0.00863569403333,2,2
LK6-A07,-0.043732835,0.0313579698566,2,2
LK1-A06,0.031765912,0.00609323093707,2,2
LK2-A05,-0.07650302099999999,-0.0198565473011,2,2
LK4-H10,-0.01690951,0.0236843535267,2,2
LK5-A03,0.030986837000000007,0.0261086514286,2,2
LK1-G12,-0.066683388,0.000415221549015,2,2
LK5-F07,0.057171065,0.00506893472861,2,2
LK6-A05,0.006446217,0.00994317846129,2,2
LK3-C09,-0.003210792,-0.00346652555704,2,2
LK5-D08,0.032239849,0.0153378645098,2,2
LK6-C02,-0.010438455,-0.00929184488046,2,2
LK3-A07,-0.008287901,0.0337785903053,2,2
LK3-H05,0.017018613000000002,0.008055307236,2,2
LK1-C07,0.00115568,0.0215932198839,2,2
LK3-D09,-0.077437477,-0.00732007837156,2,2
LK2-D09,-0.04650311,-0.0256688512986,2,2
LK3-A01,0.019923344,0.0081985746768,2,2
LK2-D05,-0.040989887,0.0132429053113,2,2
LK3-C06,0.010954336,0.0238678145457,2,2
LK2-A01,-0.003379405,-0.000547295420945,2,2
