Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,-0.0250585208317,1,1
LK3-G08,0.093805708,-0.005893598339770001,0,1
LK2-G07,-0.019194571,0.0166838457545,0,0
LK4-H03,0.02296139,0.0163451217128,0,0
LK4-D11,-0.060829465,-0.0315775887226,1,1
LK3-E06,0.032744933,-0.0021579247695100003,0,0
LK1-D10,-0.037986439,-0.0317795116928,1,1
LK1-D12,-0.057403752,-0.0334522267761,1,1
LK6-C05,-0.059662381,-0.041708909359,1,1
LK4-C09,-0.087799295,0.005744713928779999,1,0
LK5-C04,0.054950025,0.00561972649297,0,0
LK1-B03,-0.061280442,-0.0388182046327,1,1
LK3-A05,-0.033288214,0.0126593148341,0,1
LK4-B03,-0.037788014,0.0118709337462,1,0
LK5-B06,-0.068915324,0.0081212637033,1,0
LK1-D08,-0.008491259000000001,0.013084063244,0,0
LK5-H12,-0.023919485,0.00262443675445,1,0
LK1-E01,-0.043467154,-0.0194995639368,1,1
LK3-D08,0.023624539,0.0143339692803,0,0
LK4-B08,-0.063909414,-0.027089222305200004,1,1
LK6-B07,-0.016711953,-0.016246807175799998,1,1
LK6-F03,-0.109289121,1.72512472358e-05,1,0
LK6-B05,-0.006164366,0.0113980866897,0,0
LK6-E02,-0.107711445,-0.00986209689127,1,0
LK2-A11,-0.12701237599999998,-0.00471476764954,1,0
LK5-H02,-0.034306781,-0.0197059326935,1,1
LK6-A10,-0.087805455,-0.0232574578131,1,1
LK3-D01,0.066184564,0.00327898988764,0,0
LK3-G02,-0.021250726,0.0139214038087,0,0
LK5-G03,-0.061380255,0.007825646771109999,1,0
LK1-F05,0.046509142,0.0027647439285100003,0,0
LK4-H12,-0.062143255,-0.0449749152779,1,1
LK6-B10,0.029777903,8.80492768456e-06,0,0
LK6-D05,-0.043812384,-0.036802830117,1,1
LK1-A02,0.074568945,0.006353380653850001,0,1
LK5-F08,0.015046178,-0.008074428677640001,0,0
LK6-B09,-0.06491301099999999,-0.0254432652097,1,1
LK4-D02,-0.026555348,-0.00815168564428,1,1
LK5-C01,-0.035507118,-0.0264138858819,1,1
LK5-B01,-0.069096858,-0.0418801302068,1,1
LK5-F10,-0.092640198,0.00938379597121,1,0
LK5-C03,-0.034896086,0.002714264333550001,1,0
LK6-A09,-0.118694117,0.012500333965399998,1,0
LK3-C04,-0.021324099,-0.00909626295681,0,0
LK1-B08,-0.092333836,0.00387321929377,1,0
LK3-H03,-0.049118176,-0.0280738671265,1,1
LK6-D06,-0.063374275,-0.0511233352129,1,1
LK2-C09,-0.029181055,-0.0297463265603,1,1
LK4-B01,-0.060980824,-0.0274857388663,1,1
LK3-B02,-0.061936905999999986,0.00594786341015,1,0
LK3-G10,-0.05011661,2.18584251571e-06,1,0
LK5-E09,-0.014933995,-0.013546956163,1,1
