Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK2-G07,-0.019194571,-0.119923389671,2,2
LK4-H03,0.02296139,-0.114978789997,2,2
LK1-D08,-0.008491259000000001,-0.087151862056,2,2
LK4-B08,-0.063909414,-0.129789322757,2,2
LK6-B05,-0.006164366,-0.180904983756,2,2
LK3-G02,-0.021250726,-0.08517092150399999,2,2
LK1-F05,0.046509142,-0.141135537569,2,2
LK4-D02,-0.026555348,-0.0829877240243,2,2
LK1-B08,-0.092333836,-0.140042669728,2,2
LK2-C05,-0.072951481,-0.114551759397,2,2
LK5-D04,-0.008201942,-0.08150117132069999,2,2
LK2-E12,-0.003211055,-0.147343129318,2,2
LK2-F04,0.06440686799999999,-0.102171746688,2,2
LK1-G11,0.02621332,-0.129898555441,2,2
LK4-A12,0.044940192,-0.08779996821599999,2,2
LK5-A07,0.022318946,-0.147932879264,2,2
LK5-D09,0.003683436,-0.0493384551401,2,2
LK1-G08,-0.076569198,-0.109759874732,2,2
LK5-A04,0.032954446,-0.12753539047700002,2,2
LK3-B08,0.001601827,-0.156743807786,2,2
LK3-C08,0.080039068,-0.151561489549,2,2
LK4-E03,0.013554151,-0.121072989187,2,2
LK2-E07,0.021067245,-0.0790374426398,2,2
LK3-F10,0.031324745,-0.144330215414,2,2
LK5-A05,0.006670793,-0.16255289523900002,2,2
LK5-B07,-0.12667103400000002,-0.133398361508,2,2
LK1-B01,0.007985589,-0.121449195664,2,2
LK5-F01,0.029027435,-0.130773641946,2,2
LK2-B05,0.038236482,-0.138720428008,2,2
LK2-F07,-0.012979132,-0.12907610952600002,2,2
LK4-H10,-0.01690951,-0.124394666646,2,2
LK5-A03,0.030986837000000007,-0.134549354553,2,2
LK5-D03,0.072367787,-0.132271926592,2,2
LK5-F07,0.057171065,-0.117828318015,2,2
LK6-A05,0.006446217,-0.107296459533,2,2
LK3-G11,-0.041289604,-0.109714019632,2,2
LK5-D08,0.032239849,-0.110526372503,2,2
LK3-A07,-0.008287901,-0.07794676972789999,2,2
LK3-H05,0.017018613000000002,-0.166881125733,2,2
LK1-C11,0.03763259,-0.166105730139,2,2
LK3-D04,-0.058895829,-0.124727447978,2,2
LK3-C06,0.010954336,-0.123786090925,2,2
LK2-A01,-0.003379405,-0.117011645293,2,2
