Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,-0.0273623238181,1,0
LK4-D11,-0.060829465,0.0190520585974,1,1
LK1-D12,-0.057403752,0.0400373895409,1,1
LK4-C09,-0.087799295,-0.00442722792681,1,1
LK1-B03,-0.061280442,0.0366727875039,1,0
LK4-B03,-0.037788014,-0.0438883946792,1,0
LK5-B06,-0.068915324,-0.0346910825385,1,0
LK5-H12,-0.023919485,-0.0533692796646,1,0
LK6-B07,-0.016711953,-0.012291231487,1,1
LK6-E02,-0.107711445,0.041502054115,1,1
LK2-A11,-0.12701237599999998,0.0246663455371,1,1
LK5-H02,-0.034306781,-0.0031352204455500003,1,0
LK6-A10,-0.087805455,0.0082675211992,1,1
LK5-G03,-0.061380255,-0.00102013077641,1,1
LK6-D05,-0.043812384,0.0313598151386,1,1
LK6-B09,-0.06491301099999999,0.00911512782046,1,0
LK5-B01,-0.069096858,0.0311733123237,1,1
LK5-C03,-0.034896086,-0.037416779110000006,1,0
LK6-A09,-0.118694117,0.0266337894452,1,1
LK4-B07,0.051667858,-0.096204774966,0,1
LK3-H03,-0.049118176,-0.008276580754370001,1,0
LK6-D06,-0.063374275,0.026695473309400003,1,1
LK4-B01,-0.060980824,0.00868142265592,1,0
LK3-G10,-0.05011661,-0.00233115512912,1,1
LK5-E09,-0.014933995,-0.0316944290026,1,0
LK2-C05,-0.072951481,-0.0175898106837,1,0
LK5-H07,-0.016148315,-0.0145769428123,1,0
LK2-E12,-0.003211055,-0.107853753785,0,1
LK5-C11,-0.07890419900000001,0.0198668873044,1,0
LK1-C09,0.097834819,-0.0963138292205,0,1
LK6-D07,-0.067901009,0.0217865618366,1,1
LK1-B04,-0.09425094,0.00855704144763,1,0
LK2-A12,-0.029611706,-0.013215839749,1,0
LK4-H11,-0.043349795,0.0142804514579,1,1
LK1-A09,-0.063297996,-0.009247026799610002,1,1
LK6-C11,0.079424925,-0.121937436683,0,0
LK5-A07,0.022318946,-0.0957355257809,0,1
LK6-A11,-0.101157306,0.0354375801681,1,1
LK5-D09,0.003683436,-0.0457303239544,0,0
LK1-G08,-0.076569198,0.0191927169289,1,0
LK4-B12,-0.022692414,-0.00724658882486,1,0
LK4-G09,-0.050985005,0.008856527960040002,1,1
LK3-B08,0.001601827,-0.104615385037,0,0
LK2-A07,0.005623133000000001,0.00200133232927,1,0
LK3-F06,-0.125231999,0.0385400572341,1,1
LK4-B05,-0.055145456,0.0149212766817,1,0
LK6-A03,-0.071606045,0.036014278111400004,1,1
LK5-G01,-0.097400427,0.028809522071700008,1,1
LK3-B11,-0.030885663,0.00693398446665,1,1
LK3-F10,0.031324745,-0.07890020635850001,0,0
LK3-H11,-0.037647523,-0.017837233321,1,1
LK6-C12,0.049026118,-0.108704364951,0,1
LK5-B07,-0.12667103400000002,0.00974935382337,1,0
LK3-B12,-0.069789932,-0.0418081364624,1,0
LK1-B05,-0.051014885,0.0297744238712,1,1
LK3-C11,-0.024302582000000003,-0.0113577468007,1,0
LK6-A07,-0.043732835,-0.0883731301685,0,1
LK1-A06,0.031765912,-0.0519215857658,0,1
LK2-A05,-0.07650302099999999,0.026694570483,1,1
LK4-H10,-0.01690951,-0.104942304422,0,1
LK5-F03,-0.061319714,0.0311334561515,1,1
LK5-D03,0.072367787,-0.0913715364665,0,0
LK1-G12,-0.066683388,0.010937974596799998,1,0
LK5-F07,0.057171065,-0.111983275161,0,0
LK3-G11,-0.041289604,-0.0154949246097,1,0
LK3-C09,-0.003210792,0.00693696641891,1,1
LK5-D08,0.032239849,-0.110101228742,1,0
LK1-D02,-0.03975231,0.026624106892,1,1
LK2-E08,-0.01185898,-0.0201772737339,1,0
LK3-H05,0.017018613000000002,-0.0951022879582,0,0
LK2-D07,-0.009147778,-0.0433965568446,1,0
LK4-C08,-0.024730103,-0.0608982618226,0,0
LK3-D09,-0.077437477,0.0292277416702,1,1
LK1-G09,-0.110538363,0.0145582491038,1,1
LK2-D09,-0.04650311,-0.0211272901048,1,0
LK3-A01,0.019923344,-0.0919461851153,0,0
LK2-D05,-0.040989887,0.015895293474,1,1
LK1-C11,0.03763259,-0.12576615808299998,0,0
LK3-D04,-0.058895829,-0.0324904819348,1,0
LK2-A01,-0.003379405,-0.107572022169,0,0
LK2-G10,-0.005487313000000001,-0.0488578068142,1,0
