Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,-0.0200789757881,1,1
LK3-G08,0.093805708,-0.0453399062328,0,1
LK2-G07,-0.019194571,-0.022372510814900003,0,0
LK4-D11,-0.060829465,-0.0198831259528,1,1
LK3-E06,0.032744933,-0.0284822184364,0,0
LK1-D12,-0.057403752,-0.0165476540741,1,1
LK6-C05,-0.059662381,-0.014126955649700004,1,1
LK4-C09,-0.087799295,-0.0421213102645,0,0
LK5-C04,0.054950025,-0.105618730152,0,0
LK1-B03,-0.061280442,-0.0412104608474,1,1
LK4-B03,-0.037788014,-0.0244643783506,1,0
LK5-H12,-0.023919485,-0.034646008214300014,1,0
LK4-B08,-0.063909414,-0.00958465182967,1,1
LK6-B07,-0.016711953,-0.0006553026414880001,1,1
LK6-F03,-0.109289121,-0.0160473360247,1,0
LK6-E02,-0.107711445,-0.021847945183900003,1,0
LK2-A11,-0.12701237599999998,-0.048965456017,1,0
LK5-H02,-0.034306781,-0.0127435658554,1,1
LK6-A10,-0.087805455,-0.0136590085114,1,1
LK3-D01,0.066184564,-0.0404453279257,0,0
LK4-H12,-0.062143255,-0.00435445414502,1,1
LK6-B10,0.029777903,-0.08518242888419998,0,0
LK6-D05,-0.043812384,-0.0272860902845,1,1
LK1-A02,0.074568945,-0.0276704436026,0,1
LK5-F08,0.015046178,-0.032848201483900004,0,0
LK5-H08,-0.000319424,-0.0524770076443,0,0
LK6-B09,-0.06491301099999999,-0.0120362967076,1,1
LK5-B01,-0.069096858,-0.00980779144262,1,1
LK5-F10,-0.092640198,-0.0508870927398,1,0
LK5-C03,-0.034896086,-0.0134263338825,1,0
LK6-A09,-0.118694117,-0.0197114165819,1,1
LK1-B08,-0.092333836,-0.0096970440719,1,1
LK6-D06,-0.063374275,-0.0036504821296,1,1
LK2-C09,-0.029181055,-0.008755800929610001,1,1
LK4-B01,-0.060980824,-0.015387507554,1,1
LK3-B02,-0.061936905999999986,-0.0274867518989,1,0
LK3-G10,-0.05011661,-0.0151214394516,1,1
LK5-E09,-0.014933995,-0.00773874883952,1,1
LK5-H07,-0.016148315,0.000297790516431,1,1
LK5-C11,-0.07890419900000001,-0.0141430110244,1,1
LK6-D07,-0.067901009,-0.038395139804800006,1,1
LK1-B04,-0.09425094,-0.0335174256256,1,1
LK1-E04,0.010654118,-0.06960587375880001,0,0
LK4-H11,-0.043349795,-0.0069892078437,1,1
LK1-A09,-0.063297996,-0.0126215157472,1,1
LK6-A11,-0.101157306,-0.0293701841302,1,1
LK5-D09,0.003683436,-0.0397213979228,0,0
LK1-G08,-0.076569198,-0.00631929912747,1,1
LK4-B12,-0.022692414,-0.00841588189647,1,1
LK5-A04,0.032954446,-0.031161250024900007,0,0
LK2-B07,-0.00378999,-0.0746725925565,0,0
LK4-G09,-0.050985005,-0.00225054622869,1,0
LK1-H04,-0.07081425599999999,-0.0159174984078,1,1
LK2-A07,0.005623133000000001,-0.005912370958189999,1,1
LK3-F06,-0.125231999,-0.0197490601508,1,1
LK4-B05,-0.055145456,-0.00424978382604,1,1
LK2-A10,-0.06981008799999999,-0.00548953352858,1,1
LK6-A03,-0.071606045,0.012226189841200002,1,1
LK5-G01,-0.097400427,-0.00446327763214,1,1
LK3-B11,-0.030885663,0.008918054092840001,1,1
LK3-H11,-0.037647523,-0.0346302748881,1,1
LK6-C12,0.049026118,-0.046211801017,0,0
LK5-B07,-0.12667103400000002,-0.0196866118424,1,0
LK3-B12,-0.069789932,-0.036653371283,1,0
LK1-B05,-0.051014885,-0.028518043546,1,1
LK3-C11,-0.024302582000000003,-0.0173971590978,1,1
LK3-G01,0.001125763,-0.0380723385807,0,0
LK5-F01,0.029027435,-0.042895885504,0,0
LK3-H08,-0.066259295,-0.030556458595,1,1
LK2-B04,0.068553692,-0.0472376174435,0,1
LK5-B05,-0.068647456,-0.038866225615800006,1,0
LK2-A05,-0.07650302099999999,-0.000577906185055,1,1
LK4-H10,-0.01690951,-0.0375512795209,0,0
LK5-F03,-0.061319714,-0.00917377644076,1,1
LK5-D03,0.072367787,-0.0292553595201,0,1
LK1-G12,-0.066683388,-0.012824517408,1,1
LK4-C10,-0.045171086,-0.000682055679142,1,1
LK2-A06,-0.08736029599999999,-0.00840744078843,1,1
LK6-A05,0.006446217,-0.048499852067800005,0,0
LK3-G11,-0.041289604,-0.007051083536189998,1,1
LK3-C09,-0.003210792,-0.0227778375449,1,1
LK5-D08,0.032239849,0.007054493182,1,0
LK4-E01,0.007107061,-0.0008175738211609999,1,1
LK1-D02,-0.03975231,-0.046705852896300006,1,1
LK6-C02,-0.010438455,-0.0477476343837,1,1
LK2-E08,-0.01185898,-0.0193904617856,1,1
LK2-D07,-0.009147778,-0.0277306262737,1,1
LK1-C06,0.078083465,-0.0532385585918,0,0
LK3-D09,-0.077437477,-0.00490767663979,1,1
LK1-G09,-0.110538363,-0.0433985187893,1,1
LK2-D09,-0.04650311,-0.006693108137339999,1,1
LK1-D06,-0.060605349,-0.0289036530899,1,1
LK3-A01,0.019923344,-0.0600527959089,0,0
LK2-D05,-0.040989887,-0.0124287470795,1,1
LK1-C11,0.03763259,-0.0297602644,0,0
LK1-G03,0.044068065,-0.0319992471889,0,0
LK3-D04,-0.058895829,-0.015946841184100002,1,0
LK2-G10,-0.005487313000000001,-0.0339285590304,1,1
