Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,-0.0573239197906,1,2
LK3-G08,0.093805708,-0.0929094355602,0,2
LK4-H03,0.02296139,-0.128166409188,0,2
LK4-D11,-0.060829465,-0.0379402505645,1,2
LK1-D12,-0.057403752,-0.0543444269385,1,2
LK6-C05,-0.059662381,-0.07446858433930001,1,2
LK4-C09,-0.087799295,-0.0782542189974,1,2
LK5-C04,0.054950025,-0.151088804418,0,2
LK1-B03,-0.061280442,-0.0526180582353,1,2
LK4-B03,-0.037788014,-0.0998397440824,1,2
LK5-H12,-0.023919485,-0.04281964394119999,1,2
LK3-D08,0.023624539,-0.112882540798,0,2
LK4-B08,-0.063909414,-0.0493218861634,1,2
LK6-B07,-0.016711953,-0.07656798857319999,1,2
LK6-F03,-0.109289121,-0.100345788726,1,2
LK6-B05,-0.006164366,-0.138394364747,0,2
LK6-E02,-0.107711445,-0.0535606760633,1,2
LK2-A11,-0.12701237599999998,-0.072208799314,1,2
LK5-H02,-0.034306781,-0.07022832279189999,1,2
LK6-A10,-0.087805455,-0.0332667275754,1,2
LK5-G03,-0.061380255,-0.025096709744,1,2
LK1-F05,0.046509142,-0.0829852761404,0,2
LK4-H12,-0.062143255,-0.036329715485,1,2
LK6-D05,-0.043812384,-0.06489056469,1,2
LK6-B09,-0.06491301099999999,-0.0415832510485,1,2
LK5-C01,-0.035507118,-0.07731490856760001,1,2
LK5-B01,-0.069096858,-0.0686864985854,1,2
LK5-F10,-0.092640198,-0.0592984515941,1,2
LK6-A09,-0.118694117,-0.0465251253534,1,2
LK3-C04,-0.021324099,-0.080210478951,0,2
LK1-B08,-0.092333836,-0.0628033602771,1,2
LK3-H03,-0.049118176,-0.07369901049989999,1,2
LK6-D06,-0.063374275,-0.0680971253529,1,2
LK4-B01,-0.060980824,-0.0728581667465,1,2
LK3-B02,-0.061936905999999986,-0.0708058319239,1,2
LK3-G10,-0.05011661,-0.0398503778235,1,2
LK5-E09,-0.014933995,-0.0826971093458,1,2
LK2-C05,-0.072951481,-0.0597957175824,1,2
LK5-H07,-0.016148315,-0.108675180068,1,2
LK1-E09,0.00130607,-0.101173578397,0,2
LK5-D04,-0.008201942,-0.08551574659229999,0,2
LK5-D05,0.039769121,-0.0788719348027,0,2
LK5-C11,-0.07890419900000001,-0.0699476975088,1,2
LK2-F04,0.06440686799999999,-0.08585426611580001,0,2
LK1-C09,0.097834819,-0.14964118970100002,0,2
LK6-D07,-0.067901009,-0.07308349221419999,1,2
LK1-G11,0.02621332,-0.136902951088,0,2
LK1-B04,-0.09425094,-0.0447934673731,1,2
LK2-A12,-0.029611706,-0.0786756133832,1,2
LK4-H11,-0.043349795,-0.0735158277825,1,2
LK4-A12,0.044940192,-0.111063569897,0,2
LK1-A09,-0.063297996,-0.069238948724,1,2
LK5-A07,0.022318946,-0.054024718317300005,0,2
LK6-A11,-0.101157306,-0.0545985554232,1,2
LK1-G08,-0.076569198,-0.0753943251523,1,2
LK4-B12,-0.022692414,-0.0325526261623,1,2
LK5-A04,0.032954446,-0.0794264487275,0,2
LK2-B07,-0.00378999,-0.0778874307675,0,2
LK3-H10,0.004132024000000001,-0.0629907103059,0,2
LK4-G09,-0.050985005,-0.08940867643349999,1,2
LK3-B08,0.001601827,-0.1179274819,0,2
LK1-H04,-0.07081425599999999,-0.109914880217,1,2
LK2-A07,0.005623133000000001,-0.0051421985363100005,1,2
LK5-E08,-0.06663271,-0.0729881714757,0,2
LK3-F06,-0.125231999,-0.0930683694826,1,2
LK4-B05,-0.055145456,-0.07088575458719999,1,2
LK2-A10,-0.06981008799999999,-0.0667541884579,1,2
LK4-E03,0.013554151,-0.102102303488,0,2
LK1-A05,0.07181288400000001,-0.0570593022865,0,2
LK4-D01,0.011072576,-0.0814240717001,0,2
LK6-A03,-0.071606045,-0.0400483877012,1,2
LK5-G01,-0.097400427,-0.060954493825900014,1,2
LK3-B11,-0.030885663,-0.0794752378459,1,2
LK3-F10,0.031324745,-0.06767033072840001,0,2
LK5-A05,0.006670793,-0.0849513577073,0,2
LK6-C12,0.049026118,-0.140313539089,0,2
LK5-B07,-0.12667103400000002,-0.0397709816986,1,2
LK3-B12,-0.069789932,-0.07161511828360001,1,2
LK1-B05,-0.051014885,-0.0779201135029,1,2
LK3-C11,-0.024302582000000003,-0.0769954433447,1,2
LK3-H08,-0.066259295,-0.0446457288911,1,2
