Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,-0.037446085147,2,2
LK3-G08,0.093805708,-0.0304503783276,2,2
LK2-G07,-0.019194571,0.00382832124912,2,2
LK4-H03,0.02296139,-0.018448560690400004,2,2
LK4-D11,-0.060829465,-0.0112975622002,2,2
LK3-E06,0.032744933,-0.0245299411728,2,2
LK1-D10,-0.037986439,-0.0363464742878,2,2
LK1-D12,-0.057403752,-0.0221889011366,2,2
LK6-C05,-0.059662381,-0.008595159343020001,2,2
LK4-C09,-0.087799295,-0.0275382266308,2,2
LK5-C04,0.054950025,-0.0153603876536,2,2
LK1-B03,-0.061280442,-0.0184692015631,2,2
LK4-B03,-0.037788014,-0.0152000942549,2,2
LK5-B06,-0.068915324,-0.0360267676922,2,2
LK1-D08,-0.008491259000000001,-0.026952535644,2,2
LK5-H12,-0.023919485,-0.0279618172246,2,2
LK1-E01,-0.043467154,-0.0149727576429,2,2
LK3-D08,0.023624539,-0.0492856434935,2,2
LK4-B08,-0.063909414,-0.0193983812413,2,2
LK6-B07,-0.016711953,-0.0466747926892,2,2
LK6-F03,-0.109289121,-0.0280565036363,2,2
LK6-B05,-0.006164366,-0.0375015835967,2,2
LK6-E02,-0.107711445,-0.0222062754859,2,2
LK2-A11,-0.12701237599999998,-0.017399834179499998,2,2
LK5-H02,-0.034306781,-0.0225235028408,2,2
LK6-A10,-0.087805455,-0.00947547299673,2,2
LK3-D01,0.066184564,-0.0312967308532,2,2
LK3-G02,-0.021250726,-0.0211726447615,2,2
LK5-G03,-0.061380255,0.00409809867359,2,2
LK1-F05,0.046509142,-0.025334926803,2,2
LK4-H12,-0.062143255,-0.0228735469262,2,2
LK6-B10,0.029777903,-0.014377391301500004,2,2
LK6-D05,-0.043812384,-0.00927869747785,2,2
LK1-A02,0.074568945,-0.0313973811735,2,2
LK5-F08,0.015046178,-0.010966610744100002,2,2
LK6-B09,-0.06491301099999999,-0.0200113710031,2,2
LK4-D02,-0.026555348,-0.0173066676807,2,2
LK5-C01,-0.035507118,-0.0251990243055,2,2
LK5-B01,-0.069096858,-0.00960949358724,2,2
LK5-F10,-0.092640198,-0.0285482630204,2,2
LK5-C03,-0.034896086,-0.0160715939427,2,2
LK2-F11,0.035349227000000004,-0.024928594988000003,2,2
LK3-C04,-0.021324099,-0.0701070551946,2,2
LK1-B08,-0.092333836,-0.018800641728,2,2
LK3-H03,-0.049118176,0.00268646534387,2,2
LK6-D06,-0.063374275,-0.0255078032474,2,2
LK2-C09,-0.029181055,-0.017838307921200003,2,2
LK4-B01,-0.060980824,-0.0364897174035,2,2
LK4-B06,-0.0073895240000000015,-0.0231812687085,2,2
LK3-B02,-0.061936905999999986,-0.0457717955732,2,2
LK3-G10,-0.05011661,-0.0233719063195,2,2
LK5-E09,-0.014933995,-0.0333697809804,2,2
LK2-C05,-0.072951481,-0.00944752738951,2,2
LK5-H07,-0.016148315,-0.0164121596992,2,2
LK1-E09,0.00130607,-0.005076932002229999,2,2
LK5-D04,-0.008201942,-0.0233661154488,2,2
LK2-E12,-0.003211055,-0.0269571345347,2,2
LK3-B10,0.060567274,-0.0239005122557,2,2
LK5-D05,0.039769121,-0.0457740313793,2,2
LK5-C11,-0.07890419900000001,-0.0221361045466,2,2
LK2-F04,0.06440686799999999,-0.0222485805036,2,2
LK1-C09,0.097834819,-0.0309357742408,2,2
LK3-B03,0.020432307,-0.0157395890844,2,2
LK6-D07,-0.067901009,-0.0407179934517,2,2
LK1-G11,0.02621332,-0.0184946277214,2,2
LK1-B04,-0.09425094,-0.018638447895,2,2
LK2-A12,-0.029611706,-0.0401392078505,2,2
LK4-H11,-0.043349795,-0.0119524014513,2,2
LK4-A12,0.044940192,-0.0485224883458,2,2
LK1-A09,-0.063297996,-0.0325972756219,2,2
LK5-A07,0.022318946,-0.015230940902499997,2,2
LK6-A11,-0.101157306,-0.021909263651,2,2
LK5-D09,0.003683436,-0.033717460794199995,2,2
LK1-G08,-0.076569198,-0.0164713275686,2,2
LK4-B12,-0.022692414,-0.0138156579527,2,2
LK5-A04,0.032954446,-0.030149940053500007,2,2
LK3-C12,0.004518577,-0.0318873500116,2,2
LK2-B07,-0.00378999,-0.0369520202045,2,2
LK3-H10,0.004132024000000001,-0.0306859728642,2,2
LK4-G09,-0.050985005,-0.0308326640862,2,2
LK3-B08,0.001601827,-0.0209445155643,2,2
LK1-H04,-0.07081425599999999,-0.0325264454873,2,2
LK2-A07,0.005623133000000001,-0.026434434595400003,2,2
LK5-E08,-0.06663271,-0.0177882937352,2,2
LK3-F06,-0.125231999,-0.029768158722200008,2,2
LK3-C08,0.080039068,-0.0323246865342,2,2
LK4-B05,-0.055145456,0.00270723109402,2,2
LK2-A10,-0.06981008799999999,-0.00950830491284,2,2
LK4-E03,0.013554151,-0.023939533564,2,2
LK1-A05,0.07181288400000001,-0.0362535165745,2,2
LK4-D01,0.011072576,-0.0228328654405,2,2
LK6-A03,-0.071606045,-0.0277480795013,2,2
LK2-E07,0.021067245,-0.0278320735177,2,2
LK5-G01,-0.097400427,-0.0346796438055,2,2
LK3-B11,-0.030885663,-0.0273286764857,2,2
LK3-F10,0.031324745,0.015702454492,2,2
LK5-A05,0.006670793,-0.0217050975603,2,2
LK3-H11,-0.037647523,-0.0368663885585,2,2
LK6-C12,0.049026118,-0.047253959543,2,2
LK5-B07,-0.12667103400000002,-0.0249101204573,2,2
LK3-B12,-0.069789932,-0.0186001872204,2,2
LK1-B01,0.007985589,-0.0257601558386,2,2
LK3-C11,-0.024302582000000003,-0.00286497793072,2,2
LK3-G01,0.001125763,-0.0318311588262,2,2
LK5-F01,0.029027435,-0.0299472982095,2,2
LK2-B05,0.038236482,-0.0314663764557,2,2
LK2-B04,0.068553692,-0.0203878610629,2,2
LK3-D05,-0.097416376,-0.0141681969585,2,2
LK5-B05,-0.068647456,-0.0315266529183,2,2
LK6-A07,-0.043732835,-0.0172261086112,2,2
LK1-A06,0.031765912,-0.0421082951751,2,2
LK2-A05,-0.07650302099999999,-0.0270209994841,2,2
LK2-F07,-0.012979132,-0.0136435112505,2,2
LK4-H10,-0.01690951,-0.0307729185876,2,2
LK3-H06,0.010126796,-0.0325673148543,2,2
LK5-F03,-0.061319714,-0.00247038296893,2,2
LK5-A03,0.030986837000000007,-0.0163389369223,2,2
LK5-D03,0.072367787,-0.0250482167665,2,2
LK1-G12,-0.066683388,-0.0187615218794,2,2
