Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-H03,0.02296139,-0.0729402685768,2,2
LK3-E06,0.032744933,-0.0800606148563,2,2
LK5-C04,0.054950025,-0.08803108351849999,2,2
LK1-D08,-0.008491259000000001,-0.046628223244699986,2,2
LK3-D01,0.066184564,-0.09067158151489997,2,2
LK6-B10,0.029777903,-0.049456165713900005,2,2
LK1-A02,0.074568945,-0.0958703130919,2,2
LK5-F08,0.015046178,-0.0704078559896,2,2
LK4-B06,-0.0073895240000000015,-0.0812376895306,2,2
LK1-E09,0.00130607,-0.09857145004,2,2
LK5-D04,-0.008201942,-0.08909743591880001,2,2
LK3-B10,0.060567274,-0.06692539708409999,2,2
LK5-D05,0.039769121,-0.0619979224941,2,2
LK2-F04,0.06440686799999999,-0.08300386937580001,2,2
LK1-C09,0.097834819,-0.100040057587,2,2
LK4-A12,0.044940192,-0.08141137271189999,2,2
LK5-A07,0.022318946,-0.04973493450730001,2,2
LK1-G08,-0.076569198,-0.0511001102292,2,2
LK5-A04,0.032954446,-0.0840503005118,2,2
LK3-B08,0.001601827,-0.0930728344504,2,2
LK4-E03,0.013554151,-0.0594664795195,2,2
LK4-D01,0.011072576,-0.0634874184849,2,2
LK3-B12,-0.069789932,-0.111949835922,2,2
LK1-B01,0.007985589,-0.0919953794766,2,2
LK5-F01,0.029027435,-0.0739189748526,2,2
LK6-A07,-0.043732835,-0.0688449539254,2,2
LK2-F07,-0.012979132,-0.0644427104467,2,2
LK5-D08,0.032239849,-0.0507325290841,2,2
LK3-A07,-0.008287901,-0.051034131296800005,2,2
LK3-H05,0.017018613000000002,-0.0760351775047,2,2
LK1-C07,0.00115568,-0.07305403137369999,2,2
LK1-C11,0.03763259,-0.0992228020265,2,2
LK1-G03,0.044068065,-0.0826674855383,2,2
LK3-C06,0.010954336,-0.0451422030764,2,2
LK2-A01,-0.003379405,-0.0630973494938,2,2
