Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,-0.066735677642,2,2
LK3-G08,0.093805708,-0.049836608985,2,2
LK2-G07,-0.019194571,-0.0380193147361,2,2
LK4-A04,0.036559047,-0.0455686237369,2,2
LK3-E06,0.032744933,-0.0606470726016,2,2
LK1-D12,-0.057403752,-0.0428453633069,2,2
LK6-C05,-0.059662381,-0.034304315473599994,2,2
LK4-C09,-0.087799295,-0.026477923635,2,2
LK5-C04,0.054950025,-0.0562745202856,2,2
LK1-B03,-0.061280442,-0.027718297893400003,2,2
LK4-B03,-0.037788014,-0.0603086111635,2,2
LK5-B06,-0.068915324,-0.00607778770398,2,2
LK4-B08,-0.063909414,-0.042441080610999986,2,2
LK6-B05,-0.006164366,-0.0285780629577,2,2
LK6-E02,-0.107711445,-0.0433371891649,2,2
LK2-A11,-0.12701237599999998,-0.026453197925400004,2,2
LK5-H02,-0.034306781,-0.0353750871926,2,2
LK3-D01,0.066184564,-0.0111428403477,2,2
LK3-G02,-0.021250726,-0.0436096219338,2,2
LK1-F05,0.046509142,-0.0361450145475,2,2
LK4-H12,-0.062143255,-0.0241551162887,2,2
LK6-B10,0.029777903,-0.0582758785164,2,2
LK6-D05,-0.043812384,-0.0454073164925,2,2
LK1-A02,0.074568945,-0.0785877320928,2,2
LK6-B09,-0.06491301099999999,-0.0401043912095,2,2
LK5-B01,-0.069096858,-0.0177249146182,2,2
LK5-F10,-0.092640198,-0.0237098606111,2,2
LK3-C04,-0.021324099,-0.05842669752240001,2,2
LK1-B08,-0.092333836,-0.0519720147007,2,2
LK6-D06,-0.063374275,-0.030487179837000007,2,2
LK2-C09,-0.029181055,-0.033150682992,2,2
LK4-B01,-0.060980824,-0.0478359445924,2,2
LK4-B06,-0.0073895240000000015,-0.0391765315933,2,2
LK3-G10,-0.05011661,-0.0443136997966,2,2
LK5-E09,-0.014933995,-0.0442245884792,2,2
LK2-C05,-0.072951481,-0.0273836687031,2,2
LK5-H07,-0.016148315,-0.0186973265223,2,2
LK1-E09,0.00130607,-0.135222050372,2,2
LK5-D04,-0.008201942,-0.0290967754431,2,2
LK2-E12,-0.003211055,-0.0243289895773,2,2
LK3-B10,0.060567274,-0.0408305000487,2,2
LK5-D05,0.039769121,-0.0286123218192,2,2
LK5-C11,-0.07890419900000001,-0.0477075126952,2,2
LK2-F04,0.06440686799999999,-0.042917204937000006,2,2
LK1-C09,0.097834819,-0.0887469898711,2,2
LK1-G11,0.02621332,-0.0317928378205,2,2
LK1-B04,-0.09425094,-0.0381975100223,2,2
LK2-A12,-0.029611706,-0.0308528742332,2,2
LK4-A12,0.044940192,-0.05904154283980001,2,2
LK1-A09,-0.063297996,-0.0309110748624,2,2
LK6-C11,0.079424925,-0.0558552931137,2,2
LK5-A07,0.022318946,-0.053261041169300014,2,2
LK5-D09,0.003683436,-0.01731447564,2,2
LK1-G08,-0.076569198,-0.023481857796400003,2,2
LK4-B12,-0.022692414,-0.0465734371341,2,2
LK5-A04,0.032954446,-0.0356150659326,2,2
LK3-C12,0.004518577,-0.0452300276084,2,2
LK2-B07,-0.00378999,-0.0120016611784,2,2
LK3-H10,0.004132024000000001,-0.0349220631481,2,2
LK4-G09,-0.050985005,-0.0409774963822,2,2
LK3-B08,0.001601827,-0.042214051424900007,2,2
LK2-A07,0.005623133000000001,-0.0413984048708,2,2
LK3-F06,-0.125231999,-0.037590445369300014,2,2
LK2-A10,-0.06981008799999999,-0.0320731602042,2,2
LK4-E03,0.013554151,-0.010929182981200002,2,2
LK1-A05,0.07181288400000001,-0.0349093321823,2,2
LK6-A03,-0.071606045,-0.0399920527285,2,2
LK2-E07,0.021067245,-0.0467387413624,2,2
LK3-B11,-0.030885663,-0.049911719625,2,2
LK3-F10,0.031324745,-0.0633636275222,2,2
LK5-A05,0.006670793,-0.034900985894199994,2,2
LK6-C12,0.049026118,-0.0626929821383,2,2
LK5-B07,-0.12667103400000002,-0.0220914546184,2,2
LK3-B12,-0.069789932,-0.0272273893795,2,2
LK1-B01,0.007985589,-0.0589535075539,2,2
LK1-B05,-0.051014885,-0.0260328331859,2,2
LK3-C11,-0.024302582000000003,-0.0301889264548,2,2
LK3-G01,0.001125763,-0.0525414820096,2,2
LK5-F01,0.029027435,-0.0348515847094,2,2
LK2-B05,0.038236482,-0.0601420198379,2,2
LK2-B04,0.068553692,-0.0253909577364,2,2
LK5-B05,-0.068647456,-0.0479463772661,2,2
LK6-A07,-0.043732835,-0.0189311390139,2,2
LK1-A06,0.031765912,-0.0426522460961,2,2
LK2-A05,-0.07650302099999999,-0.0459555676326,2,2
LK4-H10,-0.01690951,-0.0612414480669,2,2
LK3-H06,0.010126796,-0.0652176892109,2,2
LK5-F03,-0.061319714,-0.0374727217767,2,2
LK5-A03,0.030986837000000007,-0.0224370614753,2,2
LK1-G12,-0.066683388,-0.0338069438441,2,2
LK5-F07,0.057171065,-0.052245390921599986,2,2
LK4-C10,-0.045171086,-0.048792754924099985,2,2
LK6-A05,0.006446217,-0.046215328695,2,2
LK3-C09,-0.003210792,-0.0556754074515,2,2
LK5-D08,0.032239849,-0.0249019184071,2,2
LK1-D02,-0.03975231,-0.0302600994373,2,2
LK2-E08,-0.01185898,-0.0415279753335,2,2
LK3-H05,0.017018613000000002,-0.0368690701122,2,2
LK2-D07,-0.009147778,-0.0565719962407,2,2
LK1-C06,0.078083465,-0.052404687313800005,2,2
LK3-D09,-0.077437477,-0.034169411130300004,2,2
LK1-G09,-0.110538363,-0.0473270132459,2,2
LK2-D09,-0.04650311,-0.0254217620287,2,2
LK1-D06,-0.060605349,-0.036651868108300005,2,2
LK3-A01,0.019923344,-0.0672832048808,2,2
LK2-D05,-0.040989887,-0.0300445014365,2,2
LK1-C11,0.03763259,-0.0557887032076,2,2
LK1-G03,0.044068065,-0.079185512699,2,2
LK3-D04,-0.058895829,-0.0361566966397,2,2
LK3-C06,0.010954336,-0.0390123241666,2,2
LK2-A01,-0.003379405,-0.0358732666839,2,2
LK2-G10,-0.005487313000000001,-0.0419972224744,2,2
