Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK3-G08,0.093805708,-0.08592373326910001,2,2
LK4-D11,-0.060829465,-0.0349709814681,2,2
LK4-C09,-0.087799295,-0.0269624137326,2,2
LK2-A11,-0.12701237599999998,-0.07053384850279999,2,2
LK1-F05,0.046509142,-0.0694682151563,2,2
LK4-B01,-0.060980824,-0.060780049928,2,2
LK3-B10,0.060567274,-0.129182464836,2,2
LK5-C11,-0.07890419900000001,0.020119763148,2,2
LK2-A12,-0.029611706,-0.0278846345558,2,2
LK1-A09,-0.063297996,-0.049086403514,2,2
LK1-G08,-0.076569198,-0.0452576254536,2,2
LK2-B07,-0.00378999,-0.0495221983684,2,2
LK4-G09,-0.050985005,-0.0460879601612,2,2
LK3-F06,-0.125231999,0.00929106290547,2,2
LK5-A05,0.006670793,-0.131564583218,2,2
LK5-B05,-0.068647456,-0.0793402221852,2,2
LK3-G11,-0.041289604,-0.0779574172579,2,2
LK1-G09,-0.110538363,-0.0529453721729,2,2
LK2-D09,-0.04650311,-0.0565296696117,2,2
LK2-A01,-0.003379405,-0.0594608421129,2,2
