Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,0.0011953828006199998,1,1
LK3-G08,0.093805708,-0.00190469146821,0,0
LK2-G07,-0.019194571,-0.00197536127016,0,0
LK4-H03,0.02296139,-0.00565740504991,0,1
LK4-D11,-0.060829465,0.014830520531,1,1
LK3-E06,0.032744933,-0.00557814793308,0,0
LK1-D10,-0.037986439,0.00383192686742,1,1
LK1-D12,-0.057403752,0.0136982270135,1,0
LK6-C05,-0.059662381,0.0131022647141,1,0
LK4-C09,-0.087799295,-0.00104655122245,1,0
LK5-C04,0.054950025,-0.00864417545214,0,1
LK1-B03,-0.061280442,0.00182948551886,1,0
LK3-A05,-0.033288214,-0.00473898568575,0,1
LK4-B03,-0.037788014,0.0025993173881,1,1
LK5-B06,-0.068915324,0.0271889844714,1,0
LK1-D08,-0.008491259000000001,-0.000227982965501,0,0
LK5-H12,-0.023919485,0.00535299832459,1,0
LK1-E01,-0.043467154,0.00456395359097,1,0
LK3-D08,0.023624539,-0.00734153153479,0,0
LK4-B08,-0.063909414,-0.00132938008948,1,0
LK6-B07,-0.016711953,0.00956383896105,1,1
LK6-F03,-0.109289121,0.0170474709035,1,0
LK6-B05,-0.006164366,-0.0126427467136,0,1
LK6-E02,-0.107711445,0.0231800714487,1,0
LK2-A11,-0.12701237599999998,0.00915082171497,1,0
LK5-H02,-0.034306781,0.00840131943186,1,0
LK6-A10,-0.087805455,0.00511468373292,1,0
LK3-D01,0.066184564,-0.00739296443494,0,1
LK3-G02,-0.021250726,-0.00380772497469,0,1
LK5-G03,-0.061380255,0.0233089473313,1,0
LK1-F05,0.046509142,-0.0153018212897,0,1
LK4-H12,-0.062143255,0.00812855875142,1,0
LK6-B10,0.029777903,0.00893243324262,0,0
LK6-D05,-0.043812384,0.0127321837739,1,1
LK1-A02,0.074568945,0.0009305622804389998,0,0
LK5-F08,0.015046178,-0.00109427238828,0,0
LK6-B09,-0.06491301099999999,0.0179402156528,1,0
LK5-C01,-0.035507118,0.0144533942591,1,1
LK5-B01,-0.069096858,0.00898649727782,1,0
LK5-F10,-0.092640198,0.009267277416,1,0
LK5-C03,-0.034896086,0.00775007175667,1,1
LK6-A09,-0.118694117,0.0438046498527,1,0
LK3-C04,-0.021324099,-0.008549146395570001,0,1
LK1-B08,-0.092333836,0.00130093459535,1,1
LK4-B07,0.051667858,-0.00239819021829,0,0
LK3-H03,-0.049118176,0.0108979001613,1,0
LK6-D06,-0.063374275,0.014505629921600004,1,1
LK2-C09,-0.029181055,0.00993331483312,1,1
LK4-B01,-0.060980824,0.0189580738096,1,0
LK4-B06,-0.0073895240000000015,-0.006249357001369999,0,1
LK3-B02,-0.061936905999999986,-0.00507537210632,1,1
LK3-G10,-0.05011661,0.008944158966440002,1,1
LK5-E09,-0.014933995,0.0137264380175,1,0
LK2-C05,-0.072951481,0.00708736739007,1,1
LK5-H07,-0.016148315,0.00352541112646,1,1
LK1-E09,0.00130607,0.00285308004464,0,1
LK5-D04,-0.008201942,-0.0141526847219,0,0
LK2-E12,-0.003211055,-0.00215087631032,0,0
LK3-B10,0.060567274,-0.0153037923968,0,1
LK5-D05,0.039769121,-0.0142925885063,0,1
LK5-C11,-0.07890419900000001,0.00112741475188,1,1
LK2-F04,0.06440686799999999,-0.00169188356768,0,0
LK1-C09,0.097834819,0.00220866386629,0,1
LK3-B03,0.020432307,-6.83476455255e-06,0,0
LK6-D07,-0.067901009,0.0103027186462,1,0
LK1-G11,0.02621332,-0.00642043939293,0,1
LK1-B04,-0.09425094,0.0153879018748,1,0
LK1-E04,0.010654118,0.00699513389485,0,0
LK2-A12,-0.029611706,-0.00206160971716,1,1
