Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,-0.0552442095756,1,1
LK4-D11,-0.060829465,0.00773305924893,1,0
LK3-E06,0.032744933,-0.053407935945,0,1
LK1-D12,-0.057403752,0.0479191444708,1,0
LK6-C05,-0.059662381,0.00973095136585,1,0
LK4-C09,-0.087799295,-0.00575036779642,1,1
LK5-C04,0.054950025,-0.0999217276451,0,1
LK1-B03,-0.061280442,0.0123916188537,1,1
LK4-B03,-0.037788014,-0.0411743216399,1,1
LK5-B06,-0.068915324,-0.0238324731501,1,1
LK5-H12,-0.023919485,-0.0599688504191,1,1
LK1-E01,-0.043467154,-0.0451333497494,1,1
LK4-B08,-0.063909414,-0.0200332043695,1,0
LK6-B07,-0.016711953,-0.0447648007982,1,1
LK6-F03,-0.109289121,0.0293334836036,1,0
LK6-B05,-0.006164366,-0.09732394723110002,0,0
LK6-E02,-0.107711445,0.0508019913211,1,0
LK2-A11,-0.12701237599999998,0.020139309799,1,0
LK5-H02,-0.034306781,-0.0424359707346,1,0
LK6-A10,-0.087805455,0.0201832912034,1,0
LK3-D01,0.066184564,-0.0621968362766,0,1
LK5-G03,-0.061380255,0.00736277442551,1,1
LK1-F05,0.046509142,-0.0773426512708,0,0
LK4-H12,-0.062143255,-0.00490681243344,1,0
LK6-B10,0.029777903,-0.0652579841285,0,1
LK6-D05,-0.043812384,-0.00183237542268,1,1
LK1-A02,0.074568945,-0.0330767316183,0,0
LK5-F08,0.015046178,-0.0734889027558,0,1
LK5-H08,-0.000319424,-0.0802164078695,0,1
LK6-B09,-0.06491301099999999,-0.00985852334701,1,0
LK5-C01,-0.035507118,-0.0181735140423,1,1
LK5-B01,-0.069096858,0.00298023737701,1,0
LK5-F10,-0.092640198,-0.0140821449956,1,0
LK5-C03,-0.034896086,-0.00953455818494,1,1
LK6-A09,-0.118694117,0.0187100486706,1,1
LK3-C04,-0.021324099,-0.08921493599479999,0,1
LK1-B08,-0.092333836,-0.0255499393164,1,1
LK3-H03,-0.049118176,-0.0474656553075,1,1
LK6-D06,-0.063374275,0.0330538471901,1,0
LK2-C09,-0.029181055,-0.0362207218781,1,0
LK4-B01,-0.060980824,-0.00664690585036,1,1
LK4-G05,-0.078376922,0.017035336319299998,1,0
LK3-B02,-0.061936905999999986,-0.04471503628,1,1
LK3-G10,-0.05011661,-0.00927658620136,1,1
LK5-E09,-0.014933995,-0.061325836416,1,1
LK2-C05,-0.072951481,-0.004261915133809999,1,1
LK5-H07,-0.016148315,-0.037316848804,1,1
LK5-D04,-0.008201942,-0.0258654301035,0,0
LK2-E12,-0.003211055,-0.08880055523589997,0,0
LK3-B10,0.060567274,-0.063977284043,0,0
LK5-D05,0.039769121,-0.025470526497,0,1
LK5-C11,-0.07890419900000001,0.0222329917045,1,0
LK2-F04,0.06440686799999999,-0.08766298623810001,0,1
LK1-C09,0.097834819,-0.0632492107544,0,0
LK6-D07,-0.067901009,-0.00352809073318,1,1
LK1-B04,-0.09425094,-0.0106982693347,1,1
LK2-A12,-0.029611706,-0.0364066142175,1,1
LK4-H11,-0.043349795,-0.03025947154,1,1
LK4-A12,0.044940192,-0.0706923691394,0,0
LK1-A09,-0.063297996,-0.0349704813916,1,1
LK5-A07,0.022318946,-0.07958656330529999,0,1
LK6-A11,-0.101157306,0.0130102292301,1,0
LK5-D09,0.003683436,-0.052079285170099986,0,1
LK1-G08,-0.076569198,0.0357977460618,1,0
LK4-B12,-0.022692414,-0.0438267646392,1,0
LK5-A04,0.032954446,-0.0759718207455,0,1
LK3-C12,0.004518577,-0.050623048107699985,0,1
LK2-B07,-0.00378999,-0.0494251265635,0,0
LK4-G09,-0.050985005,0.0228496749181,1,0
LK3-B08,0.001601827,-0.041744266635800005,0,0
