Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,0.0028195010199400005,2,2
LK3-G08,0.093805708,-0.00129156740111,2,2
LK2-G07,-0.019194571,0.0103658448313,2,2
LK4-H03,0.02296139,0.01009874123,2,2
LK4-D11,-0.060829465,-0.00559053199694,2,2
LK3-E06,0.032744933,0.00514952614011,2,2
LK1-D12,-0.057403752,0.00942615237133,2,2
LK6-C05,-0.059662381,0.00651646653373,2,2
LK4-C09,-0.087799295,0.0117628345383,2,2
LK5-C04,0.054950025,0.00368749604719,2,2
LK1-B03,-0.061280442,0.00434983790884,2,2
LK3-A05,-0.033288214,0.0245532536321,2,2
LK4-B03,-0.037788014,0.0117349282671,2,2
LK5-B06,-0.068915324,0.0119457771731,2,2
LK1-D08,-0.008491259000000001,0.00858741298252,2,2
LK5-H12,-0.023919485,-0.000102041819735,2,2
LK4-B08,-0.063909414,0.006368089875290001,2,2
LK6-B07,-0.016711953,0.0106567049572,2,2
LK6-F03,-0.109289121,0.0115573255494,2,2
LK6-B05,-0.006164366,0.0185572199864,2,2
LK6-E02,-0.107711445,0.0206156737902,2,2
LK2-A11,-0.12701237599999998,0.0166797418198,2,2
LK5-H02,-0.034306781,0.00911235615841,2,2
LK6-A10,-0.087805455,0.00697364569778,2,2
LK3-D01,0.066184564,0.00478882617564,2,2
LK5-G03,-0.061380255,0.0151272113007,2,2
LK1-F05,0.046509142,0.000612146714342,2,2
LK4-H12,-0.062143255,0.0093499883963,2,2
LK6-B10,0.029777903,0.00417577303152,2,2
LK6-D05,-0.043812384,0.00596587482446,2,2
LK1-A02,0.074568945,0.0066217617857,2,2
LK5-F08,0.015046178,-0.0111087399857,2,2
LK6-B09,-0.06491301099999999,0.00565123066636,2,2
LK5-C01,-0.035507118,0.00677117199961,2,2
LK5-B01,-0.069096858,0.00127740948906,2,2
LK5-F10,-0.092640198,0.007588083409300002,2,2
LK5-C03,-0.034896086,0.008271488519350001,2,2
LK6-A09,-0.118694117,0.00208964761862,2,2
LK3-C04,-0.021324099,-0.0127753190686,2,2
LK1-B08,-0.092333836,0.0146158055422,2,2
LK6-D06,-0.063374275,0.00859244183871,2,2
LK4-B01,-0.060980824,0.00589156666156,2,2
LK3-B02,-0.061936905999999986,0.0139377530254,2,2
LK3-G10,-0.05011661,0.012777216881899998,2,2
LK5-E09,-0.014933995,-0.00296150808367,2,2
LK2-C05,-0.072951481,0.0108541719947,2,2
LK5-H07,-0.016148315,-0.00317475222129,2,2
