Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,0.025735962423400004,1,1
LK3-G08,0.093805708,0.00504078986811,0,0
LK2-G07,-0.019194571,0.0168609398685,0,0
LK4-A04,0.036559047,0.0141502546978,0,0
LK4-H03,0.02296139,-0.0016053456640399998,0,1
LK4-D11,-0.060829465,0.0457125453068,1,1
LK3-E06,0.032744933,-0.0392766162336,0,0
LK1-D12,-0.057403752,0.0459123031446,1,0
LK6-C05,-0.059662381,0.037834927344400006,1,0
LK4-C09,-0.087799295,0.0388115133608,1,0
LK5-C04,0.054950025,-0.0213529202432,0,1
LK1-B03,-0.061280442,0.0547331085443,1,0
LK3-A05,-0.033288214,0.00969176420009,0,1
LK4-B03,-0.037788014,0.0282108326801,1,1
LK5-B06,-0.068915324,0.0557415757016,1,0
LK1-D08,-0.008491259000000001,0.013192065528500002,0,0
LK5-H12,-0.023919485,0.0390655954575,1,0
LK4-B08,-0.063909414,0.0374131849318,1,0
LK6-B07,-0.016711953,0.0265807025237,1,1
LK6-F03,-0.109289121,0.0446641832791,1,0
LK6-B05,-0.006164366,-0.00120481280578,0,1
LK6-E02,-0.107711445,0.0313184484735,1,0
LK2-A11,-0.12701237599999998,0.034100048166,1,0
LK5-H02,-0.034306781,0.0322122151675,1,1
LK6-A10,-0.087805455,0.0684118643428,1,0
LK3-D01,0.066184564,0.00564018532779,0,1
LK3-G02,-0.021250726,0.0236694658955,1,1
LK5-G03,-0.061380255,0.0452177028859,1,0
LK1-F05,0.046509142,-0.00395142649796,0,1
LK4-H12,-0.062143255,0.0407047636819,1,0
LK6-B10,0.029777903,0.0105782567566,0,0
LK6-D05,-0.043812384,0.059592486019800016,1,1
LK1-A02,0.074568945,0.0126673654623,0,0
LK5-F08,0.015046178,0.00401362551749,0,0
LK6-B09,-0.06491301099999999,0.0391113762906,1,0
LK5-C01,-0.035507118,0.0401551087811,1,1
LK5-B01,-0.069096858,0.0542652258799,1,0
LK5-F10,-0.092640198,0.044156791759800015,1,0
