Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,-0.022326169194400003,1,1
LK4-D11,-0.060829465,0.00499234713469,1,0
LK1-D10,-0.037986439,-0.064597817291,1,1
LK1-D12,-0.057403752,0.038558814026000005,1,0
LK6-C05,-0.059662381,0.0340243923382,1,0
LK4-C09,-0.087799295,0.00155578452324,1,1
LK5-C04,0.054950025,-0.0904661427893,0,0
LK1-B03,-0.061280442,0.0371061455757,1,0
LK4-B03,-0.037788014,-0.0139696778643,1,1
LK5-B06,-0.068915324,-0.0107561636469,1,0
LK1-D08,-0.008491259000000001,-0.0904553555571,0,1
LK5-H12,-0.023919485,-0.0454640561957,1,1
LK1-E01,-0.043467154,-0.0100756742648,1,1
LK4-B08,-0.063909414,-0.0128592531209,1,1
LK6-B07,-0.016711953,-0.0129156225785,1,1
LK6-F03,-0.109289121,0.028875864285900006,1,1
LK6-B05,-0.006164366,-0.111370999372,0,0
LK6-E02,-0.107711445,0.0445428664037,1,0
LK2-A11,-0.12701237599999998,0.0228338512898,1,1
LK5-H02,-0.034306781,-0.0203703896031,1,1
LK6-A10,-0.087805455,0.0357195374499,1,1
LK3-D01,0.066184564,-0.110132833157,0,1
LK5-G03,-0.061380255,0.0199592924698,1,1
LK1-F05,0.046509142,-0.0325625476591,0,0
LK4-H12,-0.062143255,0.0105555933344,1,1
LK6-D05,-0.043812384,0.0213466944737,1,0
LK5-H08,-0.000319424,-0.0671680932537,0,1
LK6-B09,-0.06491301099999999,-0.00210306320063,1,0
LK5-C01,-0.035507118,-0.034885254626,1,0
LK5-B01,-0.069096858,0.0295286312782,1,0
LK5-F10,-0.092640198,-0.00964493183081,1,1
LK5-C03,-0.034896086,-0.0121181402559,1,0
LK2-F11,0.035349227000000004,-0.106320575949,0,1
LK6-A09,-0.118694117,0.0212223408156,1,1
LK3-C04,-0.021324099,-0.104413543914,0,1
LK1-B08,-0.092333836,0.00624934161191,1,1
LK6-D06,-0.063374275,0.0353459950743,1,0
LK2-C09,-0.029181055,-0.00818637570652,1,0
LK4-B01,-0.060980824,0.00113327122264,1,0
LK4-G05,-0.078376922,0.0325620356201,1,1
LK3-B02,-0.061936905999999986,-0.0415916893857,1,1
LK3-G10,-0.05011661,0.000814558155386,1,1
LK5-E09,-0.014933995,-0.0285213818597,1,0
LK2-C05,-0.072951481,-0.0103809872903,1,0
LK5-H07,-0.016148315,-0.0234479316971,1,1
LK5-D04,-0.008201942,-0.0759723432722,0,1
LK2-E12,-0.003211055,-0.08815524880799999,0,1
LK3-B10,0.060567274,-0.07196451492330001,0,0
LK5-C11,-0.07890419900000001,0.0399544194179,1,0
LK2-F04,0.06440686799999999,-0.103179632493,0,0
LK1-C09,0.097834819,-0.131006720389,0,0
LK6-D07,-0.067901009,0.0068974175372200006,1,1
LK1-G11,0.02621332,-0.0782474603754,0,1
LK1-B04,-0.09425094,0.0088676698604,1,1
LK2-A12,-0.029611706,-0.0238693309827,1,0
LK4-H11,-0.043349795,0.00309034927173,1,0
LK4-A12,0.044940192,-0.07275410118810001,0,0
LK1-A09,-0.063297996,-0.0140066819065,1,0
LK5-A07,0.022318946,-0.0785953635038,0,0
LK6-A11,-0.101157306,0.033530906559099995,1,1
LK5-D09,0.003683436,-0.044032640283699985,0,1
LK5-G09,0.000908654,-0.0724469415671,0,1
LK1-G08,-0.076569198,0.0355450969074,1,1
LK4-B12,-0.022692414,-0.00704137881717,1,0
LK5-A04,0.032954446,-0.0947880736385,0,1
LK3-C12,0.004518577,-0.08612826375980001,0,1
LK2-B07,-0.00378999,-0.0703879724585,0,1
LK3-H10,0.004132024000000001,-0.0601410747628,0,1
LK4-G09,-0.050985005,0.0212236358202,1,0
