Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,-0.0490578151997,1,0
LK4-D11,-0.060829465,0.014334527668299997,1,1
LK1-D10,-0.037986439,-0.07430567856430001,1,0
LK1-D12,-0.057403752,0.0389927058921,1,1
LK6-C05,-0.059662381,0.027437276425400003,1,1
LK4-C09,-0.087799295,-0.0006362417458230001,1,1
LK5-C04,0.054950025,-0.114926934666,0,0
LK1-B03,-0.061280442,0.0304361016481,1,1
LK4-B03,-0.037788014,-0.0227713928148,1,0
LK5-B06,-0.068915324,-0.016388591913999998,1,0
LK5-H12,-0.023919485,-0.0530501365185,1,0
LK1-E01,-0.043467154,-0.0239240889961,1,1
LK3-D08,0.023624539,-0.0796836512683,0,0
LK4-B08,-0.063909414,-0.0119874167937,1,0
LK6-B07,-0.016711953,-0.0256792254015,1,0
LK6-F03,-0.109289121,0.0237179793826,1,1
LK6-B05,-0.006164366,-0.110172025447,0,0
LK6-E02,-0.107711445,0.030146147506900006,1,1
LK2-A11,-0.12701237599999998,0.0244657253215,1,1
LK5-H02,-0.034306781,-0.0293869061783,1,0
LK6-A10,-0.087805455,0.027704186767,1,1
LK3-D01,0.066184564,-0.08061182668650001,0,0
LK5-G03,-0.061380255,0.00499525052425,1,0
LK1-F05,0.046509142,-0.104470698052,0,1
LK4-H12,-0.062143255,0.00694287987815,1,1
LK6-D05,-0.043812384,0.00684559546622,1,1
LK5-F08,0.015046178,-0.0876787472481,0,1
LK6-B09,-0.06491301099999999,0.00361582648004,1,0
LK5-C01,-0.035507118,-0.0251655229978,1,1
LK5-B01,-0.069096858,0.022367358131,1,1
LK5-F10,-0.092640198,-0.0168580486264,1,0
LK5-C03,-0.034896086,-0.011198014327,1,0
LK6-A09,-0.118694117,0.010936221186600002,1,0
LK6-E04,-0.042724455,-0.025129402077900004,1,0
LK3-C04,-0.021324099,-0.108576040586,0,1
LK1-B08,-0.092333836,-0.00294047260358,1,1
LK4-B07,0.051667858,-0.130446103175,0,0
LK6-D06,-0.063374275,0.0328079996443,1,1
LK2-C09,-0.029181055,-0.0169570442925,1,0
LK4-B01,-0.060980824,0.005325930159529999,1,1
LK4-G05,-0.078376922,0.032238330956000004,1,1
LK3-B02,-0.061936905999999986,-0.0317101423179,1,0
LK3-G10,-0.05011661,-0.00696113444295,1,1
LK5-E09,-0.014933995,-0.0291130165229,1,1
LK2-C05,-0.072951481,-0.0133617985916,1,1
LK5-H07,-0.016148315,-0.0343748650941,1,0
LK5-D04,-0.008201942,-0.0870227572818,0,1
LK2-E12,-0.003211055,-0.0923458462198,0,1
LK3-B10,0.060567274,-0.0949424601753,0,1
LK5-C11,-0.07890419900000001,0.0283973927497,1,0
LK2-F04,0.06440686799999999,-0.10801130218,0,1
LK1-C09,0.097834819,-0.11676127148,0,0
LK6-D07,-0.067901009,0.00143265936197,1,0
LK1-G11,0.02621332,-0.08911006566289999,0,0
LK1-B04,-0.09425094,-0.00750703918042,1,1
LK1-E04,0.010654118,0.0194590532689,0,1
LK2-A12,-0.029611706,-0.0305975806926,1,0
LK4-H11,-0.043349795,-0.008822744316469998,1,0
LK4-A12,0.044940192,-0.0917483584366,0,1
LK1-A09,-0.063297996,-0.0210089834503,1,0
LK6-C11,0.079424925,-0.125084703383,0,0
LK5-A07,0.022318946,-0.10037618293,0,1
LK6-A11,-0.101157306,0.032136792108900004,1,0
LK5-D09,0.003683436,-0.047901797072,0,0
LK5-G09,0.000908654,-0.086503725711,0,0
LK1-G08,-0.076569198,0.0244509990186,1,0
LK4-B12,-0.022692414,-0.013926136917399998,1,0
LK5-A04,0.032954446,-0.100731418656,0,1
LK3-C12,0.004518577,-0.085408113718,0,1
LK2-B07,-0.00378999,-0.0883149157903,0,0
LK3-H10,0.004132024000000001,-0.084988061999,0,0
LK4-G09,-0.050985005,0.016364644518299998,1,0
LK3-B08,0.001601827,-0.112165104852,0,0
LK2-A07,0.005623133000000001,-0.017170632427,1,0
LK5-E08,-0.06663271,-0.104269331113,0,0
LK3-F06,-0.125231999,-0.00131240577641,1,1
LK4-B05,-0.055145456,-0.0014439465174500002,1,1
LK2-A10,-0.06981008799999999,0.035179633002699995,1,1
LK4-E03,0.013554151,-0.099985005947,0,1
LK1-A05,0.07181288400000001,-0.144025299538,0,0
LK6-A03,-0.071606045,0.0357566761905,1,1
LK5-G01,-0.097400427,0.0308911038648,1,0
LK3-B11,-0.030885663,0.005850131203580001,1,1
LK3-F10,0.031324745,-0.0778989849537,0,0
LK5-A05,0.006670793,-0.0801278240658,0,0
LK3-H11,-0.037647523,-0.0456833142259,1,0
LK6-C12,0.049026118,-0.112166793422,0,0
LK5-B07,-0.12667103400000002,0.0149888829357,1,0
LK3-B12,-0.069789932,-0.0210485426273,1,0
LK1-B05,-0.051014885,0.0168831899124,1,1
LK3-C11,-0.024302582000000003,-0.0211485990741,1,1
LK3-H08,-0.066259295,-0.015715652121,1,1
LK2-B05,0.038236482,-0.08060581313510001,0,1
LK3-D05,-0.097416376,0.0190512316286,1,1
LK5-B05,-0.068647456,-0.0109859028396,1,1
LK6-A07,-0.043732835,-0.0620376494768,0,0
LK1-A06,0.031765912,-0.0931782736559,0,1
LK2-A05,-0.07650302099999999,0.0294178362767,1,1
LK2-F07,-0.012979132,-0.0760813858313,0,1
LK4-H10,-0.01690951,-0.08650327318210001,0,1
LK5-F03,-0.061319714,0.04374382534469999,1,1
LK5-E01,-0.08983357800000001,0.0130352985007,1,1
LK1-G12,-0.066683388,-0.00456792395586,1,1
LK5-F07,0.057171065,-0.104469429978,0,0
LK4-C10,-0.045171086,0.00103805401353,1,0
LK2-A06,-0.08736029599999999,0.020003936512400004,1,1
LK3-G11,-0.041289604,-0.0273909647046,1,0
LK3-C09,-0.003210792,-0.0290988220746,1,1
LK4-E01,0.007107061,-0.0461589018733,1,0
LK1-D02,-0.03975231,-0.00508881000259,1,1
LK6-C02,-0.010438455,-0.0262088738311,1,1
LK2-E08,-0.01185898,-0.0409497033034,1,0
LK3-A07,-0.008287901,-0.0370596371442,0,1
LK3-H05,0.017018613000000002,-0.0912357217645,0,0
LK2-D07,-0.009147778,-0.0732360464834,1,0
LK4-C08,-0.024730103,-0.0472467595545,1,0
LK1-C07,0.00115568,-0.0929237314384,0,1
LK1-C06,0.078083465,-0.125024086223,0,1
LK3-D09,-0.077437477,0.0352687162405,1,1
LK1-G09,-0.110538363,0.0166981713321,1,1
LK2-D09,-0.04650311,-0.033389754570499995,1,0
LK1-D06,-0.060605349,-0.0150771512943,1,1
LK3-A01,0.019923344,-0.112276018598,0,1
LK2-D05,-0.040989887,-0.00921543407784,1,1
LK1-C11,0.03763259,-0.100887208166,0,0
LK1-G03,0.044068065,-0.0936476828896,0,0
LK3-D04,-0.058895829,-0.0118734922103,1,0
LK3-C06,0.010954336,-0.0802947554,0,1
LK2-A01,-0.003379405,-0.07345461560319999,0,0
LK2-G10,-0.005487313000000001,-0.0742205117094,1,0
