Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-C09,-0.087799295,-0.0293789863374,2,2
LK5-B06,-0.068915324,-0.0853629350541,2,2
LK6-F03,-0.109289121,-0.0525891578658,2,2
LK6-E02,-0.107711445,-0.0758710219975,2,2
LK2-A11,-0.12701237599999998,-0.0602704117964,2,2
LK6-B10,0.029777903,-0.126624398802,2,2
LK5-B01,-0.069096858,-0.0719209164581,2,2
LK5-C11,-0.07890419900000001,-0.096410331084,2,2
LK4-B12,-0.022692414,-0.10573295358,2,2
LK3-F06,-0.125231999,-0.0609483425085,2,2
LK3-B11,-0.030885663,-0.129726937792,2,2
LK3-H11,-0.037647523,-0.103069019488,2,2
LK3-D05,-0.097416376,-0.0903847783369,2,2
LK5-A03,0.030986837000000007,-0.136890538296,2,2
LK1-G09,-0.110538363,-0.0582159516514,2,2
