Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,-0.018512979534200003,0,0
LK3-G08,0.093805708,-0.0127112681217,0,1
LK2-G07,-0.019194571,-0.0107103076597,1,1
LK4-A04,0.036559047,0.00310408137145,0,1
LK4-D11,-0.060829465,-0.00129395556125,0,1
LK3-E06,0.032744933,-0.0213877685348,1,0
LK1-D10,-0.037986439,-0.0164384082501,0,0
LK1-D12,-0.057403752,-0.0187267319464,0,0
LK6-C05,-0.059662381,-0.0186062459997,1,0
LK4-C09,-0.087799295,0.0011666908565899998,0,1
LK5-C04,0.054950025,-0.0132598367637,1,0
LK1-B03,-0.061280442,-0.00919188370768,0,0
LK3-A05,-0.033288214,-0.0368879287092,0,0
LK4-B03,-0.037788014,-0.00696887572665,1,0
LK5-B06,-0.068915324,0.00811413789796,0,1
LK1-D08,-0.008491259000000001,-0.0102716417691,1,1
LK5-H12,-0.023919485,-0.006282960780600001,1,1
LK1-E01,-0.043467154,-0.0145485214949,0,1
LK4-B08,-0.063909414,0.000851189419362,1,0
LK6-B05,-0.006164366,-0.0055364269738,0,0
LK6-E02,-0.107711445,-0.011856019772,0,0
LK2-A11,-0.12701237599999998,-0.00269224312887,0,0
LK5-H02,-0.034306781,-0.0198462991267,1,1
LK3-D01,0.066184564,-0.0250334112577,1,0
LK3-G02,-0.021250726,-0.0168043963706,1,1
LK5-G03,-0.061380255,-0.00571541515637,0,0
LK1-F05,0.046509142,-0.0103515177261,0,1
LK4-H12,-0.062143255,-0.017123564424799998,1,0
LK6-B10,0.029777903,0.00710380878621,0,1
LK6-D05,-0.043812384,-0.0395509874495,1,0
LK1-A02,0.074568945,-0.0544673800374,1,0
LK5-F08,0.015046178,-0.0155355399377,1,0
LK6-B09,-0.06491301099999999,-0.00172944320223,0,1
LK4-D02,-0.026555348,-0.0203434583643,1,1
LK5-C01,-0.035507118,-0.0600109607938,0,0
LK5-B01,-0.069096858,-0.031527676968099994,1,0
LK5-F10,-0.092640198,-0.00671304655044,0,0
LK5-C03,-0.034896086,-0.045726770214400005,1,0
LK6-A09,-0.118694117,0.0116093677003,0,0
LK3-C04,-0.021324099,-0.015718610172399998,0,0
LK1-B08,-0.092333836,-0.038352413106300005,1,0
LK4-B01,-0.060980824,-0.000208919488618,0,1
LK3-B02,-0.061936905999999986,-0.00923285015636,0,1
LK3-G10,-0.05011661,-0.0261870162798,0,0
LK5-E09,-0.014933995,-0.00025004061492,0,0
LK2-C05,-0.072951481,-0.010403423033,0,1
LK5-H07,-0.016148315,-0.0317802638884,1,0
LK5-D04,-0.008201942,-0.0299112254617,0,0
LK3-B10,0.060567274,-0.0162157583989,0,1
LK5-D05,0.039769121,-0.0448684733472,1,0
LK5-C11,-0.07890419900000001,-0.0272904018659,0,0
LK2-F04,0.06440686799999999,-0.034734721209300004,0,0
LK3-B03,0.020432307,-0.043701131879500005,1,1
LK6-D07,-0.067901009,-0.0363738251378,1,0
LK1-G11,0.02621332,-0.00649302472845,1,1
LK1-B04,-0.09425094,-0.0016156676886500002,0,1
LK1-E04,0.010654118,-0.0129472044401,1,0
LK2-A12,-0.029611706,-0.00723672298298,0,1
LK4-A12,0.044940192,-0.000781611536096,0,0
LK1-A09,-0.063297996,-0.00734941879876,0,0
LK5-A07,0.022318946,-0.00616945346734,0,1
LK6-A11,-0.101157306,-0.0117061724788,0,0
LK5-D09,0.003683436,0.0118884545129,1,1
LK1-G08,-0.076569198,-0.0243480144754,1,0
LK5-A04,0.032954446,-0.0165362117372,1,1
LK3-C12,0.004518577,-0.0239546864255,0,0
LK2-B07,-0.00378999,-0.0102159296281,0,0
LK3-H10,0.004132024000000001,-0.0210111786354,0,1
LK4-G09,-0.050985005,-0.0275424068714,1,0
LK3-B08,0.001601827,0.0011896162128900002,0,1
LK1-H04,-0.07081425599999999,-0.05853372749080001,1,0
LK2-A07,0.005623133000000001,-0.00772739038101,0,0
LK5-E08,-0.06663271,-0.0283454786984,1,0
LK3-F06,-0.125231999,-0.0100562197182,0,0
LK3-C08,0.080039068,-0.0277402580316,1,0
LK4-B05,-0.055145456,-0.038441828436300014,1,0
LK2-A10,-0.06981008799999999,-0.0248709463316,1,0
LK4-E03,0.013554151,-0.00910264521839,0,1
LK1-A05,0.07181288400000001,-0.0290235974547,1,1
LK4-D01,0.011072576,-0.032790010405,1,0
LK6-A03,-0.071606045,-0.0175333537248,1,0
LK2-E07,0.021067245,-0.0115067438736,0,1
LK5-G01,-0.097400427,-0.0253891381277,0,0
LK3-B11,-0.030885663,-0.0282555857409,1,0
LK3-F10,0.031324745,-0.00329954031179,0,0
