Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,-0.07609824472860001,2,2
LK3-G08,0.093805708,-0.136174083472,2,2
LK2-G07,-0.019194571,-0.0778625720287,2,2
LK4-H03,0.02296139,-0.08155674137239999,2,2
LK1-D12,-0.057403752,-0.130965513124,2,2
LK5-C04,0.054950025,-0.087549866778,2,2
LK3-A05,-0.033288214,-0.0675768005412,2,2
LK4-B03,-0.037788014,-0.113251449788,2,2
LK3-D08,0.023624539,-0.0970195959994,2,2
LK6-F03,-0.109289121,-0.0735991124332,2,2
LK6-B05,-0.006164366,-0.0777233837528,2,2
LK2-A11,-0.12701237599999998,-0.0427254248548,2,2
LK3-D01,0.066184564,-0.0851213539995,2,2
LK1-F05,0.046509142,-0.113820016839,2,2
LK6-B10,0.029777903,-0.153065528439,2,2
LK5-B01,-0.069096858,-0.0504950123994,2,2
LK1-B08,-0.092333836,-0.0981056663082,2,2
LK2-C09,-0.029181055,-0.131208989321,2,2
LK3-B02,-0.061936905999999986,-0.0869223751659,2,2
LK2-C05,-0.072951481,-0.0998902395007,2,2
LK5-D04,-0.008201942,-0.1177639921,2,2
LK2-E12,-0.003211055,-0.118515605284,2,2
LK5-C11,-0.07890419900000001,-0.08139682150939999,2,2
LK3-B03,0.020432307,-0.0629245073363,2,2
LK1-G11,0.02621332,-0.0988649130578,2,2
LK1-B04,-0.09425094,-0.112386405945,2,2
LK4-H11,-0.043349795,-0.0835067601328,2,2
LK4-A12,0.044940192,-0.13707744521600002,2,2
LK5-A07,0.022318946,-0.114319773671,2,2
LK5-A04,0.032954446,-0.092751866067,2,2
LK3-C12,0.004518577,-0.124625467196,2,2
LK2-B07,-0.00378999,-0.0676741862307,2,2
LK3-H10,0.004132024000000001,-0.131749340725,2,2
LK4-G09,-0.050985005,-0.0569142248288,2,2
LK3-B08,0.001601827,-0.0806536886471,2,2
LK3-F06,-0.125231999,-0.07537476260810001,2,2
LK4-E03,0.013554151,-0.0906203435611,2,2
LK4-D01,0.011072576,-0.0814160090095,2,2
LK2-E07,0.021067245,-0.0812654321434,2,2
LK3-F10,0.031324745,-0.102372877702,2,2
LK5-A05,0.006670793,-0.0674503305306,2,2
LK6-C12,0.049026118,-0.109151383174,2,2
LK5-B07,-0.12667103400000002,-0.0448978611511,2,2
LK3-C11,-0.024302582000000003,-0.108577829451,2,2
LK5-F01,0.029027435,-0.106678435367,2,2
LK3-H08,-0.066259295,-0.0979671713332,2,2
LK2-B05,0.038236482,-0.07834489783649999,2,2
LK1-A06,0.031765912,-0.113553137525,2,2
LK2-F07,-0.012979132,-0.09213424616080003,2,2
LK4-H10,-0.01690951,-0.0638978489112,2,2
LK3-H06,0.010126796,-0.0862760469534,2,2
LK5-A03,0.030986837000000007,-0.152983626334,2,2
LK5-D03,0.072367787,-0.0964797069167,2,2
LK5-F07,0.057171065,-0.09567794737,2,2
LK6-A05,0.006446217,-0.07118114325830001,2,2
LK3-G11,-0.041289604,-0.0802657647912,2,2
LK4-E01,0.007107061,-0.0965961702782,2,2
LK4-C08,-0.024730103,-0.121324720935,2,2
LK1-C07,0.00115568,-0.07498667397589999,2,2
LK1-C06,0.078083465,-0.0870200872328,2,2
LK3-D09,-0.077437477,-0.0797090448993,2,2
LK1-G09,-0.110538363,-0.0740736941295,2,2
LK2-D09,-0.04650311,-0.06080178053840001,2,2
LK3-A01,0.019923344,-0.149921665521,2,2
LK1-G03,0.044068065,-0.110026245032,2,2
LK2-A01,-0.003379405,-0.079317010384,2,2
