Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,0.0010101036444,2,2
LK3-G08,0.093805708,-0.000244420776777,2,2
LK2-G07,-0.019194571,0.0029867004479200003,2,2
LK4-A04,0.036559047,-0.00286544086241,2,2
LK4-H03,0.02296139,0.0014037152768,2,2
LK4-D11,-0.060829465,0.00370738979724,2,2
LK3-E06,0.032744933,0.0016465963916199998,2,2
LK1-D10,-0.037986439,-0.007174003547900001,2,2
LK1-D12,-0.057403752,0.00192068971737,2,2
LK6-C05,-0.059662381,0.0017307573775899995,2,2
LK4-C09,-0.087799295,0.00107654180719,2,2
LK5-C04,0.054950025,-0.00134233604029,2,2
LK1-B03,-0.061280442,0.0006410339028709999,2,2
LK3-A05,-0.033288214,0.00195187782,2,2
LK4-B03,-0.037788014,0.00217532444831,2,2
LK5-B06,-0.068915324,0.00494047160535,2,2
LK1-D08,-0.008491259000000001,0.000980403563116,2,2
LK5-H12,-0.023919485,0.00111784265009,2,2
LK1-E01,-0.043467154,0.00219648485437,2,2
LK3-D08,0.023624539,-0.000240488895669,2,2
LK4-B08,-0.063909414,0.00170021554792,2,2
LK6-B07,-0.016711953,-0.000152367016396,2,2
LK6-F03,-0.109289121,-0.0011630571373699998,2,2
LK6-B05,-0.006164366,-0.0014203076863,2,2
LK6-E02,-0.107711445,0.0017068032723699998,2,2
LK2-A11,-0.12701237599999998,0.0008950497671960002,2,2
LK5-H02,-0.034306781,0.0014462611070399998,2,2
LK6-A10,-0.087805455,0.00308781914923,2,2
LK3-D01,0.066184564,-0.00058514729379,2,2
LK3-G02,-0.021250726,-0.00080233809747,2,2
LK5-G03,-0.061380255,0.00402915970852,2,2
LK1-F05,0.046509142,0.000203373182779,2,2
LK4-H12,-0.062143255,8.74618235821e-05,2,2
LK6-B10,0.029777903,0.00477841188294,2,2
LK6-D05,-0.043812384,0.00124289081403,2,2
LK1-A02,0.074568945,0.0012326435829400002,2,2
LK5-F08,0.015046178,-0.00393347105263,2,2
LK5-H08,-0.000319424,0.0017384461686500007,2,2
LK6-B09,-0.06491301099999999,0.0002666642423,2,2
LK4-D02,-0.026555348,0.0008264172858599999,2,2
LK5-C01,-0.035507118,0.00531247926892,2,2
LK5-B01,-0.069096858,0.00144360446801,2,2
LK5-F10,-0.092640198,0.0015207945988399995,2,2
LK5-C03,-0.034896086,5.57700878384e-05,2,2
LK2-F11,0.035349227000000004,-0.00029897752996,2,2
LK6-A09,-0.118694117,0.0016603702023,2,2
LK6-E04,-0.042724455,0.00263863699342,2,2
LK3-C04,-0.021324099,-0.000990679654938,2,2
LK1-B08,-0.092333836,0.0008743157559780001,2,2
LK4-B07,0.051667858,0.000236443940509,2,2
LK3-H03,-0.049118176,-0.000323861093876,2,2
LK6-D06,-0.063374275,0.00152926380263,2,2
LK2-C09,-0.029181055,-0.00175198665477,2,2
LK4-B01,-0.060980824,0.001572040736,2,2
LK4-B06,-0.0073895240000000015,0.000630294800551,2,2
LK4-G05,-0.078376922,0.00407662639446,2,2
LK3-B02,-0.061936905999999986,0.0007248854921240001,2,2
LK3-G10,-0.05011661,0.0027043359308200005,2,2
LK5-E09,-0.014933995,-0.000914725323034,2,2
LK2-C05,-0.072951481,0.000337103843899,2,2
LK5-H07,-0.016148315,-0.00226280340238,2,2
LK1-E09,0.00130607,0.000231805810628,2,2
LK5-D04,-0.008201942,-0.0006101835093099999,2,2
LK2-E12,-0.003211055,0.00118913405836,2,2
LK3-B10,0.060567274,-0.0005715038979520001,2,2
LK5-D05,0.039769121,0.000417577346974,2,2
LK5-C11,-0.07890419900000001,-0.000375738486845,2,2
LK2-F04,0.06440686799999999,-0.0012115179529,2,2
LK1-C09,0.097834819,0.00549245224883,2,2
LK3-B03,0.020432307,0.000770195587905,2,2
LK6-D07,-0.067901009,0.00171464508433,2,2
LK1-G11,0.02621332,0.00256175156315,2,2
LK1-B04,-0.09425094,0.00191345253334,2,2
LK1-E04,0.010654118,-0.000944931988186,2,2
LK2-A12,-0.029611706,0.000368071379002,2,2
LK4-H11,-0.043349795,-0.000465717251298,2,2
LK4-A12,0.044940192,-0.00176633917809,2,2
LK1-A09,-0.063297996,-0.0028457137776300005,2,2
LK6-C11,0.079424925,-0.000122736486409,2,2
LK5-A07,0.022318946,0.0008205979665539999,2,2
LK6-A11,-0.101157306,0.00339428312466,2,2
