Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,-0.0193156327683,1,0
LK3-G08,0.093805708,-0.07438695636689999,0,0
LK4-A04,0.036559047,-0.0194501137774,0,0
LK4-H03,0.02296139,-0.0172030752065,1,0
LK4-D11,-0.060829465,-0.0307709518507,1,1
LK3-E06,0.032744933,-0.0530217075224,0,0
LK1-D10,-0.037986439,-0.06874392744880001,1,1
LK1-D12,-0.057403752,-0.0146003348586,1,1
LK6-C05,-0.059662381,-0.0324002321475,1,1
LK4-C09,-0.087799295,-0.00378201702772,1,1
LK5-C04,0.054950025,-0.16386044247,0,1
LK1-B03,-0.061280442,-0.00324969919785,1,1
LK4-B03,-0.037788014,-0.015401951614,1,0
LK5-B06,-0.068915324,0.00927963437244,1,0
LK5-H12,-0.023919485,-0.004245086049320001,1,0
LK1-E01,-0.043467154,-0.0170124673174,1,1
LK3-D08,0.023624539,-0.141850137998,0,1
LK4-B08,-0.063909414,-0.007721686864100002,1,0
LK6-B07,-0.016711953,-0.00157002069923,1,0
LK6-F03,-0.109289121,-0.0368352907144,1,0
LK6-B05,-0.006164366,-0.08111669154210001,0,1
LK6-E02,-0.107711445,0.00761227842905,1,1
LK2-A11,-0.12701237599999998,-0.00727779697907,1,1
LK5-H02,-0.034306781,-0.0165069266921,1,0
LK6-A10,-0.087805455,-8.720151899099999e-05,1,0
LK3-D01,0.066184564,-0.138834006623,0,1
LK3-G02,-0.021250726,-0.0216631955473,0,0
LK5-G03,-0.061380255,0.0172880200399,1,0
LK1-F05,0.046509142,-0.0281380075238,0,0
LK4-H12,-0.062143255,-0.0159980167634,1,0
LK6-B10,0.029777903,-0.0543346381674,0,0
LK6-D05,-0.043812384,-0.0011412389623599998,1,0
LK5-H08,-0.000319424,-0.111570726781,0,1
LK6-B09,-0.06491301099999999,-0.0292749655953,1,1
LK4-D02,-0.026555348,-0.0812813534868,1,1
LK5-C01,-0.035507118,-0.0251021943189,1,1
LK5-B01,-0.069096858,-0.025979686823400003,1,0
LK5-F10,-0.092640198,-0.0453516834381,1,1
LK5-C03,-0.034896086,-0.0905120821284,1,1
LK2-F11,0.035349227000000004,-0.0546351142252,0,0
LK6-A09,-0.118694117,0.0169285802708,1,0
LK6-E04,-0.042724455,-0.00751758175792,1,0
LK1-B08,-0.092333836,-0.00515024583946,1,1
LK4-B07,0.051667858,-0.0207373123853,0,0
LK3-H03,-0.049118176,-0.0396942875104,1,1
LK6-D06,-0.063374275,-0.00993606378493,1,1
LK2-C09,-0.029181055,-0.0230886383595,1,0
LK4-B01,-0.060980824,-0.00940081634456,1,0
LK4-B06,-0.0073895240000000015,-0.0304575905076,0,0
LK4-G05,-0.078376922,-0.00868899176701,1,1
LK3-B02,-0.061936905999999986,-0.011773592650899998,1,1
LK3-G10,-0.05011661,0.01505762813,1,1
LK5-E09,-0.014933995,-0.08208524456989999,1,1
LK2-C05,-0.072951481,-0.0090470205697,1,0
LK5-H07,-0.016148315,0.00142515506074,1,0
LK1-E09,0.00130607,-0.137532294637,0,1
LK5-D04,-0.008201942,-0.0260006930412,0,0
LK2-E12,-0.003211055,-0.0904222592917,0,1
LK3-B10,0.060567274,-0.0385859743668,0,0
LK5-D05,0.039769121,-0.0799083663009,0,1
LK5-C11,-0.07890419900000001,-0.0118866206189,1,0
LK2-F04,0.06440686799999999,-0.145409907821,0,1
LK1-C09,0.097834819,-0.0288016488238,0,0
LK3-B03,0.020432307,-0.0111034459617,0,0
LK6-D07,-0.067901009,-0.00171298760119,1,1
LK1-G11,0.02621332,-0.0146442115708,0,0
LK1-B04,-0.09425094,-0.0155857167797,1,0
LK1-E04,0.010654118,-0.136047554864,0,1
LK2-A12,-0.029611706,-0.00480545223507,1,0
LK4-H11,-0.043349795,-0.0256287981873,1,1
LK4-A12,0.044940192,-0.15429985234000002,0,1
LK1-A09,-0.063297996,-0.021358114176,1,1
LK6-C11,0.079424925,-0.0587242313413,0,0
LK5-A07,0.022318946,-0.145522805583,0,1
LK6-A11,-0.101157306,0.00291189569307,1,1
LK5-D09,0.003683436,0.0302430155921,0,0
LK5-G09,0.000908654,-0.0590434334179,0,1
LK1-G08,-0.076569198,-0.0198865461807,1,0
LK4-B12,-0.022692414,-0.007030963598720001,1,1
LK5-A04,0.032954446,-0.121842710016,0,1
