Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,-0.0344397046397,1,1
LK3-G08,0.093805708,-0.0779208536487,0,1
LK2-G07,-0.019194571,-0.033449678182700004,0,1
LK4-A04,0.036559047,-0.0482623244566,0,1
LK4-H03,0.02296139,-0.03501148208,0,0
LK4-D11,-0.060829465,-0.0027110058659699995,1,1
LK3-E06,0.032744933,-0.0159501512654,0,1
LK1-D10,-0.037986439,-0.0280641747459,1,1
LK1-D12,-0.057403752,-0.00571637226791,1,0
LK6-C05,-0.059662381,-0.0031907445273,1,1
LK4-C09,-0.087799295,-0.0015661321878,1,1
LK5-C04,0.054950025,-0.0833376991395,0,1
LK1-B03,-0.061280442,-0.0106342898216,1,1
LK3-A05,-0.033288214,-0.024882489304200003,0,0
LK4-B03,-0.037788014,-0.0293877226448,1,1
LK5-B06,-0.068915324,0.00784879102616,1,0
LK1-D08,-0.008491259000000001,-0.0401398972857,0,1
LK5-H12,-0.023919485,-0.0129946273033,1,1
LK1-E01,-0.043467154,-0.0165443777284,1,1
LK3-D08,0.023624539,-0.0292869439192,0,1
LK4-B08,-0.063909414,-0.0123008160544,1,1
LK6-B07,-0.016711953,-0.031326887601,1,1
LK6-F03,-0.109289121,-0.0177885352367,1,1
LK6-B05,-0.006164366,-0.0479490657685,0,1
LK6-E02,-0.107711445,-0.00178302373403,1,0
LK2-A11,-0.12701237599999998,-0.0149632728022,1,1
LK5-H02,-0.034306781,-0.00947619377163,1,1
LK6-A10,-0.087805455,-0.00300123152025,1,0
LK3-D01,0.066184564,-0.0317131349979,0,0
LK3-G02,-0.021250726,-0.0271071991376,0,0
LK5-G03,-0.061380255,-0.0125208014511,1,1
LK1-F05,0.046509142,-0.0456870223132,0,1
LK4-H12,-0.062143255,-0.00789824054822,1,0
LK6-B10,0.029777903,-0.040426305549,0,1
LK6-D05,-0.043812384,-0.00260856631383,1,1
LK1-A02,0.074568945,-0.0419224765894,0,0
LK5-F08,0.015046178,-0.0430345817218,0,1
LK5-H08,-0.000319424,0.00292851589658,0,0
LK6-B09,-0.06491301099999999,-0.0100846661796,1,1
LK4-D02,-0.026555348,0.00144391525431,1,0
LK5-C01,-0.035507118,-0.00894354007528,1,1
LK5-B01,-0.069096858,-0.0006925591737869999,1,1
LK5-F10,-0.092640198,-0.006874278670420001,1,0
LK5-C03,-0.034896086,-0.010587786327,1,1
LK2-F11,0.035349227000000004,-0.0375328815683,0,1
LK6-A09,-0.118694117,0.0137189822859,1,0
LK3-C04,-0.021324099,-0.04396302142,0,1
LK1-B08,-0.092333836,-0.0186809865281,1,1
LK3-H03,-0.049118176,-0.000963106878855,1,1
LK6-D06,-0.063374275,-0.00928978039693,1,1
LK2-C09,-0.029181055,-0.0014932518902,1,0
LK4-B01,-0.060980824,-0.00102420260117,1,1
LK4-B06,-0.0073895240000000015,-0.116985736462,0,1
LK4-G05,-0.078376922,0.00591751812226,1,0
LK3-B02,-0.061936905999999986,-0.0123180975748,1,0
LK3-G10,-0.05011661,-0.009185696014340002,1,1
LK5-E09,-0.014933995,-0.00984339023083,1,0
LK2-C05,-0.072951481,-0.00233616038052,1,1
LK5-H07,-0.016148315,-0.000675758200261,1,0
LK1-E09,0.00130607,-0.0487787092909,0,1
LK5-D04,-0.008201942,-0.0482600930459,0,1
LK2-E12,-0.003211055,-0.024422026388,0,1
LK3-B10,0.060567274,-0.0304835039085,0,0
LK5-D05,0.039769121,-0.0288359393987,0,1
LK5-C11,-0.07890419900000001,-0.0339673136404,1,1
LK2-F04,0.06440686799999999,-0.017769239072400002,0,0
LK1-C09,0.097834819,-0.0407378488155,0,0
LK3-B03,0.020432307,-0.031701556383099995,0,0
LK6-D07,-0.067901009,-0.018507823175400003,1,1
LK1-G11,0.02621332,-0.024532608377,0,0
LK1-B04,-0.09425094,0.000150494128094,1,0
LK1-E04,0.010654118,-0.0456428208257,0,1
LK2-A12,-0.029611706,-0.0187735255752,1,0
LK4-H11,-0.043349795,-0.0438665951484,1,1
LK4-A12,0.044940192,-0.023898341624,0,0
LK1-A09,-0.063297996,-0.0170636432464,1,1
LK6-C11,0.079424925,-0.046170736146800014,0,1
LK5-A07,0.022318946,-0.0245878454387,0,0
LK6-A11,-0.101157306,0.00017569216432499998,1,0
LK5-D09,0.003683436,0.010447354398,0,0
LK5-G09,0.000908654,-0.0567470190467,0,1
LK1-G08,-0.076569198,-0.00889202693686,1,1
LK4-B12,-0.022692414,-0.0008878628390630002,1,0
LK5-A04,0.032954446,-0.0463748018091,0,1
LK3-C12,0.004518577,-0.0355964626413,0,0
LK2-B07,-0.00378999,-0.0380018328976,0,1
LK3-H10,0.004132024000000001,-0.027322031181,0,0
LK4-G09,-0.050985005,-0.0165072104229,1,1
LK3-B08,0.001601827,-0.0242625040653,0,1
LK1-H04,-0.07081425599999999,-0.0163971471502,1,1
LK2-A07,0.005623133000000001,0.000797145506855,1,0
LK5-E08,-0.06663271,-0.0340731562465,0,0
LK3-F06,-0.125231999,-0.015369573082700002,1,1
LK3-C08,0.080039068,-0.029208641589,0,1
LK4-B05,-0.055145456,-0.0195438004693,1,1
LK2-A10,-0.06981008799999999,-0.0154831321515,1,1
LK4-E03,0.013554151,-0.051827574158500006,0,1
LK1-A05,0.07181288400000001,-0.0151463302866,0,0
LK4-D01,0.011072576,-0.0652964144308,0,1
LK6-A03,-0.071606045,-0.0101855135007,1,1
LK2-E07,0.021067245,-0.0267932574002,0,0
LK5-G01,-0.097400427,-0.0101293302264,1,1
LK3-B11,-0.030885663,-0.0125956649392,1,0
LK3-F10,0.031324745,-0.0443360551793,0,1
LK5-A05,0.006670793,-0.0498318142401,0,1
LK3-H11,-0.037647523,-0.0016921344926300002,1,0
LK6-C12,0.049026118,-0.0284776249715,0,0
LK5-B07,-0.12667103400000002,-0.0253426617337,1,1
LK3-B12,-0.069789932,-0.00357698424245,1,0
LK1-B01,0.007985589,-0.0470847249482,0,1
LK1-B05,-0.051014885,-0.0147425569464,1,1
LK3-C11,-0.024302582000000003,0.0016259539090199998,1,1
LK3-G01,0.001125763,-0.0636259630047,0,1
LK5-F01,0.029027435,-0.028449890309,0,0
LK3-H08,-0.066259295,-0.0046012840551,1,0
LK2-B05,0.038236482,-0.0298331559779,0,0
LK2-B04,0.068553692,-0.0287195661939,0,0
LK3-D05,-0.097416376,-0.017357703275900003,1,1
LK5-B05,-0.068647456,-0.00845710029255,1,0
LK6-A07,-0.043732835,-0.0458616993184,0,1
LK1-A06,0.031765912,-0.0326758138444,0,0
LK2-A05,-0.07650302099999999,-0.0061914968594,1,0
LK2-F07,-0.012979132,-0.021042881773,0,0
LK4-H10,-0.01690951,-0.0327321321715,0,1
LK3-H06,0.010126796,-0.0349645310486,0,0
LK5-F03,-0.061319714,-0.00887810053091,1,1
LK5-E01,-0.08983357800000001,-0.0190532896691,1,1
LK5-A03,0.030986837000000007,-0.0290031697316,0,0
LK5-D03,0.072367787,-0.050334513915300014,0,1
LK1-G12,-0.066683388,-0.0192394820149,1,1
LK5-F07,0.057171065,-0.034566697935,0,1
LK4-C10,-0.045171086,-0.035246049618800006,1,1
LK2-A06,-0.08736029599999999,0.00738845421343,1,0
LK6-A05,0.006446217,-0.0211013501891,0,0
LK3-G11,-0.041289604,-0.0029270207088899994,1,0
LK3-C09,-0.003210792,-0.00766352024896,1,0
LK5-D08,0.032239849,-0.014201171323,1,1
LK4-E01,0.007107061,0.00741929032477,1,0
LK1-D02,-0.03975231,0.000732964164511,1,1
LK6-C02,-0.010438455,-0.0271463854943,1,1
LK2-E08,-0.01185898,0.005862287286520001,1,1
LK3-A07,-0.008287901,-0.0240966036587,0,1
LK3-H05,0.017018613000000002,-0.0391730505807,0,1
LK2-D07,-0.009147778,-0.0134709916879,1,1
LK4-C08,-0.024730103,-0.0112976064071,1,0
LK1-C07,0.00115568,-0.0559380174941,0,1
LK1-C06,0.078083465,-0.0242697492515,0,0
LK3-D09,-0.077437477,-0.0071916924591199985,1,1
LK1-G09,-0.110538363,-0.0209948073381,1,1
LK2-D09,-0.04650311,-0.0100709368762,1,0
LK1-D06,-0.060605349,-0.00365089387854,1,0
LK3-A01,0.019923344,-0.0342341765,0,1
LK2-D05,-0.040989887,-0.00195292046836,1,1
LK1-C11,0.03763259,-0.0384502378455,0,0
LK1-G03,0.044068065,-0.0308773819061,0,0
LK3-D04,-0.058895829,-0.00787016456303,1,0
LK3-C06,0.010954336,-0.02630310644,0,1
LK2-A01,-0.003379405,-0.0385736717696,0,0
LK2-G10,-0.005487313000000001,-0.00605261414644,1,0
