Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,0.0131455928252,1,2
LK3-G08,0.093805708,-0.00665462602296,0,2
LK2-G07,-0.019194571,0.006123604305949999,0,2
LK4-D11,-0.060829465,0.0151218475678,1,2
LK3-E06,0.032744933,-0.0078069773916499986,0,2
LK1-D12,-0.057403752,0.0164461790304,1,2
LK6-C05,-0.059662381,0.00939523427903,1,2
LK4-C09,-0.087799295,0.0125284663367,1,2
LK5-C04,0.054950025,-0.00591372048695,0,2
LK1-B03,-0.061280442,0.00788713407159,1,2
LK3-A05,-0.033288214,0.00408425661867,0,2
LK4-B03,-0.037788014,-0.00100205503058,1,2
LK5-B06,-0.068915324,0.00785670187185,1,2
LK1-D08,-0.008491259000000001,-0.00312212643329,0,2
LK5-H12,-0.023919485,-0.00020376068889500006,1,2
LK1-E01,-0.043467154,0.0111451594,1,2
LK3-D08,0.023624539,-0.0024684616519,0,2
LK4-B08,-0.063909414,0.00687175049229,1,2
LK6-B07,-0.016711953,0.00762311084463,1,2
LK6-F03,-0.109289121,0.0140849202454,1,2
LK6-B05,-0.006164366,-0.004334765879020001,0,2
LK6-E02,-0.107711445,0.0183121705221,1,2
LK2-A11,-0.12701237599999998,0.0144804563871,1,2
LK5-H02,-0.034306781,0.00469589162366,1,2
LK6-A10,-0.087805455,0.013307536924999998,1,2
LK3-D01,0.066184564,-0.0101812795989,0,2
LK3-G02,-0.021250726,-0.00100343741719,0,2
LK5-G03,-0.061380255,-0.0259374267939,1,2
LK1-F05,0.046509142,-0.00415135573261,0,2
LK4-H12,-0.062143255,0.006640569757399999,1,2
LK6-B10,0.029777903,0.004675603044699999,0,2
LK6-D05,-0.043812384,0.0102029702184,1,2
LK1-A02,0.074568945,-0.00990640900864,0,2
LK5-F08,0.015046178,-0.0180985654822,0,2
LK6-B09,-0.06491301099999999,0.0129929066485,1,2
LK5-C01,-0.035507118,0.00414490048424,1,2
LK5-B01,-0.069096858,0.0132707791759,1,2
LK5-F10,-0.092640198,0.0103204801547,1,2
LK5-C03,-0.034896086,0.0046708905098,1,2
LK6-A09,-0.118694117,0.0271647692166,1,2
LK3-C04,-0.021324099,-0.049197757576400006,0,2
LK1-B08,-0.092333836,0.008179811830760001,1,2
LK6-D06,-0.063374275,0.015787231084200003,1,2
LK2-C09,-0.029181055,0.00917576993957,1,2
LK4-B01,-0.060980824,0.0035891897016,1,2
LK3-B02,-0.061936905999999986,0.005029915520739999,1,2
LK3-G10,-0.05011661,0.0156541939633,1,2
LK5-E09,-0.014933995,0.00091470112153,1,2
LK2-C05,-0.072951481,0.013443958548,1,2
LK5-H07,-0.016148315,0.00933563954803,1,2
LK1-E09,0.00130607,-0.0127092142847,0,2
LK5-D04,-0.008201942,-0.007140871996810002,0,2
LK2-E12,-0.003211055,-0.00939435508644,0,2
LK3-B10,0.060567274,-0.00919225809242,0,2
LK5-D05,0.039769121,-0.007056671308149998,0,2
LK5-C11,-0.07890419900000001,0.00915948349469,1,2
LK2-F04,0.06440686799999999,-0.0188398486524,0,2
LK1-C09,0.097834819,-0.00376860001305,0,2
LK6-D07,-0.067901009,0.008752372411149999,1,2
LK1-G11,0.02621332,-0.0016412239899,0,2
LK1-B04,-0.09425094,-0.0004298942529160001,1,2
LK1-E04,0.010654118,-0.00510355102131,0,2
LK2-A12,-0.029611706,0.006242101352,1,2
