Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK3-G08,0.093805708,-0.08106175327439999,1,1
LK2-G07,-0.019194571,-0.010533082409,1,0
LK4-H03,0.02296139,-0.0328253914672,1,0
LK3-E06,0.032744933,-0.0118043950755,0,1
LK6-C05,-0.059662381,-0.0454088417759,1,0
LK5-C04,0.054950025,-0.0235970572031,1,1
LK1-B03,-0.061280442,-0.127902901049,1,0
LK3-A05,-0.033288214,-0.0115045634008,0,0
LK4-B03,-0.037788014,-0.005447814782,1,1
LK1-D08,-0.008491259000000001,-0.0661938381862,1,0
LK5-H12,-0.023919485,-0.027204293015900004,1,0
LK3-D08,0.023624539,-0.017224343077700002,1,1
LK4-B08,-0.063909414,-0.0347624184334,1,0
LK6-B07,-0.016711953,-0.00913652765541,1,1
LK6-F03,-0.109289121,-0.0121433074028,0,1
LK6-B05,-0.006164366,-0.013715144650099998,0,0
LK2-A11,-0.12701237599999998,-0.0138091312739,1,1
LK5-H02,-0.034306781,-0.0113987099844,0,0
LK6-A10,-0.087805455,-0.009597947130950002,0,1
LK3-D01,0.066184564,-0.0534456312753,1,1
LK3-G02,-0.021250726,-0.0136453054052,0,1
LK5-G03,-0.061380255,-0.00845312728148,0,1
LK1-F05,0.046509142,-0.104964824531,1,0
LK4-H12,-0.062143255,-0.00713881348417,0,1
LK6-B10,0.029777903,-0.0782016990744,1,1
LK6-D05,-0.043812384,-0.0520227465547,0,0
LK1-A02,0.074568945,-0.0125521119456,1,1
LK5-F08,0.015046178,-0.0247460739502,1,1
LK5-H08,-0.000319424,-0.045946387058,1,0
LK6-B09,-0.06491301099999999,-0.0417684968731,0,1
LK4-D02,-0.026555348,-0.00843761329916,0,0
LK5-C01,-0.035507118,-0.013124335153700002,1,1
LK5-B01,-0.069096858,-0.0180741098665,0,1
LK5-F10,-0.092640198,-0.00588348539631,0,1
LK5-C03,-0.034896086,-0.0103856903088,1,1
LK2-F11,0.035349227000000004,-0.05424156699080001,1,1
LK6-A09,-0.118694117,-0.016943187271100002,0,0
LK6-E04,-0.042724455,-0.0301143244372,1,1
LK3-C04,-0.021324099,-0.0850498725255,1,1
LK1-B08,-0.092333836,-0.0198982930086,0,1
LK4-B07,0.051667858,-0.0190159865728,1,1
LK3-H03,-0.049118176,-0.00612220960853,0,0
LK6-D06,-0.063374275,-0.0110398835663,1,1
LK2-C09,-0.029181055,-0.0158215200746,1,1
LK4-B01,-0.060980824,-0.0608926723866,1,1
LK3-B02,-0.061936905999999986,-0.0196095513663,1,0
LK3-G10,-0.05011661,-0.124857658372,1,0
LK5-E09,-0.014933995,-0.08432560699160001,0,1
LK5-H07,-0.016148315,-0.0225837061417,0,0
LK1-E09,0.00130607,-0.016379693174999998,1,1
LK5-D04,-0.008201942,-0.0398454783905,0,0
LK2-E12,-0.003211055,-0.0318822057315,1,0
LK3-B10,0.060567274,-0.0302939744958,1,0
LK5-D05,0.039769121,-0.090402484825,0,0
LK5-C11,-0.07890419900000001,-0.010578921064,1,1
LK2-F04,0.06440686799999999,-0.00707335107008,0,0
LK1-C09,0.097834819,-0.0189701959486,1,1
LK3-B03,0.020432307,-0.0267926304771,1,1
LK6-D07,-0.067901009,-0.035527538558699986,0,0
LK1-G11,0.02621332,-0.013592460409799998,0,0
LK1-B04,-0.09425094,-0.0072998432198900015,1,1
LK2-A12,-0.029611706,-0.104827541675,1,0
LK4-H11,-0.043349795,-0.00741433830283,1,1
LK4-A12,0.044940192,-0.0411570947666,1,1
LK1-A09,-0.063297996,-0.0199857803048,0,1
LK6-C11,0.079424925,-0.00911023460219,0,1
LK6-A11,-0.101157306,-0.0082650726051,1,1
LK5-D09,0.003683436,-0.027427483056900005,1,1
LK5-G09,0.000908654,-0.00907781211171,0,1
LK1-G08,-0.076569198,-0.0297500539425,0,0
LK4-B12,-0.022692414,-0.0134646950217,0,1
LK5-A04,0.032954446,-0.0437876234823,0,0
LK2-B07,-0.00378999,-0.07136252488219999,1,0
LK4-G09,-0.050985005,-0.0208489137862,0,0
LK3-B08,0.001601827,-0.0238547283784,0,1
LK1-H04,-0.07081425599999999,-0.0170819750663,0,0
LK2-A07,0.005623133000000001,-0.0386249906614,0,0
LK3-F06,-0.125231999,-0.0005041833474659999,0,0
LK3-C08,0.080039068,-0.000698630765132,0,1
LK2-A10,-0.06981008799999999,-0.0352044728405,0,0
LK4-E03,0.013554151,-0.0646120733887,0,0
LK1-A05,0.07181288400000001,-0.0152947781242,0,0
LK4-D01,0.011072576,-0.0399005434156,1,0
LK6-A03,-0.071606045,-0.00911355316103,0,0
LK2-E07,0.021067245,-0.00763083680867,1,1
LK5-G01,-0.097400427,-0.00885799155779,0,0
LK3-F10,0.031324745,-0.0275722979537,1,1
LK3-H11,-0.037647523,-0.0287453129489,0,1
LK6-C12,0.049026118,-0.0200207269013,1,1
LK5-B07,-0.12667103400000002,-0.047446400834599986,1,1
LK3-B12,-0.069789932,-0.015871298968499998,0,0
LK1-B05,-0.051014885,-0.00942968391807,0,1
LK3-C11,-0.024302582000000003,-0.0744168923701,1,0
LK3-G01,0.001125763,-0.0389219384124,0,1
LK5-F01,0.029027435,-0.0102006716181,1,1
LK3-H08,-0.066259295,-0.015484227047600004,0,0
LK2-B05,0.038236482,-0.0113766007156,0,1
LK2-B04,0.068553692,-0.0352742619177,0,0
LK3-D05,-0.097416376,-0.0689155720483,1,0
LK6-A07,-0.043732835,-0.018081179752,1,1
LK2-A05,-0.07650302099999999,-0.0229303574673,1,0
LK2-F07,-0.012979132,-0.0371556301645,1,0
LK4-H10,-0.01690951,-0.0107902412048,1,1
LK3-H06,0.010126796,-0.0450680536558,1,1
LK5-F03,-0.061319714,-0.0503971587868,0,0
LK5-A03,0.030986837000000007,-0.0704998573385,1,1
LK5-D03,0.072367787,-0.0256119465835,1,1
LK1-G12,-0.066683388,-0.01772183759,0,0
LK5-F07,0.057171065,-0.0118360857985,1,1
LK4-C10,-0.045171086,-0.0010297356496,0,1
LK2-A06,-0.08736029599999999,-0.00575664581898,0,0
LK6-A05,0.006446217,-0.024974672225,0,0
LK3-G11,-0.041289604,-0.0416525619224,1,0
LK3-C09,-0.003210792,-0.138825582653,1,0
LK4-E01,0.007107061,-0.00773458446516,0,0
LK6-C02,-0.010438455,-0.048958247291400005,0,0
LK2-E08,-0.01185898,-0.0516048376135,1,0
LK3-H05,0.017018613000000002,-0.0381437046822,0,0
LK2-D07,-0.009147778,-0.0689794247623,1,0
LK4-C08,-0.024730103,-0.044623306383100005,1,1
LK1-C07,0.00115568,-0.0658602871389,0,0
LK1-C06,0.078083465,-0.011332033754,0,0
LK3-D09,-0.077437477,-0.0206900988401,0,1
LK2-D09,-0.04650311,-0.0395410179436,0,0
LK1-D06,-0.060605349,-0.0811283450078,1,0
LK3-A01,0.019923344,-0.0124912502072,1,1
LK2-D05,-0.040989887,-0.117084255265,1,1
LK1-C11,0.03763259,-0.195639714938,1,0
LK3-D04,-0.058895829,-0.0410672881863,0,1
LK3-C06,0.010954336,-0.0378225712695,0,0
LK2-A01,-0.003379405,-0.0322740852321,0,0
LK2-G10,-0.005487313000000001,-0.083839425944,1,0
