Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK1-D12,-0.057403752,-0.0113522314038,2,2
LK5-H02,-0.034306781,-0.0566896563124,2,2
LK5-B01,-0.069096858,-0.0222561217581,2,2
LK4-B01,-0.060980824,-0.0641003354252,2,2
LK5-C11,-0.07890419900000001,-0.0441491109035,2,2
LK1-B04,-0.09425094,-0.0649290497585,2,2
LK1-A09,-0.063297996,-0.0663667335633,2,2
LK3-F06,-0.125231999,-0.0193411872585,2,2
LK2-A10,-0.06981008799999999,-0.0164026578117,2,2
LK3-F10,0.031324745,-0.0595466376444,2,2
LK5-B07,-0.12667103400000002,-0.00264559116168,2,2
LK3-B12,-0.069789932,-0.07954654558939997,2,2
LK3-C11,-0.024302582000000003,-0.0585735702028,2,2
LK3-H08,-0.066259295,-0.0873607355091,2,2
LK1-G12,-0.066683388,-0.0386419763566,2,2
LK2-A06,-0.08736029599999999,-0.0652425483186,2,2
LK3-C09,-0.003210792,-0.0326399276842,2,2
LK3-D09,-0.077437477,-0.0347477402587,2,2
LK3-C06,0.010954336,-0.016410585906,2,2
