Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,0.0008604667470069999,1,2
LK3-G08,0.093805708,-0.0963882151438,0,2
LK2-G07,-0.019194571,0.0147586446384,0,2
LK4-A04,0.036559047,-0.00404031065816,0,2
LK4-H03,0.02296139,0.00328583425971,0,2
LK4-D11,-0.060829465,0.0160326887435,1,2
LK3-E06,0.032744933,0.00416199100532,0,2
LK1-D10,-0.037986439,-0.0206622646307,1,2
LK1-D12,-0.057403752,0.0155979317048,1,2
LK6-C05,-0.059662381,0.0108225022532,1,2
LK4-C09,-0.087799295,0.004512242223779999,1,2
LK5-C04,0.054950025,-0.0029553972163000003,0,2
LK1-B03,-0.061280442,0.0178733623374,1,2
LK3-A05,-0.033288214,0.00460426797526,0,2
LK4-B03,-0.037788014,0.00903097254064,1,2
LK5-B06,-0.068915324,0.027739883059,1,2
LK1-D08,-0.008491259000000001,0.012309722898799998,0,2
LK5-H12,-0.023919485,-0.00117631523982,1,2
LK1-E01,-0.043467154,0.0156235003695,1,2
LK3-D08,0.023624539,0.0188719690967,0,2
LK4-B08,-0.063909414,0.00845875968195,1,2
LK6-B07,-0.016711953,0.0050903399318,1,2
LK6-F03,-0.109289121,0.0138064312051,1,2
LK6-B05,-0.006164366,-0.00116326331143,0,2
LK6-E02,-0.107711445,0.011642846644600002,1,2
LK2-A11,-0.12701237599999998,0.006695334108439999,1,2
LK5-H02,-0.034306781,0.00396849686206,1,2
LK6-A10,-0.087805455,0.0142988894159,1,2
LK3-D01,0.066184564,0.00468367901247,0,2
LK3-G02,-0.021250726,0.0132646138125,1,2
LK5-G03,-0.061380255,0.0226360521242,1,2
LK1-F05,0.046509142,-0.083556641692,0,2
LK4-H12,-0.062143255,0.0181551900696,1,2
LK6-B10,0.029777903,0.007124404034729998,0,2
LK6-D05,-0.043812384,0.008994765277840001,1,2
LK1-A02,0.074568945,-0.0211159146046,0,2
LK5-F08,0.015046178,-0.00121883113938,0,2
LK5-H08,-0.000319424,0.030903841412,0,2
LK6-B09,-0.06491301099999999,0.0177574114109,1,2
LK4-D02,-0.026555348,0.0059144653577,1,2
LK5-C01,-0.035507118,0.00714488604863,1,2
LK5-B01,-0.069096858,0.00659041959621,1,2
LK5-F10,-0.092640198,0.0113641268417,1,2
LK5-C03,-0.034896086,0.004892243047770001,1,2
LK2-F11,0.035349227000000004,-0.023542422433,0,2
LK6-A09,-0.118694117,0.0449223742536,1,2
LK6-E04,-0.042724455,0.00405854986221,1,2
LK3-C04,-0.021324099,-0.00996521179186,0,2
LK1-B08,-0.092333836,0.0161504234464,1,2
LK4-B07,0.051667858,0.00437355721522,0,2
LK3-H03,-0.049118176,0.0120526867623,1,2
LK6-D06,-0.063374275,0.015075306648600004,1,2
LK2-C09,-0.029181055,0.0225304492898,1,2
LK4-B01,-0.060980824,0.0178765189165,1,2
LK4-B06,-0.0073895240000000015,0.012118892822200002,0,2
LK4-G05,-0.078376922,0.017475944221400003,1,2
LK3-B02,-0.061936905999999986,0.004851098935250001,1,2
LK3-G10,-0.05011661,0.010313553259,1,2
LK5-E09,-0.014933995,0.0060388800707,1,2
LK2-C05,-0.072951481,0.00338567983076,1,2
LK5-H07,-0.016148315,0.012230902402700002,1,2
LK1-E09,0.00130607,-0.0152911186261,0,2
LK5-D04,-0.008201942,0.00571446336555,0,2
LK2-E12,-0.003211055,0.012767513544,0,2
LK3-B10,0.060567274,-0.017058736828700002,0,2
LK5-D05,0.039769121,0.00207019589442,0,2
LK5-C11,-0.07890419900000001,0.00914521247891,1,2
LK2-F04,0.06440686799999999,-0.00476228040962,0,2
LK1-C09,0.097834819,-0.0176649265899,0,2
LK3-B03,0.020432307,0.009723098912879998,0,2
LK6-D07,-0.067901009,0.0067670308178,1,2
LK1-G11,0.02621332,0.00101125170001,0,2
LK1-B04,-0.09425094,0.014513601851600003,1,2
LK1-E04,0.010654118,0.015195797259500004,0,2
LK2-A12,-0.029611706,-0.007879336867850001,1,2
LK4-H11,-0.043349795,0.0216915403458,1,2
LK4-A12,0.044940192,-0.0020185598707,0,2
LK1-A09,-0.063297996,0.0033739408256100003,1,2
LK6-C11,0.079424925,-0.0087815392921,0,2
LK5-A07,0.022318946,-0.005254937938529999,0,2
LK6-A11,-0.101157306,0.0181313159298,1,2
LK5-D09,0.003683436,0.0568706410585,0,2
LK5-G09,0.000908654,0.00725204353156,0,2
LK1-G08,-0.076569198,0.00729008854923,1,2
LK4-B12,-0.022692414,0.0144744857065,1,2
LK5-A04,0.032954446,-0.002699602963,0,2
LK3-C12,0.004518577,-0.00508247640167,0,2
LK2-B07,-0.00378999,-0.00486493365983,0,2
LK3-H10,0.004132024000000001,-0.000428165958318,0,2
LK4-G09,-0.050985005,0.0106252068108,1,2
LK3-B08,0.001601827,-0.00443687252903,0,2
LK1-H04,-0.07081425599999999,0.00996615743887,1,2
LK2-A07,0.005623133000000001,0.0125139009664,1,2
LK5-E08,-0.06663271,-0.00415426358849,0,2
LK3-F06,-0.125231999,0.014989093312799996,1,2
