Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,-0.0103027286694,1,1
LK3-G08,0.093805708,-0.00871520000567,0,1
LK2-G07,-0.019194571,-0.0101462613686,0,0
LK4-H03,0.02296139,-0.0187605638688,0,0
LK4-D11,-0.060829465,0.0055497297349200005,1,1
LK3-E06,0.032744933,-0.011369355115,0,0
LK1-D12,-0.057403752,-0.00111212163522,1,1
LK6-C05,-0.059662381,0.00530897162329,1,1
LK4-C09,-0.087799295,-0.006063086880859999,0,0
LK5-C04,0.054950025,-0.0149890300207,0,0
LK1-B03,-0.061280442,0.000609299698434,1,1
LK3-A05,-0.033288214,-0.0193492845062,0,1
LK4-B03,-0.037788014,-0.010598017847,1,0
LK5-B06,-0.068915324,-0.0279507419015,0,0
LK1-D08,-0.008491259000000001,-0.0187861848626,0,0
LK5-H12,-0.023919485,-0.00855151471528,1,0
LK1-E01,-0.043467154,-0.00663912081308,1,1
LK3-D08,0.023624539,-0.0112909764706,0,0
LK4-B08,-0.063909414,-0.00850728390974,1,1
LK6-B07,-0.016711953,-0.00650438946068,1,1
LK6-F03,-0.109289121,-0.00268755550358,1,0
LK6-B05,-0.006164366,-0.0155101933778,0,0
LK6-E02,-0.107711445,0.00491170277462,1,0
LK2-A11,-0.12701237599999998,-0.0008304334003400001,1,0
LK5-H02,-0.034306781,0.00719135721991,1,1
LK6-A10,-0.087805455,-0.0077610413793,1,1
LK3-D01,0.066184564,-0.0120852284795,0,0
LK3-G02,-0.021250726,-0.0160368340087,1,0
LK5-G03,-0.061380255,-0.0008608175234939999,1,0
LK1-F05,0.046509142,-0.0155635512616,0,0
LK4-H12,-0.062143255,0.0026641605706900005,1,1
LK6-D05,-0.043812384,0.00219329947257,1,1
LK1-A02,0.074568945,-0.0261752686418,0,1
LK5-F08,0.015046178,-0.0157600696389,0,0
LK6-B09,-0.06491301099999999,0.00391518371796,1,1
LK4-D02,-0.026555348,-0.00914802449852,1,1
LK5-C01,-0.035507118,-0.0183019263306,1,1
LK5-B01,-0.069096858,-0.000171124067549,1,1
LK5-F10,-0.092640198,-0.00149074042734,1,0
LK5-C03,-0.034896086,-0.00662280038255,0,0
LK6-A09,-0.118694117,0.0141443762867,1,0
LK3-C04,-0.021324099,-0.014488741416799997,0,0
LK1-B08,-0.092333836,0.00104355527146,1,0
LK3-H03,-0.049118176,-0.0034191357573000003,1,1
LK6-D06,-0.063374275,0.00501108660004,1,1
LK2-C09,-0.029181055,0.00586644475113,1,1
LK4-B01,-0.060980824,-0.00721762000032,1,1
LK4-B06,-0.0073895240000000015,-0.017396845733000002,0,0
LK3-B02,-0.061936905999999986,-0.0059752439393000005,0,0
