Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK3-G08,0.093805708,-0.084672966007,0,1
LK4-H03,0.02296139,-0.0562033118197,0,1
LK4-D11,-0.060829465,-0.0155490032308,1,1
LK1-D12,-0.057403752,-0.00861336510113,1,0
LK6-C05,-0.059662381,-0.006803782175810001,1,0
LK4-C09,-0.087799295,-0.0268759601586,1,1
LK5-C04,0.054950025,-0.0484888373062,0,0
LK1-B03,-0.061280442,-0.0209502771156,1,0
LK3-D08,0.023624539,-0.0622490839202,0,1
LK4-B08,-0.063909414,-0.019993379969400003,1,0
LK6-B07,-0.016711953,-0.00945527469416,1,0
LK6-F03,-0.109289121,-0.0427802695446,1,1
LK6-E02,-0.107711445,-0.0181865281125,1,0
LK2-A11,-0.12701237599999998,-0.0104131807636,1,0
LK5-H02,-0.034306781,-0.0102928992411,1,1
LK3-G02,-0.021250726,-0.0590940717901,0,1
LK1-F05,0.046509142,-0.05821658849600001,0,1
LK4-H12,-0.062143255,-0.0274047002793,1,1
LK6-D05,-0.043812384,-0.00286979033739,1,0
LK5-C01,-0.035507118,-0.024530000320900004,1,0
LK5-B01,-0.069096858,-0.00474645709783,1,0
LK3-C04,-0.021324099,-0.047962858198300005,0,0
LK6-D06,-0.063374275,-0.0117474767909,1,0
LK4-B01,-0.060980824,-0.05805630231030001,1,1
LK4-G05,-0.078376922,-0.00111497957775,1,0
LK3-B02,-0.061936905999999986,-0.0328184058069,1,1
LK3-G10,-0.05011661,-0.0320697196453,1,0
LK5-E09,-0.014933995,-0.0212800881234,1,0
LK5-H07,-0.016148315,-0.0240869378524,1,0
LK5-D04,-0.008201942,-0.0382984958297,0,0
LK5-D05,0.039769121,-0.0586643577994,0,0
LK5-C11,-0.07890419900000001,-0.00250374702721,1,0
LK2-F04,0.06440686799999999,-0.0817598443983,0,0
LK1-C09,0.097834819,-0.0493590754528,0,0
LK6-D07,-0.067901009,-0.006332617456350001,1,0
LK1-G11,0.02621332,-0.067655615785,0,1
LK1-B04,-0.09425094,-0.0738803749856,1,1
LK2-A12,-0.029611706,-0.0435503566452,1,1
LK4-H11,-0.043349795,-0.0195307480159,1,0
LK4-A12,0.044940192,-0.0520017491488,0,0
LK5-A07,0.022318946,-0.0494420948731,0,1
LK6-A11,-0.101157306,-0.00170898965417,1,0
LK5-A04,0.032954446,-0.05936403639140001,0,1
LK3-C12,0.004518577,-0.0537615912446,0,0
LK2-B07,-0.00378999,-0.0773322784162,0,1
LK4-G09,-0.050985005,-0.0124764630697,1,0
LK3-B08,0.001601827,-0.04493802426,0,0
LK1-H04,-0.07081425599999999,-0.0294697767229,1,0
LK2-A07,0.005623133000000001,-0.0107450956744,1,0
LK5-E08,-0.06663271,-0.0538444637765,0,0
LK3-F06,-0.125231999,-0.0218177820775,1,0
LK4-B05,-0.055145456,-0.0277004533095,1,0
LK2-A10,-0.06981008799999999,-0.0047088767437,1,0
LK1-A05,0.07181288400000001,-0.0649792035801,0,1
LK6-A03,-0.071606045,0.00960878847925,1,0
LK5-G01,-0.097400427,0.00258110599568,1,0
LK3-B11,-0.030885663,-0.032498059171599994,1,0
LK3-F10,0.031324745,-0.033531430288400006,0,0
LK5-A05,0.006670793,-0.0560383837389,0,1
LK6-C12,0.049026118,-0.07610990015960001,0,1
LK5-B07,-0.12667103400000002,-0.0169973319621,1,0
LK1-B05,-0.051014885,-0.0148785502682,1,0
LK3-C11,-0.024302582000000003,-0.0409595814717,1,1
LK3-G01,0.001125763,-0.0700088985928,0,0
LK3-H08,-0.066259295,-0.032940798890400004,1,1
LK2-B05,0.038236482,-0.0536286496086,0,0
LK5-B05,-0.068647456,-0.0397422701475,1,1
LK1-A06,0.031765912,-0.0595741485167,0,0
LK2-A05,-0.07650302099999999,0.008011264615770002,1,0
LK2-F07,-0.012979132,-0.069461945878,0,0
LK3-H06,0.010126796,-0.0603386541046,0,1
LK5-F03,-0.061319714,-0.00238135502203,1,0
LK5-E01,-0.08983357800000001,-0.0157872928363,1,1
LK5-D03,0.072367787,-0.0748268161285,0,0
LK1-G12,-0.066683388,-0.0281318463125,1,0
LK5-F07,0.057171065,-0.06771065459919999,0,1
LK4-C10,-0.045171086,-0.0148144390689,1,0
LK2-A06,-0.08736029599999999,-0.00487228107344,1,0
LK3-C09,-0.003210792,-0.0334313170138,1,0
LK4-E01,0.007107061,-0.0327301137921,1,1
LK4-C08,-0.024730103,-0.0270686201017,1,1
LK3-D09,-0.077437477,0.00047559849068,1,0
LK1-G09,-0.110538363,-0.00877907029454,1,1
LK2-D09,-0.04650311,-0.0141860888299,1,1
LK3-A01,0.019923344,-0.0230944180183,0,0
LK2-D05,-0.040989887,-0.00347836374367,1,0
LK1-C11,0.03763259,-0.0681303262208,0,0
LK1-G03,0.044068065,-0.0464429063585,0,0
LK3-C06,0.010954336,-0.08556828531610003,0,0
