Segregant,Seg.Fitness,s,QTL1_state,QTL2_state
LK4-G06,0.017536443999999998,0.00111104974549,1,2
LK3-G08,0.093805708,-0.00859577082864,0,2
LK2-G07,-0.019194571,-0.00420584277562,0,2
LK4-A04,0.036559047,-0.00750144954761,0,2
LK4-H03,0.02296139,-0.00699442805104,0,2
LK4-D11,-0.060829465,-0.00584153121056,1,2
LK3-E06,0.032744933,-0.0132945638358,0,2
LK1-D10,-0.037986439,-0.009803338155120002,1,2
LK1-D12,-0.057403752,-0.00350670634222,1,2
LK6-C05,-0.059662381,-0.00404755365109,1,2
LK4-C09,-0.087799295,-0.0008945243334960002,1,2
LK5-C04,0.054950025,-0.010230448432,0,2
LK1-B03,-0.061280442,-0.00388639953386,1,2
LK3-A05,-0.033288214,-0.00988082189875,0,2
LK4-B03,-0.037788014,-0.00698153184836,1,2
LK5-B06,-0.068915324,-0.00200596081817,1,2
LK1-D08,-0.008491259000000001,-0.008354019828529999,0,2
LK5-H12,-0.023919485,-7.83654226644e-05,1,2
LK1-E01,-0.043467154,-0.0013559638263000002,1,2
LK4-B08,-0.063909414,-0.00219002379004,1,2
LK6-B07,-0.016711953,-0.00224554418794,1,2
LK6-F03,-0.109289121,-0.00894010217466,1,2
LK6-B05,-0.006164366,-0.00410554662233,0,2
LK6-E02,-0.107711445,-0.00661023603893,1,2
LK2-A11,-0.12701237599999998,-0.00039563844193,1,2
LK5-H02,-0.034306781,-0.00363048559132,1,2
LK6-A10,-0.087805455,-0.00843070209974,1,2
LK3-D01,0.066184564,-0.00695594586426,0,2
LK5-G03,-0.061380255,-0.00708445192187,1,2
LK1-F05,0.046509142,-0.00959568061358,0,2
LK4-H12,-0.062143255,-0.00603138914196,1,2
LK6-B10,0.029777903,0.00280331174274,0,2
LK6-D05,-0.043812384,-0.00237385002916,1,2
LK1-A02,0.074568945,-0.00463039761764,0,2
LK5-F08,0.015046178,-0.017160849481699998,0,2
LK5-H08,-0.000319424,0.00603076369145,0,2
LK6-B09,-0.06491301099999999,-0.0045546841975,1,2
LK4-D02,-0.026555348,-0.009441660636430002,1,2
LK5-C01,-0.035507118,-0.00305855083416,1,2
LK5-B01,-0.069096858,-0.00248215402437,1,2
LK5-F10,-0.092640198,-0.0046928116231800005,1,2
LK5-C03,-0.034896086,-0.0109325090073,1,2
LK6-A09,-0.118694117,0.0162258461799,1,2
LK6-E04,-0.042724455,-0.00207475474417,1,2
LK3-C04,-0.021324099,-0.017975188477099998,0,2
LK1-B08,-0.092333836,-0.00352388923703,1,2
LK3-H03,-0.049118176,-0.011771907785,1,2
LK6-D06,-0.063374275,-0.004470058865350001,1,2
LK2-C09,-0.029181055,-0.00186014780314,1,2
LK4-B01,-0.060980824,0.0010267823868099998,1,2
LK4-B06,-0.0073895240000000015,-0.0145253710594,0,2
LK4-G05,-0.078376922,-0.00034408251083800016,1,2
LK3-B02,-0.061936905999999986,-0.0027983937956599994,1,2
LK3-G10,-0.05011661,-0.00673357498253,1,2
LK5-E09,-0.014933995,-0.000362225541454,1,2
LK2-C05,-0.072951481,0.000154411952859,1,2
LK5-H07,-0.016148315,-0.007011338974100001,1,2
LK1-E09,0.00130607,-0.00910219817346,0,2
LK5-D04,-0.008201942,-0.008043743381020001,0,2
LK2-E12,-0.003211055,-0.00766256498245,0,2
LK3-B10,0.060567274,-0.00769178636873,0,2
LK5-D05,0.039769121,-0.00242384563442,0,2
LK5-C11,-0.07890419900000001,-0.014651000319,1,2
LK2-F04,0.06440686799999999,-0.00222999433608,0,2
