Experiment	Strain	Environment	Experiment_Mut	Sel_coef	Mut	Gene	Avg_GR
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut1	-0.0304996263328661	Mut1	in TRP2	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut10	-0.0319285372342618	Mut10	nearby MET4	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut101	-0.024543545802229245	Mut101	in HOS4	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut102	-0.011546795234335376	Mut102	nearby YSP2	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut103	0.05413186901929605	Mut103	in SUM1	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut104	-0.00883016999461754	Mut104	in FUN30	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut105	-0.009590830744613848	Mut105	in EBS1	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut107	0.0364269152116696	Mut107	in PDE2	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut108	-0.02826826331081638	Mut108	in TRP2	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut11	-0.035739228788149	Mut11	nearby UTP22	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut110	0.017515368946499223	Mut110	in SCJ1	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut114	-0.00490286340497991	Mut114	in STE24	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut115	0.012683140339584734	Mut115	in FLC2	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut117	0.107032255600366	Mut117	in NOT3	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut119	0.012380211203579	Mut119	in CBS1	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut120	0.0059726639068067855	Mut120	nearby RPL16A	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut121	-0.013753425975172302	Mut121	in COG8	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut122	-0.0326600855096435	Mut122	in SIR3	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut123	0.0419748075920885	Mut123	nearby SFP1	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut124	0.00394165003086225	Mut124	nearby NUP157	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut127	-0.0222547703976613	Mut127	in MPC2	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut14	0.005439882019301401	Mut14	in DPB4	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut15	0.05099046650494095	Mut15	in OCA1	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut17	-0.019468326309892002	Mut17	nearby KRI1	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut18	-0.00794959341875733	Mut18	nearby PAH1	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut19	-0.045670850291894736	Mut19	nearby CCW12	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut2	-0.005368735584976351	Mut2	nearby KRE6	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut21	-0.030839822994550452	Mut21	in RPL26B	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut22	-0.024210997928811387	Mut22	in GPP1	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut24	0.0373655819764122	Mut24	nearby YLR264C-A	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut25	-0.055719092444825105	Mut25	in OXA1	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut26	-0.00453543388124238	Mut26	nearby SNF7	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut27	-0.0336361211226767	Mut27	in CSR1	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut29	-0.01196299362267385	Mut29	in CPR6	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut3	0.0017095628260826012	Mut3	in EAF1	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut30	-0.014672505549027149	Mut30	in PIH1	0.1054960214429438
